agi,agiint,agistr,agistrint,arcres,armor,classes,cooldown,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,firres,frores,hastertng,int,lifesteal,mastrtng,mledmgmax,mledmgmin,mledps,mlespeed,name_enus,natres,nsockets,parryrtng,pvppower,quality,reqlevel,slotbak,socket1,socket2,socket3,speed,splcritstrkrtng,splpwr,sta,str,versatility
6.0,,,,,,,,,,17.0,12.0,,4.07,80.0,,,,,,,17.0,12.0,4.07,3.6,Staff of Radiance,,,,,Rare,,17.0,,,,3.6,,,9.0,,
,,,,,,,,,,4.0,2.0,,0.92,40.0,,,,12.0,,,4.0,2.0,0.92,3.6,Staff of Earned Tranquility,,,,,Uncommon,,17.0,,,,3.6,,,4.0,,
4.0,,,,,,,,4.0,,13.0,7.0,,2.81,65.0,,,,,,,13.0,7.0,2.81,3.6,House Wrynn Halberd,,,,,Rare,,17.0,,,,3.6,,,4.0,,
,,,,,,,,,,7.0,4.0,,1.91,25.0,,,,,,,7.0,4.0,1.91,3.0,Strong Fishing Pole,,,,,Common,5.0,17.0,,,,3.0,,,,,
,,,,,,,,,,7.0,5.0,,1.73,40.0,,,,,,,7.0,5.0,1.73,3.6,Hammer of Controlled Fury,,,,,Uncommon,,17.0,,,,3.6,,,,5.0,
5.0,,,,,,,,,,9.0,4.0,,1.92,45.0,,,,,,,9.0,4.0,1.92,3.6,Field Tested Spear,,,,,Uncommon,,17.0,,,,3.6,,,4.0,,
,,,,,,,,4.0,,13.0,7.0,,2.88,65.0,,,,,,,13.0,7.0,2.88,3.6,House Wrynn Claymore,,,,,Rare,,17.0,,,,3.6,,,4.0,4.0,
,,,,,,,,4.0,,13.0,7.0,,2.88,55.0,,,,,,,13.0,7.0,2.88,3.6,Tranquillien Flamberge,,,,,Uncommon,10.0,17.0,,,,3.6,,,,6.0,
5.0,,,,,,,,,,7.0,5.0,,1.7000000000000002,40.0,,,,,,,7.0,5.0,1.7000000000000002,3.6,Staff of Deserved Tranquility,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,9.0,5.0,,1.97,45.0,,,,,,,9.0,5.0,1.97,3.6,Training Sword,,,,,Uncommon,5.0,17.0,,,,3.6,,,4.0,3.0,
,,,,,,,,,,5.0,4.0,,1.26,35.0,,,,,,,5.0,4.0,1.26,3.6,Farmer's Shovel,,,,,Common,2.0,17.0,,,,3.6,,,,,
,,,,,,,,,,17.0,10.0,,3.8,65.0,,,,,,,17.0,10.0,3.8,3.6,Blade of the Hand,,,,,Uncommon,,17.0,,,,3.6,,,10.0,5.0,
,,,,,,,,,,7.0,4.0,,1.91,25.0,,,,,,,7.0,4.0,1.91,3.0,Staats' Fishing Pole,,,,,Common,,17.0,,,,3.0,,,,,
,,,,,,,,,,14.0,9.0,,3.87,40.0,,,,,,,14.0,9.0,3.87,3.0,Thruk's Fishing Rod,,,,,Uncommon,,17.0,,,,3.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Nightcrawlers,,,,,Common,,,,,,,,,,,
,,,,,,,,,,5.0,3.0,,1.17,35.0,,,,,,,5.0,3.0,1.17,3.6,Farmer's Broom,,,,,Common,3.0,17.0,,,,3.6,,,,,
3.0,,,,,,,,2.0,,9.0,6.0,,2.15,45.0,,,,,,,9.0,6.0,2.15,3.6,Carved Ashwood Stick,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,4.0,3.0,,1.04,35.0,,,,,,,4.0,3.0,1.04,3.6,Kobold Mining Shovel,,,,,Common,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Shiny Bauble,,,,,Common,,,,,,,,,,,
,,,,,,,,,3.0,,,,,,,,,,,,,,,,Coarse Sharpening Stone,,,,,Common,5.0,,,,,,,,,,
,,,,,,,,4.0,,6.0,4.0,,1.44,65.0,,,,18.0,,,6.0,4.0,1.44,3.6,House Wrynn Staff,,,,,Rare,,17.0,,,,3.6,,,6.0,,
8.0,,,,,,,,,,12.0,9.0,,2.92,55.0,,,,,,,12.0,9.0,2.92,3.6,Burrowing Shovel,,,,,Uncommon,10.0,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,3.0,,1.32,35.0,,,,,,,6.0,3.0,1.32,3.6,Bloodhawk Claymore,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Day-Old Darkmoon Doughnut,,,,,Common,1.0,,,,,,,,,,
,,,,,,,0.0002777777777777778,,,,,,,,,,,,,,,,,,Minor Wizard Oil,,,,,Common,5.0,,,,,,,,,,
,,,,,,,,,,7.0,4.0,,1.91,25.0,,,,,,,7.0,4.0,1.91,3.0,Blump Family Fishing Pole,,,,,Common,,17.0,,,,3.0,,,,,
,,,,,,,,,,9.0,7.0,,2.26,50.0,,,,,,,9.0,7.0,2.26,3.6,Old Dwarven Hammer,,,,,Uncommon,,17.0,,,,3.6,,,4.0,4.0,
5.0,,,,,,,,5.0,,16.0,8.0,,3.43,60.0,,,,,,,16.0,8.0,3.43,3.6,Sharp Poker,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,11.0,5.0,,2.27,50.0,,,,,,,11.0,5.0,2.27,3.6,Jealousy's Edge,,,,,Uncommon,,17.0,,,,3.6,,,4.0,4.0,
,,,,,,,,,,9.0,5.0,,1.97,45.0,,,,,,,9.0,5.0,1.97,3.6,Well-Used Greatsword,,,,,Uncommon,,17.0,,,,3.6,,,,5.0,
,,,,,,,,,,12.0,9.0,,3.01,55.0,,,,,,,12.0,9.0,3.01,3.6,Vindicator's Smasher,,,,,Uncommon,,17.0,,,,3.6,,,4.0,6.0,
,,,,,,,,,,6.0,3.0,,1.32,35.0,,,,,,,6.0,3.0,1.32,3.6,Practice Sword,,,,,Common,2.0,17.0,,,,3.6,,,,,
,,,,,,,,,,2.0,1.0,,0.44,30.0,,,,,,,2.0,1.0,0.44,3.6,Electro-Staff,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,16.0,7.0,,3.28,70.0,,,,,,,16.0,7.0,3.28,3.6,Kadrak's Axe,,,,,Rare,,17.0,,,,3.6,,,6.0,6.0,
,,,,,,,,,,14.0,8.0,,3.09,55.0,,,,,,,14.0,8.0,3.09,3.6,Proof of Death,,,,,Uncommon,,17.0,,,,3.6,,,,8.0,
7.0,,,,,,,,,,11.0,8.0,,2.7,60.0,,,,,,,11.0,8.0,2.7,3.6,Mace of the Blood Price,,,,,Rare,,17.0,,,,3.6,,,,,
,,,,,,,,,,10.0,7.0,,2.48,50.0,,,,,,,10.0,7.0,2.48,3.6,Bonecracker,,,,,Uncommon,,17.0,,,,3.6,,,,7.0,
,,,,,,,,,,9.0,7.0,,2.26,50.0,,,,,,,9.0,7.0,2.26,3.6,Goblin Smasher,,,,,Uncommon,,17.0,,,,3.6,,,,6.0,
3.0,,,,,,,,,,9.0,5.0,,2.04,45.0,,,,,,,9.0,5.0,2.04,3.6,Surplus Bastard Sword,,,,,Uncommon,,17.0,,,,3.6,,,,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,,Corpse Worm,,,,,Common,1.0,,,,,,,,,,
6.0,,,,,,,,,,17.0,8.0,,3.48,60.0,,,,,,,17.0,8.0,3.48,3.6,Axe of Practical Vengeance,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,3.0,,,,,,,,,,,,,,,,Coarse Weightstone,,,,,Common,5.0,,,,,,,,,,
,,,,,,,,,,5.0,3.0,,1.22,50.0,,,,17.0,,,5.0,3.0,1.22,3.6,Balanced Spell Staff,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,1.0,1.0,,0.28,25.0,,,,,,,1.0,1.0,0.28,3.6,Darkspear Shamanic Staff,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Aquadynamic Fish Lens,,,,,Common,,,,,,,,,,,
,,,,,,,,,,7.0,5.0,,1.6800000000000002,50.0,,,,,,,7.0,5.0,1.6800000000000002,3.6,Rusty Warhammer,,,,,Poor,9.0,17.0,,,,3.6,,,,,
,,,,,,,,,,10.0,7.0,,2.48,50.0,,,,,,,10.0,7.0,2.48,3.6,Spiked Club,,,,,Uncommon,8.0,17.0,,,,3.6,,,6.0,4.0,
,,,,,,,,,,9.0,4.0,,1.87,45.0,,,,,,,9.0,4.0,1.87,3.6,Severing Axe,,,,,Uncommon,5.0,17.0,,,,3.6,,,4.0,3.0,
,,,,,,,,,,6.0,4.0,,1.46,40.0,,,,,,,6.0,4.0,1.46,3.6,Walking Stick,,,,,Common,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,3.0,,1.45,40.0,,,,,,,7.0,3.0,1.45,3.6,Wood Chopper,,,,,Common,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.95,40.0,,,,,,,4.0,2.0,0.95,3.6,Withered Staff,,,,,Poor,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,5.0,3.0,,1.17,35.0,,,,,,,5.0,3.0,1.17,3.6,Velania's Walking Stick,,,,,Common,,17.0,,,,3.6,,,,,
4.0,,,,,,,,,,14.0,8.0,,3.09,55.0,,,,,,,14.0,8.0,3.09,3.6,Vindicator's Letter Opener,,,,,Uncommon,,17.0,,,,3.6,,,,6.0,
,,,,,,,,4.0,,6.0,4.0,,1.48,65.0,,,,18.0,,,6.0,4.0,1.48,3.6,Bling Cane,,,,,Rare,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,12.0,7.0,,2.67,60.0,,,,,,,12.0,7.0,2.67,3.6,Rallying Charge,,,,,Rare,,17.0,,,,3.6,,,,7.0,
,,,,,,,,,,10.0,6.0,,2.25,50.0,,,,,,,10.0,6.0,2.25,3.6,Short Bastard Sword,,,,,Uncommon,7.0,17.0,,,,3.6,,,5.0,3.0,
,,,,,,,,,,8.0,6.0,,1.98,45.0,,,,,,,8.0,6.0,1.98,3.6,Blemished Wooden Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,8.0,5.0,,1.9,45.0,,,,,,,8.0,5.0,1.9,3.6,Frostbit Staff,,,,,Common,5.0,17.0,,,,3.6,,,,,
5.0,,,,,,,,,,10.0,7.0,,2.45,50.0,,,,,,,10.0,7.0,2.45,3.6,Staff of the Formidable Opponent,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,8.0,4.0,,1.8,45.0,,,,,,,8.0,4.0,1.8,3.6,Farstrider Sword,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,9.0,4.0,,1.87,45.0,,,,,,,9.0,4.0,1.87,3.6,Battleaxe of the Sober Dwarf,,,,,Uncommon,,17.0,,,,3.6,,,3.0,3.0,
,,,,,,,,,,4.0,2.0,,0.86,35.0,,,,,,,4.0,2.0,0.86,3.6,Crude Bastard Sword,,,,,Poor,2.0,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,3.0,,1.32,35.0,,,,,,,6.0,3.0,1.32,3.6,Jade Hilted Sword,,,,,Common,1.0,17.0,,,,3.6,,,,,
,,,,,,,,,,2.0,1.0,,0.44,30.0,,,,,,,2.0,1.0,0.44,3.6,Staff of the Force,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,8.0,5.0,,1.93,65.0,,,,23.0,,,8.0,5.0,1.93,3.6,Well Crafted Staff,,,,,Uncommon,,17.0,,,,3.6,,,8.0,,
,,,,,,,,,,14.0,10.0,,3.45,60.0,,,,,,,14.0,10.0,3.45,3.6,Codex Breaker,,,,,Uncommon,,17.0,,,,3.6,,,7.0,5.0,
,,,,,,,,,,4.0,3.0,,1.0,45.0,,,,14.0,,,4.0,3.0,1.0,3.6,Satyr Horn Staff,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,10.0,4.0,,2.07,45.0,,,,,,,10.0,4.0,2.07,3.6,Arborcide Axe,,,,,Uncommon,,17.0,,,,3.6,,,4.0,4.0,
,,,,,,,,,,6.0,4.0,,1.48,40.0,,,,,,,6.0,4.0,1.48,3.6,Beatstick,,,,,Common,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,4.0,,1.48,55.0,,,,18.0,,,6.0,4.0,1.48,3.6,Vindicator's Walking Stick,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
8.0,,,,,,,,,,13.0,9.0,,3.11,55.0,,,,,,,13.0,9.0,3.11,3.6,Gouging Staff,,,,,Uncommon,,17.0,,,,3.6,,,,,
6.0,,,,,,,,,,12.0,8.0,,2.89,55.0,,,,,,,12.0,8.0,2.89,3.6,Digging Staff,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,4.0,,12.0,9.0,,2.92,55.0,,,,,,,12.0,9.0,2.92,3.6,Portal Closer's Hammer,,,,,Uncommon,,17.0,,,,3.6,,,3.0,5.0,
,,,,,,,,,,13.0,6.0,,2.65,50.0,,,,,,,13.0,6.0,2.65,3.6,Tabar,,,,,Common,9.0,17.0,,,,3.6,,,,,
,,,,,,Mage,,,,5.0,3.0,,1.22,50.0,,,,17.0,,,5.0,3.0,1.22,3.6,Ley Staff,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,5.0
,,,,,,,,,,10.0,7.0,,2.45,50.0,,,,17.0,,,10.0,7.0,2.45,3.6,Sturdy Quarterstaff,,,,,Uncommon,8.0,17.0,,,,3.6,,,6.0,,
3.0,,,,,,,,,,9.0,6.0,,2.15,45.0,,,,,,,9.0,6.0,2.15,3.6,Befouled Staff,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,4.0,2.0,,0.96,45.0,,,,12.0,,,4.0,2.0,0.96,3.6,Lilian's Staff,,,,,Uncommon,,17.0,,,,3.6,,,4.0,,
,,,,,,,,,,8.0,4.0,,1.8,45.0,,,,,,,8.0,4.0,1.8,3.6,Seafarer's Blade,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,4.0,,1.46,40.0,,,,,,,6.0,4.0,1.46,3.6,Long Bo Staff,,,,,Common,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,4.0,,1.46,40.0,,,,,,,6.0,4.0,1.46,3.6,Cyclone Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,4.0,,6.0,4.0,,1.44,55.0,,,,18.0,,,6.0,4.0,1.44,3.6,Earthborn Staff,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,5.0,3.0,,1.22,50.0,,,,17.0,,,5.0,3.0,1.22,3.6,Darkwood Staff,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,8.0,5.0,,1.9,45.0,,,,,,,8.0,5.0,1.9,3.6,The Discipline Stick,,,,,Common,,17.0,,,,3.6,,,,,
5.0,,,,,,,,,,9.0,4.0,,1.92,45.0,,,,,,,9.0,4.0,1.92,3.6,Stunted Tree Root,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.96,45.0,,,,12.0,,,4.0,2.0,0.96,3.6,Dreamwalking Staff,,,,,Uncommon,,17.0,,,,3.6,,,4.0,,
,,,,,,,,,,5.0,3.0,,1.24,35.0,,,,,,,5.0,3.0,1.24,3.6,Gnarled Short Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,13.0,7.0,,2.88,55.0,,,,,,,13.0,7.0,2.88,3.6,Coral Claymore,,,,,Uncommon,10.0,17.0,,,,3.6,,,8.0,4.0,
,,,,,,,,,,13.0,6.0,,2.71,55.0,,,,,,,13.0,6.0,2.71,3.6,Rock Chipper,,,,,Common,10.0,17.0,,,,3.6,,,,,
,,,,,,,,,,12.0,7.0,,2.71,55.0,,,,,,,12.0,7.0,2.71,3.6,Claymore,,,,,Common,10.0,17.0,,,,3.6,,,,,
,,,,,,,,,,12.0,5.0,,2.48,50.0,,,,,,,12.0,5.0,2.48,3.6,Copper Battle Axe,,,,,Uncommon,8.0,17.0,,,,3.6,,,7.0,4.0,
4.0,,,,,,,,,,10.0,7.0,,2.37,50.0,,,,,,,10.0,7.0,2.37,3.6,Surveyor's Staff,,,,,Uncommon,,17.0,,,,3.6,,,4.0,,
5.0,,,,,,Warrior,,,,9.0,5.0,,1.97,45.0,,,,,,,9.0,5.0,1.97,3.6,Mercenary Greatsword,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,8.0,3.0,,1.65,40.0,,,,,,,8.0,3.0,1.65,3.6,Vile Fin Battle Axe,,,,,Common,4.0,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,3.0,,1.45,40.0,,,,,,,7.0,3.0,1.45,3.6,Whirling Axe,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,3.0,,1.49,40.0,,,,,,,7.0,3.0,1.49,3.6,Worgen Training Stick,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,5.0,3.0,,1.24,35.0,,,,,,,5.0,3.0,1.24,3.6,Staff of the Hozen,,,,,Common,1.0,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,3.0,,1.32,35.0,,,,,,,6.0,3.0,1.32,3.6,Two-Handed Sword,,,,,Common,2.0,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.95,35.0,,,,,,,4.0,2.0,0.95,3.6,Sunstrider Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.95,35.0,,,,,,,4.0,2.0,0.95,3.6,Thistlewood Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,3.0,2.0,,0.78,30.0,,,,,,,3.0,2.0,0.78,3.6,Mud Splattering Hammer,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,3.0,2.0,,0.7000000000000001,25.0,,,,,,,3.0,2.0,0.7000000000000001,3.6,Darkspear Monk's Staff,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,8.0,5.0,,1.93,65.0,,,,23.0,,,8.0,5.0,1.93,3.6,Staff of the Hand,,,,,Uncommon,,17.0,,,,3.6,,,8.0,,
,,,,,,,,,,6.0,4.0,,1.44,55.0,,,,18.0,,,6.0,4.0,1.44,3.6,Seryl's Promise,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,7.0,4.0,,1.58,50.0,,,,,,,7.0,4.0,1.58,3.6,Old Greatsword,,,,,Poor,9.0,17.0,,,,3.6,,,,,
,,,,,,,,,,5.0,3.0,,1.18,50.0,,,,14.0,,,5.0,3.0,1.18,3.6,Stonesplinter Staff,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,5.0,3.0,,1.18,50.0,,,,14.0,,,5.0,3.0,1.18,3.6,Staff of Dubious Pacts,,,,,Uncommon,,17.0,,,,3.6,,,5.0,,
,,,,,,,,,,10.0,5.0,,2.13,45.0,,,,,,,10.0,5.0,2.13,3.6,Muckdweller Spear,,,,,Uncommon,,17.0,,,,3.6,,,6.0,3.0,
,,,,,,,,,,9.0,6.0,,2.17,45.0,,,,,,,9.0,6.0,2.17,3.6,2 Stone Sledgehammer,,,,,Uncommon,,17.0,,,,3.6,,,3.0,3.0,
3.0,,,,,,,,,,9.0,6.0,,2.15,45.0,,,,,,,9.0,6.0,2.15,3.6,Long-Reach Elekk Prod,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,8.0,6.0,,1.95,45.0,,,,,,,8.0,6.0,1.95,3.6,Sunwalker's Stunner,,,,,Uncommon,,17.0,,,,3.6,,,,5.0,
,,,,,,Warrior,,,,8.0,6.0,,1.95,45.0,,,,,,,8.0,6.0,1.95,3.6,Mercenary Clout,,,,,Uncommon,,17.0,,,,3.6,,,,5.0,
,,,,,,,,,,8.0,5.0,,1.9,45.0,,,,,,,8.0,5.0,1.9,3.6,Smooth Metal Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,5.0,,1.7000000000000002,40.0,,,,,,,7.0,5.0,1.7000000000000002,3.6,Quilboar Crusher,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,3.0,2.0,,0.74,40.0,,,,9.0,,,3.0,2.0,0.74,3.6,Hatchling Prodder,,,,,Uncommon,,17.0,,,,3.6,,,3.0,,
,,,,,,,,,,7.0,3.0,,1.45,40.0,,,,,,,7.0,3.0,1.45,3.6,Large Axe,,,,,Common,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.85,40.0,,,,,,,4.0,2.0,0.85,3.6,Beaten Battle Axe,,,,,Poor,3.0,17.0,,,,3.6,,,,,
,,,,,,,,,,5.0,3.0,,1.17,35.0,,,,,,,5.0,3.0,1.17,3.6,Sen'jin Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.95,35.0,,,,,,,4.0,2.0,0.95,3.6,Peacebringer's Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.9,35.0,,,,,,,4.0,2.0,0.9,3.6,Forsaken Bastard Sword,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.9,35.0,,,,,,,4.0,2.0,0.9,3.6,Exodar Bastard Sword,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.95,35.0,,,,,,,4.0,2.0,0.95,3.6,Executor Staff,,,,,Common,,17.0,,,,3.6,,,,,
6.0,,,,,,,,,,13.0,9.0,,3.19,60.0,,,,,,,13.0,9.0,3.19,3.6,Eldarath Staff,,,,,Uncommon,,17.0,,,,3.6,,,6.0,,
,,,,,,,,,,12.0,9.0,,2.92,55.0,,,,,,,12.0,9.0,2.92,3.6,Birchwood Maul,,,,,Uncommon,10.0,17.0,,,,3.6,,,6.0,4.0,
,,,,,,,,,,7.0,3.0,,1.42,50.0,,,,,,,7.0,3.0,1.42,3.6,Crude Battle Axe,,,,,Poor,7.0,17.0,,,,3.6,,,,,
,,,,,,,,,,9.0,7.0,,2.26,50.0,,,,,,,9.0,7.0,2.26,3.6,Icepane Warhammer,,,,,Uncommon,7.0,17.0,,,,3.6,,,,6.0,
,,,,,,,,,,11.0,5.0,,2.27,50.0,,,,,,,11.0,5.0,2.27,3.6,Jealousy's Edge,,,,,Uncommon,,17.0,,,,3.6,,,4.0,4.0,
,,,,,,,,,,9.0,6.0,,2.17,45.0,,,,,,,9.0,6.0,2.17,3.6,Thicket Hammer,,,,,Uncommon,,17.0,,,,3.6,,,,6.0,
,,,,,,,,,,9.0,5.0,,2.01,45.0,,,,,,,9.0,5.0,2.01,3.6,Copper Claymore,,,,,Common,6.0,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,5.0,,1.78,45.0,,,,,,,7.0,5.0,1.78,3.6,The Shell Cracker,,,,,Common,,17.0,,,,3.6,,,,,
5.0,,,,,,,,,,7.0,5.0,,1.7000000000000002,40.0,,,,,,,7.0,5.0,1.7000000000000002,3.6,Oomlot Staff,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,5.0,,1.7000000000000002,40.0,,,,,,,7.0,5.0,1.7000000000000002,3.6,Wooden Mallet,,,,,Common,4.0,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,3.0,,1.53,40.0,,,,,,,7.0,3.0,1.53,3.6,Worgen Slaying Sword,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,2.0,,0.95,35.0,,,,,,,4.0,2.0,0.95,3.6,Exodar Staff,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,3.0,2.0,,0.78,30.0,,,,,,,3.0,2.0,0.78,3.6,Militia Warhammer,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,3.0,2.0,,0.78,30.0,,,,,,,3.0,2.0,0.78,3.6,Anvilmar Sledge,,,,,Common,,17.0,,,,3.6,,,,,
,,,,,,,,,,3.0,2.0,,0.7000000000000001,25.0,,,,,,,3.0,2.0,0.7000000000000001,3.6,Darkspear Druidic Staff,,,,,Uncommon,,17.0,,,,3.6,,,,,
,,,,,,,,,,11.0,8.0,,2.74,55.0,,,,,,,11.0,8.0,2.74,3.6,Giant Mace,,,,,Common,10.0,17.0,,,,3.6,,,,,
,,,,,,,,3.0,,11.0,5.0,,2.27,50.0,,,,,,,11.0,5.0,2.27,3.6,Mankrik's Boar Slicer,,,,,Uncommon,,17.0,,,,3.6,,,3.0,3.0,
,,,,,,,,,,8.0,5.0,,1.9,45.0,,,,,,,8.0,5.0,1.9,3.6,Driftwood Branch,,,,,Common,5.0,17.0,,,,3.6,,,,,
,,,,,,,,,,8.0,5.0,,1.9,45.0,,,,,,,8.0,5.0,1.9,3.6,Frostmane Staff,,,,,Common,5.0,17.0,,,,3.6,,,,,
,,,,,,,,,,7.0,5.0,,1.6800000000000002,40.0,,,,,,,7.0,5.0,1.6800000000000002,3.6,Vile Fin Oracle Staff,,,,,Common,4.0,17.0,,,,3.6,,,,,
,,,,,,,,,,4.0,3.0,,1.01,40.0,,,,,,,4.0,3.0,1.01,3.6,Cracked Sledge,,,,,Poor,4.0,17.0,,,,3.6,,,,,
,,,,,,,,,,6.0,4.0,,1.46,40.0,,,,,,,6.0,4.0,1.46,3.6,Goblin Masher,,,,,Common,,17.0,,,,3.6,,,,,
