agi,agiint,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
,,,,,,,,,,,,,,4.0,,,Greenwarden's Gift,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,3.0,,,,,,,,,,Band of Premeditated Murder,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,,,,Horn Ring,,,,Uncommon,,,11.0,,,,,6.0,,,4.0
,,,,,,,,,,,,,,,,,Band of Foul Strength,,,,Rare,,,11.0,,,,,5.0,3.0,,
3.0,,,,,,,,,,,,,,,,,Citizen Wilkes' Ring,,,,Uncommon,,,11.0,,,,,5.0,,,
,,,,,,,,,,,,,,,,,Deadman's Hand,,,,Epic,29.0,,11.0,,,,,8.0,,,
,,,,,,,,,,,,,,7.0,,,Plains Ring,,,,Rare,30.0,,11.0,,,,,8.0,,,4.0
,,,,,,,6.0,,,,,8.0,,,,,Charged Gear,,,,Rare,24.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Nogg's Gold Ring,,,,Rare,,,11.0,,,,,8.0,,,4.0
5.0,,,,,,,,,,,,,,,,,Tundra Ring,,,,Uncommon,28.0,,11.0,,,,,7.0,,,
5.0,,,,,,,,,,,,,,,,,Protector's Band,,,,Rare,28.0,,11.0,,,,,7.0,5.0,,
,,,,,,,,,,,,,,,,,Talvash's Gold Ring,,,,Rare,,,11.0,,,,,8.0,,,4.0
,,,,,,,,,,,,,,,,,Ring of Silver Might,,,,Uncommon,21.0,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,5.0,,,Ring of Twilight Shadows,,,,Uncommon,23.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Heart Ring,,,,Uncommon,22.0,,11.0,,,,,6.0,,,
5.0,,,,,,,,,,,,,,,,,Legionnaire's Band,,,,Rare,28.0,,11.0,,,,,7.0,5.0,,
5.0,,5.0,,,,,,,5.0,,,,,,,,Golden Dragon Ring,,,,Uncommon,28.0,,11.0,,,,,,5.0,,
3.0,,,,,,,,,,,,,,,,,Thunderbrow Ring,,,,Rare,24.0,,11.0,,,,,,7.0,,
8.0,,,,,,,4.0,,,,,,,,,,Ironspine's Eye,,,,Rare,30.0,,11.0,,,,,,,,
,,,,,,,,,,,,,,5.0,,,Lorekeeper's Ring,,,,Rare,28.0,,11.0,,,,,7.0,,,5.0
,,,,,,,4.0,,,,,,,,,,Band of Raptor Teeth,,,,Rare,,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,,,,Gnomeregan Band,,,,Uncommon,25.0,,11.0,,,,,7.0,5.0,,
,,,,,,,,,,,,,,8.0,,,Azora's Will,,,,Uncommon,22.0,,11.0,,,,,,,,
,,,,,,,,,,,,,,5.0,,,Flight Master's Gift,,,,Uncommon,,,11.0,,,,,8.0,,,3.0
,,,,,,,5.0,,,,,5.0,,,,,Triune Signet,,,,Rare,30.0,,11.0,,,,,7.0,,,5.0
5.0,,,,,,,,,,,,,,,,,Smotts' Signet,,,,Uncommon,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,5.0,,,Wicked Moonstone Ring,,,,Uncommon,27.0,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,,,,Electrocutioner Lagnut,,,,Rare,24.0,,11.0,,,,,6.0,,,14.0
,,,,,,,,,,,,,,,,,Raptor Slayer's Band,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,4.0,,,Draxlegauge Ring,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,5.0,,,Spinel Ring,,,,Uncommon,29.0,,11.0,,,,,8.0,,,
,,,,,,,6.0,,,,,10.0,,,,,Signet of the Hidden Door,,,,Rare,30.0,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,,,,Chrome Ring,,,,Uncommon,21.0,,11.0,,,,,6.0,4.0,,
,,,,,,,,,,,,,,4.0,,,Ring of Cooperation,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,10.0,,,Blazing Citrine Ring,,,,Uncommon,30.0,,11.0,,,,,,,,
,,,,,,,11.0,,,,,7.0,,,,,Agamaggan's Clutch,,,,Rare,30.0,,11.0,,,,,8.0,,,
,,,,,,,,,,,,,,,,,Basalt Ring,,,,Uncommon,29.0,,11.0,,,,,8.0,5.0,,
5.0,,,,,,,,,,,,,,,,,Bristleback Challenge Ring,,,,Uncommon,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,,,,Band of Thorns,,,,Uncommon,26.0,,11.0,,,,,,,,9.0
,,,,,,,11.0,,,,,,,,,,Beastbinder Ring,,,,Rare,28.0,,11.0,,,,,7.0,,,5.0
,,,,,,,5.0,,,,,,,5.0,,,Scavenger Ring,,,,Uncommon,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,2.0,,,The Queen's Jewel,,,,Rare,25.0,,11.0,,,,,7.0,,,8.0
,,,,,,,,,,,,,,5.0,,,Smythe's Ring,,,,Uncommon,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,4.0,,,Cobalt Ring,,,,Uncommon,24.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,4.0,,,Ivory Band,,,,Uncommon,23.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Heavy Silver Ring,,,,Rare,22.0,,11.0,,,,,6.0,4.0,,
4.0,,,,,,,,,,,,,,,,,Ring of Six Hundred Years,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,,,,Orca-Tooth Ring,,,,Uncommon,,,11.0,,,,,8.0,5.0,,
,,,,,,,,,,,,,,5.0,,,Cerulean Ring,,,,Uncommon,30.0,,11.0,,,,,8.0,,,
,,,,,,,9.0,,,,,7.0,,,,,Firefinger Ring,,,,Rare,30.0,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,5.0,,,Advisor's Ring,,,,Rare,28.0,,11.0,,,,,7.0,,,5.0
,,,,,,,,,,,,,,5.0,,,Maywiki's Favorite Ring,,,,Rare,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,,,,Wailing Ring,,,,Uncommon,,,11.0,,,,,7.0,5.0,,
5.0,,,,,,,,,,,,4.0,,,,,Ring of Vigorous Interruption,,,,Rare,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,,,,Demonslayer's Signet,,,,Uncommon,,,11.0,,,,,7.0,5.0,,
,,,,,,,4.0,,,,,,,,,,Band of Raptor Teeth,,,,Rare,,,11.0,,,,,6.0,4.0,,
,,,,,,,8.0,,,,,,,,,,Heavy Jade Ring,,,,Uncommon,24.0,,11.0,,,,,,,,
,,,,,,,,,,,,,,,,,Jacinth Circle,,,,Uncommon,24.0,,11.0,,,,,6.0,4.0,,
4.0,,,,,,,,,,,,,,,,,Savannah Ring,,,,Uncommon,23.0,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,6.0,,,Defias Mage Ring,,,,Uncommon,21.0,,11.0,,,,,,,,4.0
,,,,,,,,,,,,,,4.0,,,Ring of Forgotten Causes,,,,Uncommon,,,11.0,,,,,6.0,,,
6.0,,,,,,,5.0,,,,,,,,,,Agamaggan's Silent Tear,,,,Rare,,,11.0,,,,,9.0,,,
,,,,,,,,,,,,8.0,,,,,Tinkerer's Pinkie Cylinder,,,,Rare,30.0,,11.0,,,,,8.0,,,10.0
,,,,,,,,,,,,,,5.0,,,Chabal's Favorite Ring,,,,Rare,,,11.0,,,,,7.0,,,
5.0,,,,,,,,,,,,,,,,,Bristleback Challenge Ring,,,,Uncommon,,,11.0,,,,,7.0,,,
5.0,,,,,,,,,,,,4.0,,,,,Ring of Vigorous Interruption,,,,Rare,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,5.0,,,Ring of Reclaimed Honor,,,,Uncommon,,,11.0,,,,,7.0,,,
,,,,,,,,,,,,,,,,,Hammerfall Band,,,,Uncommon,,,11.0,,,,,6.0,4.0,,
4.0,,,,,,,,,,,,,,,,,Hammerfall Ring,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,4.0,,,Amber Hoop,,,,Uncommon,21.0,,11.0,,,,,6.0,,,
4.0,,,,,,,,,,,,,,,,,Wildhammer Scribe's Band,,,,Uncommon,,,11.0,,,,,6.0,,,
,,,,,,,,,,,,,,6.0,,,Aquamarine Signet,,,,Rare,37.0,,11.0,,,,,9.0,,,
,,,,,,,10.0,,,,,,,,,,Blackstone Ring,,,,Rare,34.0,,11.0,,,,,9.0,,,9.0
,,,,,,,,,,,,,,7.0,,,Underworld Band,,,,Epic,38.0,,11.0,,,,,9.0,,,4.0
6.0,,,,,,,,,,,,,,,,,Truesilver Commander's Ring,,,,Rare,35.0,,11.0,,,,,9.0,6.0,,
7.0,,,,,,,,,,,,,,,,,Legionnaire's Band,,,,Rare,38.0,,11.0,,,,,9.0,7.0,,
7.0,,7.0,,,,,,,,,,,,,,,Assault Band,,,,Rare,39.0,,11.0,,,,,10.0,7.0,,5.0
,,,,,,,,,,,,,,7.0,,,Citrine Ring of Rapid Healing,,,,Uncommon,33.0,,11.0,,,,,,,,8.0
,,,,,,,7.0,,,,,12.0,,,,,Archaedic Stone,,,,Rare,35.0,,11.0,,,,,9.0,,,
5.0,,5.0,,,,,,,,,,,,,,,Mark of Kern,,,,Rare,31.0,,11.0,,,,,8.0,5.0,,
,,,,,,,,,,,,7.0,,7.0,,,Navarax's Signet,,,,Rare,,,11.0,,,,,11.0,,,
6.0,,,,,,,5.0,,,,,,,,,,Discarded Wedding Band,,,,Uncommon,,,11.0,,,,,9.0,,,
,,,,,,,,,,,,,,6.0,,,Hidden Treasure,,,,Rare,,,11.0,,,,,9.0,,,4.0
7.0,,,,,,,7.0,,,,,,,,,,Token of the Bond,,,,Rare,,,11.0,,,,,11.0,,,
7.0,,,,,,,,,,,,6.0,,,,,Rainbow Band,,,,Uncommon,,,11.0,,,,,10.0,,,
,,,,,,,,,,,,4.0,,,,,Ring of the Subduer,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,7.0,,,,,,,,,,Band of Noble Deeds,,,,Rare,,,11.0,,,,,13.0,8.0,,
,,,,,,,,,,,,16.0,,,,,Emerald Flame Ring,,,,Rare,40.0,,11.0,,,,,10.0,,,7.0
,,,,,,,,,,,,10.0,,,,,Ring of Demonic Guile,,,,Rare,36.0,,11.0,,,,,9.0,,,11.0
4.0,,,,,,,,,,,,,,4.0,,,Engraved Truesilver Ring,,,,Uncommon,32.0,,11.0,,,,,9.0,4.0,,4.0
10.0,,,,,,,,,,,,,,,,,Innervating Band,,,,Rare,40.0,,11.0,,,,,10.0,,,
7.0,,,,,,,,,,,,,,,,,Protector's Band,,,,Rare,38.0,,11.0,,,,,9.0,7.0,,
6.0,,,,,,,,,,,,,,,,,Hematite Link,,,,Uncommon,38.0,,11.0,,,,,9.0,,,
,,,,,,,9.0,,,,,12.0,,,,,Band of Vigor,,,,Rare,36.0,,11.0,,,,,9.0,,,
,,,,,,,,,,,,,,,,,Payback Band,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,14.0,,,,,7.0,,,,,Ring of Demonic Potency,,,,Rare,36.0,,11.0,,,,,9.0,,,
,,,,,,,,,8.0,,,,,,,,Bloodwash Ring,,,,Uncommon,,,11.0,,,,,13.0,,,
,,,,,,,,,,,,,,8.0,,,Xi'lun's Signet,,,,Rare,,,11.0,,,,,12.0,,,7.0
7.0,,,,,,,,,,,,5.0,,,,,Stratagem Band,,,,Uncommon,,,11.0,,,,,11.0,,,
7.0,,,,,,,7.0,,,,,,,,,,Drilldozer Band,,,,Rare,,,11.0,,,,,11.0,,,
,,,,,,,,,,,,7.0,,7.0,,,Dimly Opalescent Ring,,,,Rare,40.0,,11.0,,,,,10.0,,,
,,,,,,,,,,,,,,7.0,,,Advisor's Ring,,,,Rare,38.0,,11.0,,,,,9.0,,,7.0
,,,,,,,,,,,,4.0,,,,,Ring of the Subduer,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,,,,,,,,6.0,,,Welken Ring,,,,Uncommon,35.0,,11.0,,,,,,,,9.0
,,,,,,,,,,,,,,,,,Amethyst Band,,,,Uncommon,32.0,,11.0,,,,,9.0,6.0,,
,,,,,,,,,,,,,,,,,Band of the Arachnid Wrangler,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,5.0,,,,,,,5.0,,,Vandis' Band,,,,Uncommon,,,11.0,,,,,8.0,,,
,,,,,,,,,,,,,,9.0,,,Mindbender Loop,,,,Uncommon,31.0,,11.0,,,,,,,,3.0
,,,,,,,7.0,,,,,,,8.0,,,Band of Sacrifice,,,,Rare,,,11.0,,,,,13.0,,,
,,,,,,,,,,,,,,8.0,,,Frostleaf Band,,,,Uncommon,,,11.0,,,,,12.0,,,5.0
,,,,,,,6.0,,,,,,,,,,Ember Worg Eye,,,,Uncommon,,,11.0,,,,,11.0,6.0,,
,,,,,,,,,,,,,,7.0,,,Rendan's Signet,,,,Uncommon,,,11.0,,,,,11.0,,,
,,,,,,,,,,,,,,7.0,,,Dangerous Machinery Piece,,,,Uncommon,,,11.0,,,,,10.0,,,
,,,,,,,,,,,,,,7.0,,,Lorekeeper's Ring,,,,Rare,38.0,,11.0,,,,,9.0,,,7.0
,,,,,,,,,,,,,,,,,Iridium Circle,,,,Uncommon,38.0,,11.0,,,,,9.0,6.0,,
6.0,,,,,,,,,,,,,,,,,Forest Hoop,,,,Uncommon,36.0,,11.0,,,,,9.0,,,
6.0,,,,,,,,,,,,,,,,,Fen Ring,,,,Uncommon,32.0,,11.0,,,,,9.0,,,
5.0,,,,,,,7.0,,,,,,,,,,Blush Ember Ring,,,,Rare,32.0,,11.0,,,,,,4.0,,
,,,,,,,,,,,,,,,,,Reedknot Ring,,,,Uncommon,,,11.0,,,,,8.0,,,8.0
,,,,,,,,,,,,,,9.0,,,Ogremind Ring,,,,Uncommon,31.0,,11.0,,,,,,,,4.0
8.0,,,,,,,7.0,,,,,,,,,,Glassy Band,,,,Uncommon,,,11.0,,,,,12.0,,,
,,,,,,,5.0,,,,,,,,,,Tree Ring Band,,,,Uncommon,,,11.0,,,,,11.0,7.0,,
7.0,,,,,,,,,,,,,,,,,Marsh Ring,,,,Uncommon,40.0,,11.0,,,,,10.0,,,
7.0,,,,,,,6.0,,,,,,,,,,Tarenar's Token,,,,Rare,,,11.0,,,,,10.0,,,
,,,,,,,7.0,,,,,,,7.0,,,Don Mauricio's Band of Domination,,,,Rare,40.0,,11.0,,,,,10.0,,,
,,,,,,,,,,,,9.0,,9.0,,,Murmuring Ring,,,,Rare,40.0,,11.0,,,,,,,,
,,,,,,,,,7.0,,,,,,,,Deathguard Band,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,,,,,,,,6.0,,,Band of Uldaman,,,,Rare,,,11.0,,,,,9.0,,,5.0
6.0,,,,,,,,,,,,,,,,,Raptor Eye Ring,,,,Uncommon,,,11.0,,,,,9.0,,,
6.0,,,,,,,6.0,,,,,,,,,,Pack Leader's Band,,,,Uncommon,,,11.0,,,,,9.0,,,
,,,,,,,,,,,,,,,,,Inscribed Gold Ring,,,,Uncommon,35.0,,11.0,,,,,9.0,2.0,,
,,,,,,,,,,,,7.0,,,,,Morlann's Other Seal,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,,,,,,,,5.0,,,Golden Ring of Power,,,,Rare,31.0,,11.0,,,,,8.0,,,5.0
,,,,,,,,,,,,,,,,,Quicksilver Ring,,,,Uncommon,31.0,,11.0,,,0.0,,,,,
8.0,,,,,,,8.0,,,,,,,,,,Band of Selfless Acts,,,,Rare,,,11.0,,,,,13.0,,,
8.0,,,,,,,6.0,,,,,,,,,,Ring of Pesticide,,,,Uncommon,,,11.0,,,,,12.0,,,
8.0,,,,,,,7.0,,,,,,,,,,Glassy Band,,,,Uncommon,,,11.0,,,,,12.0,,,
,,,,,,,6.0,,,,,,,,,,Ember Worg Eye,,,,Uncommon,,,11.0,,,,,11.0,6.0,,
,,,,,,,10.0,,,,,,,,,,Petrified Band,,,,Uncommon,40.0,,11.0,,,,,10.0,,,
,,,,,,,,,,,,,,6.0,,,Korfax's Signet,,,,Uncommon,,,11.0,,,,,9.0,,,
,,,,,,,,,,,,4.0,,,,,Ring of New Life,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
,,,,,,,,,,,,,,,,,Carnelian Loop,,,,Uncommon,35.0,,11.0,,,,,9.0,6.0,,
,,,,,,,,,7.0,,,,,,,,Defender's Band,,,,Uncommon,,,11.0,,,,,9.0,6.0,,
8.0,,,,,,,8.0,,,,,,,,,,Band of Selfless Acts,,,,Rare,,,11.0,,,,,13.0,,,
,,,,,,,7.0,,,,,,,8.0,,,Band of Sacrifice,,,,Rare,,,11.0,,,,,13.0,,,
,,,,,,,,,,,,,,8.0,,,Xi'lun's Signet,,,,Rare,,,11.0,,,,,12.0,,,7.0
7.0,,,,,,,,,,,,5.0,,,,,Stratagem Band,,,,Uncommon,,,11.0,,,,,11.0,,,
