agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,rgdcritstrkrtng,slotbak,socket1,socket2,socket3,speed,speedbonus,sta,str,strint,versatility
,,,16.0,,0.0002777777777777778,,,,,,,,,,,,Medium Armor Kit,,,,Common,,5.0,,,,,,,,,,,
3.0,3.0,,4.0,,,,,30.0,,,,,3.0,,,,Fuzzy Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Analyst's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,7.0,,,,,25.0,,,,,3.0,,,,Chicken Stuffers,,,,Uncommon,,,,10.0,,,,,,4.0,3.0,3.0,
,,,6.0,,,,,25.0,,,,,,,,,Swoopskin Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,7.0,,,3.0,,30.0,,,,,3.0,,,,Grasp of Victory,,,,Rare,,,,10.0,,,,,,4.0,3.0,3.0,
,,,7.0,,,,,25.0,,,,,2.0,,,,Stormwind Plate Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,2.0,2.0,
4.0,4.0,,4.0,,,,,30.0,,,,,4.0,,,,Gloves of Unfocused Rage,,,,Uncommon,,,,10.0,,,,,,6.0,,,
3.0,3.0,,4.0,,,,,30.0,,,,,3.0,,,,Undertaker's Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,,,
,,,7.0,,,,,25.0,,,,,3.0,,,,Margene Repair Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,3.0,3.0,
,,,6.0,,,,,25.0,,,,,,,,,Battle Worn Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,8.0,,,,,30.0,,,,,3.0,,,,Maltendis' Handguards,,,,Uncommon,,,,10.0,,,,,,5.0,3.0,3.0,
,,,7.0,,,,,25.0,,,,,2.0,,,,Stonebreaker's Gauntlets,,,,Uncommon,,,,10.0,,,,,,3.0,2.0,2.0,
3.0,3.0,,4.0,,,4.0,,35.0,,,,,3.0,,,,Wild Rider's Gloves,,,,Rare,,,,10.0,,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,,6.0,,,,Coppercloth Gloves,,,,Uncommon,,10.0,,10.0,,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,,,Warped Leather Gloves,,,,Poor,,8.0,,10.0,,,,,,,,,
3.0,3.0,,3.0,,,,,30.0,,,,,3.0,,,,Morra's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,5.0,,,3.0,,25.0,,,,,3.0,,,,Foreman Handguards,,,,Uncommon,,,,10.0,,,,,,4.0,,,
4.0,4.0,,6.0,,,,,30.0,,,,,4.0,,,,Hands of Unfocused Rage,,,,Uncommon,,,,10.0,,,,,,6.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Gazlowe's Grips,,,,Uncommon,,,,10.0,,,,,,5.0,,,
,,,5.0,,,6.0,,30.0,,,,,,,,,Gemmed Copper Gauntlets,,,,Uncommon,,10.0,,10.0,,,,,,,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Tharill's Boon,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,4.0,,,,,25.0,,,,,,,,,Salvaged Chain Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Rough Leather Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
4.0,4.0,,6.0,,,,,35.0,,,,,4.0,,,,Ravager Scale Grips,,,,Uncommon,,,,10.0,,,,,,6.0,,,
4.0,4.0,,4.0,,,4.0,,30.0,,,,,4.0,,,,Planter's Gloves,,,,Uncommon,,,,10.0,,,,,,6.0,,,
3.0,3.0,,4.0,,,,,30.0,,,,,3.0,,,,Gazlowe's Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,,3.0,,,,Researcher's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,7.0,,,,,25.0,,,,,3.0,,,,Caravan Escort's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,3.0,3.0,
5.0,5.0,,5.0,,,,,25.0,,,,,5.0,,,,Runed Copper Gauntlets,,,,Uncommon,,7.0,,10.0,,,,,,,,,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Cloudsbreak Grips,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,4.0,,,,,25.0,,,,,,,,,Mulit-Scaled Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Thunderhorn Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,30.0,,,,,4.0,,,,Ataeric's Gloves,,,,Uncommon,,,,10.0,,,,,,6.0,,,
,,,8.0,,,3.0,,30.0,,,,,3.0,,,,Ancient Handguards,,,,Uncommon,,,,10.0,,,,,,5.0,3.0,3.0,
,,,3.0,,,,,30.0,,,,,,,,,Grizzly Gloves,,,,Common,,9.0,,10.0,,,,,,,,,
,,,7.0,,,,,30.0,,,,,3.0,,,,Gloves of the Plate Fist,,,,Uncommon,,,,10.0,,,,,,4.0,3.0,3.0,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Starbreeze Gauntlets,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,2.0,,,,,30.0,,,,,3.0,,,,Scholar's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,3.0
,,,2.0,,,,,25.0,,,,,3.0,,,,Ex-Stealer's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,,2.0,,,,Mangy Claw Mitts,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,3.0,,,,,25.0,,,,,,,,,Monkey Handler Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,,,Torque-Applying Grips,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,,,Calico Gloves,,,,Poor,,10.0,,10.0,,,,,,,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Ointment-Coated Handwraps,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,5.0,,,,,30.0,,,,,,,,,Brackwater Gauntlets,,,,Common,,9.0,,10.0,,,,,,,,,
,,,5.0,,,,,30.0,,,,,,,,,Cadet Gauntlets,,,,Common,,8.0,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Worn Mail Gloves,,,,Poor,,6.0,,10.0,,,,,,,,,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Gor's Re-Inforced Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,2.0,,,,Fizzle's Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Journeyman's Gloves,,,,Common,,4.0,,10.0,,,,,,,,,
,,,6.0,,,,,25.0,,,,,,,,,Cold Steel Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Battle Worn Grips,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Loose Chain Gloves,,,,Poor,,2.0,,10.0,,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,,,Debt Collector's Grips,,,,Common,,,,10.0,,,,,,,,,
,,,9.0,,,,,35.0,,,,,4.0,,,,Corin's Handguards,,,,Uncommon,,,,10.0,,,,,,6.0,4.0,4.0,
,,,2.0,,,,,30.0,,,,,3.0,,,,Treaty Breaker Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,,,
,,,8.0,,,,,30.0,,,,,3.0,,,,Bellipotent Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,3.0,3.0,
4.0,4.0,,4.0,,,,,30.0,,,,,4.0,,,,Fine Leather Gloves,,,,Uncommon,,10.0,,10.0,,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Bloodspattered Gloves,,,,Uncommon,,10.0,,10.0,,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,,,,,,Spellbinder Gloves,,,,Common,,9.0,,10.0,,,,,,,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Fine-Link Gauntlets,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,2.0,,,,,30.0,,,,,,,,,Native Handwraps,,,,Common,,8.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Ancestral Gloves,,,,Common,,7.0,,10.0,,,,,,,,,
3.0,3.0,,3.0,,,,,25.0,,,,,3.0,,,,Cardio-Extractor Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,7.0,,,,,25.0,,,,,2.0,,,,Fortified Oven Mitts,,,,Uncommon,,,,10.0,,,,,,3.0,2.0,2.0,
,,,3.0,,,,,25.0,,,,,,,,,Pioneer Gloves,,,,Common,,6.0,,10.0,,,,,,,,,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Gunner's Grips,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,5.0,,,,,25.0,,,,,,,,,Imbued Infantry Gauntlets,,,,Uncommon,,6.0,,10.0,,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Fingerless Gloves,,,,Common,,6.0,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Charger's Handwraps,,,,Common,,5.0,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Light Mail Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Cloudsbreak Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,3.0,,,,,25.0,,,,,,,,,Burnt Leather Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Beaded Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Battle Worn Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Battle Worn Handguards,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Viny Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,,,Green Plate Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,Smith's Chain Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Merciless Hands,,,,Common,,,,10.0,,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,,,Bragger's Gauntlets,,,,Common,,,,10.0,,,,,,,,,
4.0,4.0,,6.0,,,4.0,,30.0,,,,,4.0,,,,Seedhandler's Soft Grips,,,,Uncommon,,,,10.0,,,,,,6.0,,,
,,,8.0,,,,,30.0,,,,,3.0,,,,Scalding Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,3.0,3.0,
3.0,3.0,,6.0,,,,,30.0,,,,,3.0,,,,Thessera's Gratitude,,,,Uncommon,,,,10.0,,,,,,5.0,,,
3.0,3.0,,6.0,,,4.0,,35.0,,,,,3.0,,,,Wild Rider's Mail Gauntlets,,,,Rare,,,,10.0,,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,,3.0,,,,Rotting Handwraps,,,,Uncommon,,,,10.0,,,,,,5.0,,,
,,,2.0,,,4.0,,30.0,,,,,3.0,,,,Bargain Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,,,
,,,2.0,,,6.0,,30.0,,,,,3.0,,,,Unsanitary Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,,,
3.0,3.0,,4.0,,,,,30.0,,,,,3.0,,,,Troublesome Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,2.0,,,,,30.0,,,,,,,,,Simple Gloves,,,,Common,,8.0,,10.0,,,,,,,,,
,,,7.0,,,,,30.0,,,,,3.0,,,,Protective Field Grips,,,,Uncommon,,,,10.0,,,,,,4.0,3.0,3.0,
3.0,3.0,,5.0,,,,,25.0,,,,,3.0,,,,Cardio-Extractor Handguards,,,,Uncommon,,,,10.0,,,,,,4.0,,,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Grasps of the Survivor,,,,Uncommon,,,,10.0,,,,,,3.0,,,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Plainstrider Handguards,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,2.0,,,,Night Web Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Uncorrupted Hands,,,,Uncommon,,,,10.0,,,,,,3.0,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Enforcer's Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,7.0,,,,,25.0,,,,,2.0,,,,Moss-Covered Gauntlets,,,,Uncommon,,,,10.0,,,,,,3.0,2.0,2.0,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Wrangling Grips,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Gardening Gloves,,,,Common,,,,10.0,,,,,,,,,
2.0,2.0,,4.0,,,,,25.0,,,,,2.0,,,,Hatchling Gloves,,,,Uncommon,,,,10.0,,,,,,2.0,,,
,,,3.0,,,,,25.0,,,,,,,,,Lion-Stamped Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Thunderhorn Handguards,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Handgrips of Verity,,,,Common,,1.0,,10.0,,,,,,,,,
,,,6.0,,,,,20.0,,,,,,,,,Durotar Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,,,,,,,,,,Proprietor's Mitts,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Burning Blade Coven Gloves,,,,Common,,,,10.0,,,,,,,,,
4.0,4.0,,4.0,,,4.0,,35.0,,,,,4.0,,,,Gloves of Unmitigated Badassery,,,,Uncommon,,,,10.0,,,,,,6.0,,,
,,,2.0,,,,,30.0,,,,,4.0,,,,Woolgathering Gloves,,,,Uncommon,,,,10.0,,,,,,6.0,,,
3.0,3.0,,4.0,,,,,30.0,,,,,3.0,,,,Rutsak Carriers,,,,Uncommon,,,,10.0,,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,War Blood Gloves,,,,Uncommon,,,,10.0,,,,,,5.0,,,
,,,2.0,,,,,30.0,,,,,3.0,,,,Narassin's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
5.0,5.0,,5.0,,,,,30.0,,,,,5.0,,,,Light Scale Gloves,,,,Uncommon,,8.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,3.0,,,,Ex-Stealer's Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,3.0,,,,,25.0,,,,,3.0,,,,Quilboar Skin Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,3.0,,,3.0,,25.0,,,,,3.0,,,,Foreman Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,4.0,,,,,25.0,,,,,,,,,Infantry Gauntlets,,,,Common,,6.0,,10.0,,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Yorick's Bequest,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Disciple's Gloves,,,,Common,,6.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Primal Mitts,,,,Common,,5.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Knitted Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Battered Leather Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,White Wolf Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
2.0,2.0,,5.0,,,,,25.0,,,,,2.0,,,,Uncorrupted Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Satin Lined Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,6.0,,,,,25.0,,,,,,,,,Spy Strangler Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Pilot's Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Auntie's Oven Mitts,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Xavren's Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Monkey Handler Fists,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Gloves of Verity,,,,Common,,1.0,,10.0,,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,,,Oil-Stained Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Sun Pearl Gloves,,,,Common,,1.0,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Outfitter Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Outfitter Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Torque-Applying Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,,,Friction Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,,,Worg Handler's Gloves,,,,Common,,,,10.0,,,,,,,,,
4.0,4.0,,6.0,,,4.0,,35.0,,,,,4.0,,,,Grips of the Lightning Fast Assasin,,,,Uncommon,,,,10.0,,,,,,6.0,,,
,,,9.0,,,,,30.0,,,,,4.0,,,,Unmistakable Gloves,,,,Uncommon,,,,10.0,,,,,,6.0,4.0,4.0,
3.0,3.0,,4.0,,,,,30.0,,,,,3.0,,,,Thessera's Gift,,,,Uncommon,,,,10.0,,,,,,5.0,,,
3.0,3.0,,6.0,,,,,30.0,,,,,3.0,,,,Gravedigger's Grips,,,,Uncommon,,,,10.0,,,,,,5.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Troublesome Grips,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,2.0,,,,,30.0,,,,,3.0,,,,Tangled Thread Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,,3.0,,,,Serpent-Crusher Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,5.0,,,,,25.0,,,,,,,,,War Torn Handgrips,,,,Common,,7.0,,10.0,,,,,,,,,
3.0,3.0,,5.0,,,,,25.0,,,,,3.0,,,,Quilboar Linked Gauntlets,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,4.0,,,,,25.0,,,,,,,,,Battle Chain Gloves,,,,Common,,6.0,,10.0,,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Gunner's Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,7.0,,,,,25.0,,,,,2.0,,,,Gallywix Laborer's Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,2.0,2.0,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,McCree's Sparring Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Woven Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Light Chain Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Cauldron Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Xavren's Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Gloves of Wisdom,,,,Common,,1.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Lorna's Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,Well-Oiled Chain Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,6.0,,,,,20.0,,,,,,,,,Herb-Stained Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,6.0,,,,,20.0,,,,,,,,,Gauntlets of Earth and Water,,,,Common,,1.0,,10.0,,,,,,,,,
,,,6.0,,,,,20.0,,,,,,,,,Gloves of Protection,,,,Common,,,,10.0,,,,,,,,,
,,,6.0,,,,,20.0,,,,,,,,,Gatewatcher's Plate Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,,,Gloves of the Two Birds,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,Gauntlets of Splashing Water,,,,Common,,1.0,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Gloves of Splashing Water,,,,Common,,1.0,,10.0,,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,,,Vault Cracker Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Lynxskin Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,Aid-Lender's Grips,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Archery Training Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,Glen Culler's Grips,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,,,Darius' Handguards,,,,Common,,,,10.0,,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,,,Ironstock's Iron Grips,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,30.0,,,,,3.0,,,,Evidence Collection Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,3.0,,,,,30.0,,,,,3.0,,,,Tharill's Blessing,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,2.0,,,,,30.0,,,,,3.0,,,,Skitterweb Glovelettes,,,,Uncommon,,,,10.0,,,,,,4.0,,,
3.0,3.0,,5.0,,,,,30.0,,,,,3.0,,,,Scaled Gloves of the Serpent,,,,Uncommon,,,,10.0,,,,,,4.0,,,
,,,7.0,,,,,30.0,,,,,3.0,,,,Saldean's Working Gloves,,,,Uncommon,,,,10.0,,,,,,4.0,3.0,3.0,
,,,3.0,,,,,25.0,,,,,,,,,Tribal Gloves,,,,Common,,7.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Imbued Disciple's Gloves,,,,Uncommon,,6.0,,10.0,,,,,,4.0,,,
,,,3.0,,,,,25.0,,,,,,,,,Imbued Pioneer Gloves,,,,Uncommon,,6.0,,10.0,,,,,,4.0,,,
,,,2.0,,,,,25.0,,,,,,,,,Recovered Knit Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Water-Stained Leather Gloves,,,,Common,,5.0,,10.0,,,,,,,,,
,,,2.0,,,,,,,,,,,,,,Water Wings,,,,Rare,,1.0,,10.0,,,,,,,,,
2.0,2.0,,3.0,,,,,25.0,,,,,2.0,,,,Hewn Kodo Gloves,,,,Uncommon,,,,10.0,,,,,,3.0,,,
,,,6.0,,,,,25.0,,,,,,,,,Gauntlets of Mercy,,,,Common,,1.0,,10.0,,,,,,,,,
,,,4.0,,,,,25.0,,,,,,,,,Warrior's Gloves,,,,Common,,4.0,,10.0,,,,,,,,,
,,,3.0,,,,,25.0,,,,,,,,,Double-Layered Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,25.0,,,,,,,,,Patchwork Gloves,,,,Poor,,2.0,,10.0,,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,,,Restless Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,6.0,,,,,20.0,,,,,,,,,Gallow's End Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,The Stone's Gauntlets,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Innkeeper's Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Flax Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Gloves of Potential Energy,,,,Common,,,,10.0,,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,,,Well Watcher Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Gloves of the Helping Hand,,,,Common,,,,10.0,,,,,,,,,
,,,4.0,,,,,20.0,,,,,,,,,Verdant Chain Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Dempsey's Gloves,,,,Common,,,,10.0,,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,,,Debt Collector's Gloves,,,,Common,,,,10.0,,,,,,,,,
