agi,agiint,agistr,agistrint,arcres,armorbonus,avoidance,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,healthrgn,int,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,pvppower,quality,reqlevel,reqspell,resirtng,slotbak,socket1,socket2,socket3,speed,speedbonus,spi,splpwr,sta,str,versatility
,,,,,,,,,15.0,,,,,,,,,,Smoking Heart of the Mountain,,,,,Rare,50.0,,,12.0,,,,,,,,,,15.0
,,,,,,,,0.08333333333333333,,,,,14.0,,,,,,Gyrofreeze Ice Reflector,,,,,Rare,47.0,,,12.0,,,,,,,,,,
,,,,,,,,0.016666666666666666,13.0,,,,,,,,,,Ramstein's Lightning Bolts,,,,,Rare,48.0,,,12.0,,,,,,,,,,
,,,,,,,,0.16666666666666666,21.0,,,,,,,,,,High-Powered Flashlight,,,,,Rare,49.0,,,12.0,,,,,,,,,,
,,,,,,,,0.25,,,,,,13.0,,,,,Essence of Eranikus' Shade,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,5.0,,,Figurine - Ruby Serpent,,,,,Uncommon,47.0,,,12.0,,,,,,,,5.0,,
,,,,,,,,0.05,,,,,,,,,,,Defiler's Talisman,,,,,Rare,48.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Counterattack Lodestone,,,12.0,,Rare,44.0,,,12.0,,,,,,,,,12.0,
12.0,,12.0,,,,,,0.25,,,,,,,,,,,Figurine - Truesilver Boar,,,,,Uncommon,42.0,,,12.0,,,,,,,,,12.0,
,,,,,,,,0.05,,,,,,,,,,,Talisman of Arathor,,,,,Rare,48.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Figurine - Emerald Owl,,,,,Uncommon,50.0,,,12.0,,,,,,,,,,7.0
,,,,,,,,,,,,,,,,,,,The Eye of Shadow,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Priest,,,,,,,,,,,,The Eye of Divinity,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,16.0,,,,,Swift Hand of Justice,,,,,Heirloom,,,,12.0,,,,,,,,,,
14.0,,14.0,,,,,,,,,,,,,,,,,Hand of Justice,,,,,Rare,51.0,,,12.0,,,,,,,,,14.0,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Insignia of the Horde,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmoon Card: Blue Dragon,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,16.0,,,,,,,,,,Bladefist's Breadth,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,16.0,,,Discerning Eye of the Beast,,,,,Heirloom,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Ultra-Flash Shadow Reflector,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,,0.0002777777777777778,,,16.0,,7.0,,5.0,,,,Frostwolf Insignia Rank 6,,,,,Epic,,,,12.0,,,,,,,,,,
,,,,,,,,,8.0,,,,,,,19.0,,,Neltharion's Tear,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Styleen's Impeding Scarab,,,18.0,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Talisman of Ephemeral Power,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Insignia of the Alliance,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,16.0,,,,,,,,,,Loa-Touched Warscroll,,,,,Heirloom,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmoon Card: Twisting Nether,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Mage,0.08333333333333333,,,,,,,,,,,Mind Quickening Gem,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Inherited Insignia of the Horde,,,,,Heirloom,,,,12.0,,,,,,,,19.0,,
,,,,,,,,0.0002777777777777778,,,16.0,,7.0,,5.0,,,,Stormpike Insignia Rank 6,,,,,Epic,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Essence of the Pure Flame,,,,,Epic,60.0,,,12.0,,,,,,,,,,
16.0,,,16.0,,,,,0.03333333333333333,,,,,,,,16.0,,,Kaldorei Powder of Twilight,,,,,Heirloom,,,,12.0,,,,,,,,,16.0,
,,,,,,,,0.016666666666666666,25.0,,,,,,,,,,Gnomish Lightning Generator,,,,,Rare,58.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,16.0,,,Hymnal of the 7th Legion,,,,,Heirloom,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Goblin Rocket Launcher,,,,,Rare,58.0,20222.0,,12.0,,,,,,,,33.0,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Orcish War Horn,,,,,Heirloom,,,,12.0,,,,,,,,24.0,,
,,,,,,,,0.03333333333333333,,,,,6.0,,,,,,Frostwolf Insignia Rank 1,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Shard of the Scale,,,,,Epic,60.0,,,12.0,,,,,,,,,,23.0
,,,,,,,,0.03333333333333333,,,,,,,,,,,Dwarven War Horn,,,,,Heirloom,,,,12.0,,,,,,,,24.0,,
16.0,,,16.0,,,,,0.03333333333333333,,,,,,,,16.0,,,Deathstalkers' Gloaming Powder,,,,,Heirloom,,,,12.0,,,,,,,,,16.0,
,,,,,,,,0.08333333333333333,,,,15.0,,,,,,,Hyper-Radiant Flame Reflector,,,,,Rare,53.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Sonic Booster,,,,,Rare,58.0,,,12.0,,,,,,,,31.0,,
,,,,,,,,,,,,,,,,21.0,,,Noise Machine,,,,,Rare,58.0,,,12.0,,,,,,,,,,
,,,,,,,,,16.0,,,,,,,,,,Death Knight's Anguish,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,16.0,,,Tome of Thalassian Hymns,,,,,Heirloom,,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Gnomish Poultryizer,,,,,Rare,58.0,20219.0,,12.0,,,,,,,,34.0,,
,,,,,,,,0.03333333333333333,,,,,6.0,,,,,,Stormpike Insignia Rank 1,,,,,Uncommon,,,,12.0,,,,,,,,,,
5.0,,5.0,,,,,,,5.0,,5.0,,,,,,,,Drake Fang Talisman,,,,,Epic,60.0,,,12.0,,,,,,,,,5.0,
,,,,,,,,0.05,,,,,,,,,,,Vanquished Tentacle of C'Thun,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.5,,,,,,,24.0,,,,Lifestone,,,,,Epic,51.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Badge of the Swarmguard,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Hunter,0.05,,,,,,,,,,,Renataki's Charm of Beasts,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmoon Card: Heroism,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Inherited Mark of Tyranny,,,,,Heirloom,,,,12.0,,,,,,,,19.0,,
,,,,,,,,0.025,16.0,,,,,,,,,,Vengeance of the Illidari,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,22.0,,,Briarwood Reed,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Inherited Insignia of the Alliance,,,,,Heirloom,,,,12.0,,,,,,,,19.0,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Hypnotist's Watch,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,16.0,,,,,,,,,,Tidesages' Warscroll,,,,,Heirloom,,,,12.0,,,,,,,,,,
,,,,,,,Warrior,0.08333333333333333,,,,,,,,,,,Lifegiving Gem,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.25,,,,,,,,14.0,,,Second Wind,,,,,Rare,51.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,16.0,,,,,,,,Regal Protectorate,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Shard of the Fallen Star,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Force of Will,,,,,Rare,51.0,,,12.0,,,,,,,,,,14.0
,,,,,,,,,,,,,,15.0,,,,,Heart of Wyrmthalak,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,Rogue,0.05,,,,,,,,,,,Renataki's Charm of Trickery,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Warmth of Forgiveness,,,,,Epic,60.0,,,12.0,,,,,,,,,,13.0
,,,,,,,,0.05,,,,,,,,,,,Scarab Brooch,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,14.0,,,,,Braxley's Backyard Moonshine,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,16.0,,,Rejuvenating Gem,,,,,Epic,60.0,,,12.0,,,,,,,,,,12.0
,,,,,,,,0.03333333333333333,,,,,6.0,,2.0,,,,Frostwolf Insignia Rank 2,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,The Lion Horn of Stormwind,,,,,Epic,58.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,20.0,,,,,Talisman of the Tundra,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,,20.0,,,,,,,,,,Serrah's Star,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Jom Gabbar,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmoon Card: Maelstrom,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Fetish of the Sand Reaver,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,10.0,,7.0,,4.0,,,,Stormpike Insignia Rank 4,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.25,,,,,,,,14.0,,,Burst of Knowledge,,,,,Rare,51.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,20.0,,,,,Fury of the Encroaching Storm,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Mender of the Oncoming Dawn,,,,,Rare,,,,12.0,,,,,,,,,,19.0
,,,,,,,,0.03333333333333333,20.0,,,,,,,,,,Strike of the Seas,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,15.0,,,Eye of the Dead,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,10.0,,7.0,,4.0,,,,Frostwolf Insignia Rank 4,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,9.0,,,,Shard of the Flame,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Priest,0.05,,,,,,,,,,,Hazza'rah's Charm of Healing,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,10.0,,8.0,,6.0,,,,Stormpike Insignia Rank 5,,,,,Rare,,,,12.0,,,,,,,,,,
19.0,,19.0,,,,,,0.03333333333333333,,,,,,,,,,,First Mate's Pocketwatch,,,,,Rare,,,,12.0,,,,,,,,,19.0,
,,,,,,,,0.03333333333333333,,,,,,,,20.0,,,Vial of Renewal,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,19.0,,,,,Fury of the Crimson Drake,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,20.0,,,,,Harbinger's Wrath,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,16.0,,,Glowing Crystal Insignia,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,10.0,,8.0,,6.0,,,,Frostwolf Insignia Rank 5,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,13.0,,6.0,,2.0,,,,Frostwolf Insignia Rank 3,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,Priest,0.08333333333333333,,,,,,,,,,,Aegis of Preservation,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,,,,,,,,,Insignia of the Scourge,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,20.0,,,,,Horn of the Herald,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,16.0,,,,,,,,,,Infused Coldstone Rune,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,Mage,0.05,,,,,,,,,,,Hazza'rah's Charm of Magic,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Defiler's Talisman,,,,,Rare,58.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,16.0,,,Ancient Crystal Talisman,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,6.0,,,,0.03333333333333333,,,,6.0,6.0,,,,,,Loatheb's Reflection,6.0,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,6.0,,2.0,,,,Stormpike Insignia Rank 2,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,13.0,,6.0,,2.0,,,,Stormpike Insignia Rank 3,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,16.0,,,,,,,,,,Warsong's Fervor,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Charm of Alacrity,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,16.0,,,The Restrained Essence of Sapphiron,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,0.05,,,,,,,,,,,Wushoolay's Charm of Nature,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Warlock,0.05,,,,,,,,,,,Hazza'rah's Charm of Destruction,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.5,,,,,,,,,,,Heart of the Scale,,,,,Rare,55.0,,,12.0,,,,,,,,15.0,,
,,,,,,,Rogue,0.08333333333333333,,,,,,,,,,,Venomous Totem,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.020833333333333332,,,,,,,,7.0,,,Draconic Infused Emblem,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Glyph of Deflection,,,6.0,,Epic,60.0,,,12.0,,,,,,,,,,
15.0,,15.0,,,,,,0.03333333333333333,,,,,,,,,,,Slayer's Crest,,,,,Epic,60.0,,,12.0,,,,,,,,,15.0,
,,,,,,,,0.03333333333333333,7.0,,,,,5.0,,,,,Kiss of the Spider,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Shaman,0.05,,,,,,,,,,,Wushoolay's Charm of Spirits,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,15.0,,,,,,,,,,Soul Harvester's Charm,,,,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,Warlock,0.08333333333333333,,,,,,,,,,,The Black Book,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Signet of the Dark Brotherhood,,,15.0,,Rare,,,,12.0,,,,,,,,,,
,,,,,,,,0.020833333333333332,,,,,,,,,,,Nat Pagle's Broken Reel,,,,,Rare,60.0,,,12.0,,,,,,,,,,
,,,,,,,Warrior,0.05,,,,,,,,,,,Gri'lek's Charm of Might,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Paladin,0.08333333333333333,,,,,,,,,,,Scrolls of Blinding Light,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Fetish of Chitinous Spikes,,,,,Rare,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Sailor's Knotted Charm,,,,,Rare,,,,12.0,,,,,,,,,,21.0
,,,,,,,,0.03333333333333333,14.0,,,,,,,,,,Eye of Diminution,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,Hunter,0.03333333333333333,,,,,,,,,,,Arcane Infused Gem,,,,,Epic,60.0,,,12.0,,,,,,,,,,
8.0,,,,,,,,0.08333333333333333,,,,,,,,,,,Figurine - Dark Iron Scorpid,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,Paladin,0.05,,,,,,,,,,,Gri'lek's Charm of Valor,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,15.0,,,,,,,,,,Smolderweb's Eye,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,20.0,,,,,Warsong's Wrath,,,,,Uncommon,,,,12.0,,,,,,,,,,
,,,,,,,,0.03333333333333333,,,,,,,,,,,Tidal Boon,,,,,Uncommon,,,,12.0,,,,,,,,,,21.0
,,,,,,,,0.03333333333333333,,,,,,,,,,,The Burrower's Shell,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Petrified Scarab,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.08333333333333333,,,15.0,,,,,,,,Figurine - Black Diamond Crab,,,,,Rare,55.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Eye of Moam,,,,,Rare,60.0,,,12.0,,,,,,,,,,
,,,,,,,Shaman,0.08333333333333333,,,,,,,,,,,Natural Alignment Crystal,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Mar'li's Eye,,,,,Rare,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.05,,,,,,,,,,,Talisman of Arathor,,,,,Rare,58.0,,,12.0,,,,,,,,,,
,,,,,,,Druid,0.08333333333333333,,,,,,,,,,,Rune of Metamorphosis,,,,,Epic,60.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,,,,,,,,,,,Hibernation Crystal,,,,,Epic,60.0,,,12.0,,,,,,,,,,
18.0,,18.0,,,,,,,,,,,,,,,,,Dragonspine Trophy,,,,,Epic,70.0,,,12.0,,,,,,,,,18.0,
,,,,,,,,,,,,,,,,18.0,,,Quagmirran's Eye,,,,,Rare,70.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Darkmoon Card: Crusade,,,,,Epic,70.0,,,12.0,,,,,,,,,,
18.0,,18.0,,,,,,0.03333333333333333,,,,,,,,,,,Bloodlust Brooch,,,,,Epic,70.0,,,12.0,,,,,,,,,18.0,
,,,,,,,,,18.0,,,,,,,,,,Hourglass of the Unraveller,,,,,Rare,68.0,,,12.0,,,,,,,,,,
,,,,,,,,0.025,18.0,,,,,,,,,,Scryer's Bloodgem,,,,,Rare,70.0,,,12.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Riding Crop,,,,,Rare,69.0,,,12.0,,,,,,,,,,
