agi,agistr,agistrint,arcres,classes,cooldown,critstrkrtng,dmg,dodgertng,firres,frores,hastertng,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,versatility
,,,,,,5.0,,,,,,5.0,,Darkmoon Necklace,,,,Rare,30.0,2.0,,,,,8.0,,
5.0,,,,,,,,,,,,,,Gnomeregan Amulet,,,,Uncommon,26.0,2.0,,,,,7.0,,
,,,,,,,,,,,,,,Senior Sergeant's Insignia,,,,Rare,30.0,2.0,,,,,8.0,,4.0
,,,,,,,,,,,,4.0,,Ghostshard Talisman,,,,Rare,30.0,2.0,,,,,8.0,,
,,,,,,3.0,,,,,,5.0,,Booty Bay Pendant,,,,Rare,,2.0,,,,,8.0,,
,,,,,,,,,,,,,,Mankrik's Amulet,,,,Uncommon,,2.0,,,,,8.0,5.0,
,,,,,,,,,,,,5.0,,Necklace of Evil Faces,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,0.0004166666666666667,,,,,,,6.0,,Amulet of the Moon,,,,Uncommon,25.0,2.0,,,,,,,6.0
,,,,,0.0004166666666666667,,,,,,,,,Heavy Golden Necklace of Battle,,,,Uncommon,30.0,2.0,,,,,8.0,6.0,
,,,,,,,,,,,,,,Greenstone Talisman,,,,Uncommon,30.0,2.0,,,,,8.0,5.0,
,,,,,,,,,,,,5.0,,Scorn's Icy Choker,,,,Rare,30.0,2.0,,,,,8.0,,
,,,,,,,,,,,,,,Emberspark Pendant,,,,Uncommon,30.0,2.0,,,,,8.0,,9.0
,,,,,,7.0,,,,,11.0,,,Stygian Bone Amulet,,,,Rare,30.0,2.0,,,,,8.0,,
,,,,,,,,,,,,,,Steelwing Pendant,,,,Uncommon,,2.0,,,,,7.0,5.0,
,,,,,,,,,,,,5.0,,Cerulean Talisman,,,,Uncommon,27.0,2.0,,,,,7.0,,
,,,,,,,,,,,,,,Basalt Necklace,,,,Uncommon,27.0,2.0,,,,,7.0,5.0,
5.0,,,,,,,,,,,,,,Luring Necklace,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,,,,,,,,,Small Pouch of Incense,,,,Uncommon,,2.0,,,,,7.0,5.0,
,,,,,,6.0,,,,,,5.0,,Amulet of Brilliant Talent,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,,,,,,,5.0,,Basilisk Scale Necklace,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,,,,,,,,,Bronze Torc,,,,Uncommon,21.0,2.0,,,,,,,5.0
,,,,,,,,,,,,,,Torntusk Pendant,,,,Uncommon,,2.0,,,,,7.0,5.0,
5.0,,,,,,,,,,,,,,Tundra Necklace,,,,Uncommon,28.0,2.0,,,,,7.0,,
,,,,,,7.0,,,,,9.0,,,Temperature-Sensing Necklace,,,,Rare,28.0,2.0,,,,,7.0,,
5.0,,,,,,,,,,,,,,Choker of Renewal,,,,Uncommon,,2.0,,,,,7.0,,
5.0,,,,,,,,,,,,,,Wolfpack Medallion,,,,Uncommon,26.0,2.0,,,,,7.0,,
5.0,,,,,,,,,,,,,,Razorbeak Amulet,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,,,,,,,5.0,,Spectral Necklace,,,,Uncommon,25.0,2.0,,,,,7.0,,
5.0,,,,,,,,,,,,,,Goris' Medallion,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,,,,,,,,,Dorn's Amulet,,,,Uncommon,,2.0,,,,,8.0,5.0,
,,,,,,,,,,,,,,Necklace of Harmony,,,,Uncommon,29.0,2.0,,,,,,,10.0
,,,,,,,,,,,,,,Armsmaster's Sealed Locket,,,,Rare,28.0,2.0,,,,,7.0,,16.0
,,,,,,10.0,,,,,6.0,,,Scorched Scarlet Key,,,,Rare,28.0,2.0,,,,,7.0,,
,,,,,,5.0,,,,,,5.0,,Grounding Choker,,,,Rare,,2.0,,,,,7.0,,
,,,,,,4.0,,,,,,,,Flashfire Collar,,,,Rare,,2.0,,,,,7.0,5.0,
,,,,,,,,,,,,,,Small Pouch of Incense,,,,Uncommon,,2.0,,,,,7.0,5.0,
,,,,,,5.0,,,,,,5.0,,Frazzlecraz Necklace,,,,Rare,,2.0,,,,,8.0,,
,,,,,,,,,,,,9.0,,Mark of the Kirin Tor,,,,Uncommon,30.0,2.0,,,,,,,3.0
5.0,,,,,,,,,,,,,,Whalefang Pendant,,,,Uncommon,,2.0,,,,,8.0,,
,,,,,,,,,,,,,,Master Sergeant's Insignia,,,,Rare,30.0,2.0,,,,,8.0,,4.0
,,,,,,5.0,,,,,,5.0,,Airburst Amulet,,,,Rare,,2.0,,,,,8.0,,
,,,,,,,,,,,,5.0,,Necklace of Evil Faces,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,5.0,,,,,,5.0,,Grounding Choker,,,,Rare,,2.0,,,,,7.0,,
,,,,,,,,,,,,,,Glowing Green Talisman,,,,Uncommon,25.0,2.0,,,,,7.0,,9.0
5.0,5.0,,,,,,,,,,,,,Barbaric Iron Collar,,,,Uncommon,25.0,2.0,,,,,,5.0,
5.0,,,,,,,,,,,,,,Velvet Choker,,,,Uncommon,,2.0,,,,,7.0,,
,,,,,,3.0,,,,,,,,Gazlowe's Charm,,,,Rare,36.0,2.0,,,,,9.0,4.0,
,,,,,,8.0,,,,,,,,Tempest Talisman,,,,Rare,36.0,2.0,,,,,9.0,,13.0
9.0,,,,,,,,,,,,,,Scout's Medallion,,,,Rare,38.0,2.0,,,,,9.0,,
,,,,,,6.0,,,,,,6.0,,Triune Amulet,,,,Rare,35.0,2.0,,,,,9.0,,
,,,,,,11.0,,,,,,,,Wyrmbog Amulet,,,,Rare,,2.0,,,,,9.0,,
,,,,,,,,,,,,6.0,,Necklace of Calisea,,,,Rare,38.0,2.0,,,,,9.0,,6.0
,,,,,,,,,,,11.0,,,Evil Eye Pendant,,,,Rare,40.0,2.0,,,,,10.0,,12.0
,,,,,,,,,,,15.0,,,Anarchist's Pendant,,,,Rare,39.0,2.0,,,,,9.0,,6.0
,,,,,,,,,,,13.0,,,Gemshard Heart,,,,Rare,34.0,2.0,,,,,9.0,,6.0
7.0,7.0,,,,0.0004166666666666667,,,,,,,,,Aquamarine Pendant of the Warrior,,,,Uncommon,39.0,2.0,,,,,,7.0,
,,,,,,,,,,,,9.0,,Dark Advisor's Pendant,,,,Rare,40.0,2.0,,,,,10.0,,
,,,,,,4.0,,,,,,6.0,,Reaper's Amulet,,,,Uncommon,,2.0,,,,,9.0,,
,,,,,0.0004166666666666667,,,,,,,9.0,,Jade Pendant of Blasting,,,,Uncommon,31.0,2.0,,,,,8.0,,
,,,,,,,,,,,7.0,,,Chimaera Heart Pendant,,,,Uncommon,,2.0,,,,,12.0,8.0,
,,,,,,,,,,,4.0,6.0,,Mirage Amulet,,,,Uncommon,,2.0,,,,,9.0,,
6.0,,,,,,,,,,,,,,Argent Medallion,,,,Uncommon,,2.0,,,,,9.0,,
,,,,,,,,,,,6.0,7.0,,Demon Heart Pendant,,,,Rare,,2.0,,,,,11.0,,
,,,,,,7.0,,,,,,7.0,,Amulet of Living Wood,,,,Uncommon,,2.0,,,,,11.0,,
,,,,,,,,,,,7.0,7.0,,Heart of the Fiend,,,,Rare,40.0,2.0,,,,,10.0,,
,,,,,,,,,,,,9.0,,Barbed Thorn Necklace,,,,Rare,40.0,2.0,,,,,10.0,,
,,,,,0.0004166666666666667,,,,,,,11.0,,Citrine Pendant of Golden Healing,,,,Uncommon,34.0,2.0,,,,,9.0,,
,,,,,,11.0,,,,,,,,Pendant of Ferocity,,,,Uncommon,,2.0,,,,,9.0,,
,,,,,,,,,,,6.0,8.0,,Firewater Amulet,,,,Uncommon,,2.0,,,,,12.0,,
,,,,,,10.0,,,,,12.0,,,Glowing Eye of Mordresh,,,,Rare,40.0,2.0,,,,,10.0,,
,,,,,,16.0,,,,,7.0,,,Elder Magus Pendant,,,,Rare,40.0,2.0,,,,,10.0,,
,,,,,,6.0,,,,,,6.0,,Pendant of the Ill-Advised,,,,Uncommon,,2.0,,,,,9.0,,
6.0,,,,,,,,,,,,,,Light-Touched Pendant,,,,Uncommon,,2.0,,,,,9.0,,
,,,,,,,,,,,,,,Chain of Lethon,,,,Rare,,2.0,,,,,9.0,6.0,
,,,,,,,,,,,,,,Thallium Choker,,,,Uncommon,31.0,2.0,,,,,8.0,5.0,
8.0,,,,,,,,,,,,,,Sunprism Pendant,,,,Uncommon,,2.0,,,,,13.0,,
,,,,,,7.0,,,,,,8.0,,Dream Pendant,,,,Rare,,2.0,,,,,12.0,,
,,,,,,5.0,,,,,,,,Flamestar Amulet,,,,Uncommon,,2.0,,,,,11.0,7.0,
,,,,,,5.0,,,,,,,,Flamestar Amulet,,,,Uncommon,,2.0,,,,,11.0,7.0,
,,,,,,,,,,,7.0,7.0,,Kelsey's Necklace,,,,Rare,,2.0,,,,,11.0,,
,,,,,,,,,,,7.0,7.0,,Kelsey's Necklace,,,,Rare,,2.0,,,,,11.0,,
,,,,,,6.0,,,,,,,,Gnomeregan Medallion of Merit,,,,Uncommon,,2.0,,,,,11.0,7.0,
,,,,,,,,,,,6.0,7.0,,Gretel's Pendant,,,,Uncommon,,2.0,,,,,11.0,,
,,,,,,,,,,,,,,Chain of Lethon,,,,Rare,,2.0,,,,,9.0,6.0,
8.0,,,,,,,,,,,7.0,,,Dream Amulet,,,,Rare,,2.0,,,,,12.0,,
,,,,,,,,,,,7.0,,,Dream Medallion,,,,Rare,,2.0,,,,,12.0,8.0,
7.0,,,,,,,,,,,6.0,,,Amulet of the Thorium Brotherhood,,,,Rare,,2.0,,,,,11.0,,
,,,,,,6.0,,,,,,,,Bilgewater Brooch,,,,Uncommon,,2.0,,,,,11.0,7.0,
7.0,,,,,,,,,,,,,,Pendant of the Gaping Chasm,,,,Uncommon,,2.0,,,,,10.0,,
7.0,,,,,,,,,,,,,,Jack's Lucky Charm,,,,Uncommon,,2.0,,,,,10.0,,
7.0,,,,,,5.0,,,,,,,,Purified Jaedenar Amulet,,,,Uncommon,,2.0,,,,,10.0,,
,,,,,,7.0,,,,,,,,Gidwin's Medallion,,,,Rare,,2.0,,,,,10.0,7.0,
,,,,,,,,,,,,,,Tellurium Necklace,,,,Uncommon,40.0,2.0,,,,,10.0,7.0,
,,,,,,,,,,,7.0,,,Necklace of the Dark Blaze,,,,Rare,39.0,2.0,,,,,9.0,,14.0
9.0,,,,,,,,,,,,,,Sentinel's Medallion,,,,Rare,38.0,2.0,,,,,9.0,,
,,,,,,4.0,,,,,,6.0,,Amulet of Spilling Blood,,,,Uncommon,,2.0,,,,,9.0,,
6.0,,,,,,,,,,,,,,Marsh Chain,,,,Uncommon,37.0,2.0,,,,,9.0,,
,,,,,,,,,,,,,,Iridium Chain,,,,Uncommon,36.0,2.0,,,,,9.0,6.0,
,,,,,,,,,,,,6.0,,Chain of Taerar,,,,Rare,,2.0,,,,,9.0,,
6.0,,,,,,,,,,,,,,Chain of Emeriss,,,,Rare,,2.0,,,,,9.0,,
,,,,,,,,,,,,6.0,,Chain of Taerar,,,,Rare,,2.0,,,,,9.0,,
,,,,,,,,,,,,6.0,,Jet Chain,,,,Uncommon,34.0,2.0,,,,,9.0,,
,,,,,,,,,,,,,,Andrea's Locket,,,,Uncommon,,2.0,,,,,9.0,6.0,
8.0,,,,,,,,,,,6.0,,,Amulet of Newfound Knowledge,,,,Rare,,2.0,,,,,12.0,,
7.0,,,,,,7.0,,,,,,,,Amulet of the Kaldorei Spirit,,,,Uncommon,,2.0,,,,,11.0,,
7.0,,,,,,6.0,,,,,,,,Koristrasza's Amulet,,,,Rare,,2.0,,,,,10.0,,
,,,,,,,,,,,,7.0,,Lodestone Necklace,,,,Uncommon,39.0,2.0,,,,,10.0,,
,,,,,,13.0,,,,,,,,Splintered Obsidian Shard,,,,Rare,35.0,2.0,,,,,9.0,,7.0
,,,,,,,,,,,4.0,6.0,,Mirage Amulet,,,,Uncommon,,2.0,,,,,9.0,,
6.0,,,,,,,,,,,,,,Chain of Emeriss,,,,Rare,,2.0,,,,,9.0,,
,,,,,,,,,,,,6.0,,Zen'Kiki's Thanks,,,,Uncommon,,2.0,,,,,9.0,,5.0
6.0,,,,,,,,,,,,,,Forest Pendant,,,,Uncommon,33.0,2.0,,,,,9.0,,
,,,,,,,,,,,16.0,,,Star of Mystaria,,,,Rare,42.0,2.0,,,,,10.0,,7.0
,,,,,,,,,12.0,,,,,Drakefire Amulet,,,,Rare,50.0,2.0,,,,,13.0,,
,,,,,1.0,,,,,,,,,Lei of Lilies,,,,Epic,46.0,2.0,,,,,11.0,,10.0
,,,,,,5.0,,,,,,,,Shriveled Troll Heart,,,,Rare,44.0,2.0,,,,,11.0,5.0,
,,,,,,16.0,,,,,11.0,,,The Dragon's Eye,,,,Rare,50.0,2.0,,,,,12.0,,
,,,,,,,,,,,,,,Senior Sergeant's Insignia,,,,Rare,45.0,2.0,,,,,11.0,,5.0
,,,,,,,,,,,8.0,,,Anastari Heirloom,,,,Rare,48.0,2.0,,,,,12.0,,18.0
,,,,,,17.0,,,,,,,,Animated Chain Necklace,,,,Rare,48.0,2.0,,,,,12.0,,10.0
11.0,,,,,,3.0,,,,,,,,Skibi's Pendant,,,,Rare,44.0,2.0,,,,,,4.0,
11.0,,,,,,,,,,,,,,Sentinel's Medallion,,,,Rare,48.0,2.0,,,,,12.0,,
,,,,,,,,,,,,12.0,,Horizon Choker,,,,Rare,46.0,2.0,,,,,11.0,,4.0
,,,,,,,,,,,,,,Selenium Chain,,,,Uncommon,49.0,2.0,,,,,12.0,8.0,
,,,,,,,,,,,,13.0,,Ruby Pendant of Fire,,,,Uncommon,42.0,2.0,,,,,,,
,,,,,,8.0,,,,,,,,Diana's Pearl Necklace,,,,Rare,42.0,2.0,,,,,10.0,,15.0
,,,,,,,,,,,,,,Vanadium Talisman,,,,Uncommon,45.0,2.0,,,,,11.0,7.0,
7.0,,,,,,,,,,,,,,Arctic Pendant,,,,Uncommon,46.0,2.0,,,,,11.0,,
,,,,,,7.0,,,,,7.0,,,Eidolon Talisman,,,,Rare,44.0,2.0,,,,,10.0,,
11.0,,,,,,,,,,,,,,Scout's Medallion,,,,Rare,48.0,2.0,,,,,12.0,,
,,,,,,,,,,,,,,Master Sergeant's Insignia,,,,Rare,45.0,2.0,,,,,11.0,,5.0
,,,,,,18.0,,,,,7.0,,,Lifeblood Amulet,,,,Rare,44.0,2.0,,,,,11.0,,
,,,,,,14.0,,,,,,,,Witch Doctor's Ritual Collar,,,,Rare,44.0,2.0,,,,,11.0,,11.0
4.0,,,,,,,,,,,,,,Entwined Opaline Talisman,,,,Uncommon,42.0,2.0,,,,,10.0,,
,,,,,,,,,,,,8.0,,Marble Necklace,,,,Uncommon,48.0,2.0,,,,,12.0,,
,,,,,,,41.0,,,,,,,Opal Necklace of Impact,,,,Rare,45.0,2.0,,,,,,,
7.0,,,,,,,,,,,,,,Desert Choker,,,,Uncommon,42.0,2.0,,,,,10.0,,
,,,,,,,,,,,,,,Talisman of the Naga Lord,,,,Uncommon,42.0,2.0,,,,,10.0,2.0,
,,,,,,,,,,,,6.0,,Fairy's Embrace,,,,Uncommon,42.0,2.0,,,,,10.0,,6.0
,,,,,,,,,,,,7.0,,Darkmoon Necklace,,,,Uncommon,50.0,2.0,,,,,,,18.0
,,,,,,,,,,,,7.0,,Onyx Choker,,,,Uncommon,43.0,2.0,,,,,11.0,,
3.0,,,,,,,,,12.0,,,,,Talisman of Binding Shard,12.0,,,Legendary,60.0,2.0,,,,,4.0,7.0,
,,,,,0.08333333333333333,13.0,,,,,13.0,,,Man'ari Training Amulet,,,,Heirloom,,2.0,,,,,14.0,,
,,,,,0.03333333333333333,13.0,,,,,,9.0,,Eternal Horizon Choker,,,,Heirloom,,2.0,,,,,14.0,,
,,,,,0.03333333333333333,,,,,,,,,Eternal Talisman of Evasion,,,,Heirloom,,2.0,,,,,14.0,9.0,13.0
,,,,,0.03333333333333333,13.0,,,,,,,,Eternal Emberfury Talisman,,,,Heirloom,,2.0,,,,,14.0,9.0,
9.0,,,,,0.03333333333333333,,,,,,13.0,,,Eternal Will of the Martyr,,,,Heirloom,,2.0,,,,,14.0,,
,,,,,,,,,,,,15.0,,Choker of the Fire Lord,,,,Epic,60.0,2.0,,,,,13.0,,
,,,,,0.03333333333333333,,,,,,,9.0,,Eternal Amulet of the Redeemed,,,,Heirloom,,2.0,,,,,14.0,,13.0
9.0,,,,,0.03333333333333333,,,,,,,,,Eternal Woven Ivy Necklace,,,,Heirloom,,2.0,,,,,14.0,,13.0
,,,,,,,,,,,,9.0,,Choker of Enlightenment,,,,Epic,60.0,2.0,,,,,13.0,,6.0
,,,,,,8.0,,7.0,,,,,,Eskhandar's Collar,,,,Epic,60.0,2.0,,,,,13.0,,
,,,,,,,,10.0,,,,,,Medallion of Steadfast Might,,,,Epic,60.0,2.0,,,,,13.0,5.0,
,,,,,,,,,,,,,,Lady Alizabeth's Pendant,,,,Rare,54.0,2.0,,,,,13.0,,13.0
13.0,,,,,,5.0,,,,,,,,Prestor's Talisman of Connivery,,,,Epic,60.0,2.0,,,,,13.0,,
11.0,,,,,,,,,,,,,,Amulet of the Darkmoon,,,,Epic,60.0,2.0,,,,,13.0,6.0,
,,,,,,10.0,,,,,,,,Imperial Jewel,,,,Rare,51.0,2.0,,,,,13.0,,18.0
7.0,,,,,,,,,7.0,,,,,Blazefury Medallion,,,,Epic,60.0,2.0,,,,,13.0,,
,,,,,,,,,,,,12.0,,Jeweled Amulet of Cainwyn,,,,Epic,55.0,2.0,,,,,13.0,,6.0
,,,,,,,,13.0,,,,,,Medallion of Grand Marshal Morris,,,,Rare,52.0,2.0,,,,,13.0,,
,,,,,,,,,,,,11.0,,Necklace of Calm Skies,,,,Rare,,2.0,,,,,17.0,,8.0
,,,,,,,,,,,,,,Master Sergeant's Insignia,,,,Rare,58.0,2.0,,,,,13.0,,6.0
12.0,,,,,,,,,,,,,,Sentinel's Medallion,,,,Rare,58.0,2.0,,,,,13.0,,
,,,,,,5.0,,11.0,,,,,,Tiled-Stone Pendant,,,,Rare,,2.0,,,,,17.0,11.0,
9.0,,,,,,,,,,,,,,Wind Dancer's Pendant,,,,Uncommon,,2.0,,,,,14.0,,
,,,,,,7.0,,,,,,12.0,,Amulet of Vek'nilash,,,,Epic,60.0,2.0,,,,,13.0,,
8.0,,,,,,,,,,,,,,Prismatic Pendant,,,,Uncommon,60.0,2.0,,,,,13.0,,
,,,,,,,,,,,,11.0,,Tooth of Gnarr,,,,Rare,55.0,2.0,,,,,13.0,,7.0
,,,,Death knight,,6.0,,,,,,,,Choker of Damnation,,,,Uncommon,55.0,2.0,,,,,13.0,10.0,
,,,,,,,,,,,11.0,12.0,,Amulet of the Tranquil Mind,,,,Rare,,2.0,,,,,17.0,,8.0
,,,,,,,,,,,,7.0,,Angelista's Charm,,,,Epic,60.0,2.0,,,,,13.0,,9.0
,,,,Death knight,,5.0,,,,,,,,Bladed Ebon Amulet,,,,Rare,,2.0,,,,,13.0,11.0,
,,,,,,11.0,,,,,,,,Razor-Blade Pendant,,,,Rare,,2.0,,,,,17.0,12.0,
,,,,,,11.0,,,,,,11.0,,Amulet of Constrained Power,,,,Rare,,2.0,,,,,17.0,,
,,,,,,,,,,,,11.0,,Clutch of Undying Will,,,,Rare,,2.0,,,,,17.0,,9.0
,,,,,,16.0,,,,,,11.0,,Puissance-Infused Pendant,,,,Uncommon,,2.0,,,,,17.0,,
,,,,,,8.0,,,,,,11.0,,Pendant of Revolutionary Thought,,,,Rare,,2.0,,,,,17.0,,
8.0,8.0,,,,,8.0,,,,,,,,The Eye of Hakkar,,,,Epic,60.0,2.0,,,,,,8.0,
,,,,,,,,14.0,,,,,,Talisman of Protection,,,,Rare,60.0,2.0,,,,,13.0,,
,,,,,,,,,,,,16.0,,Sapphire Pendant of Winter Night,,,,Uncommon,51.0,2.0,,,,,,,
11.0,,,,,,8.0,,,,,,,,Hundred Tooth Necklace,,,,Rare,,2.0,,,,,17.0,,
11.0,11.0,,,,,9.0,,,,,10.0,,,Chain of the Tolling Bell,,,,Rare,,2.0,,,,,17.0,11.0,
9.0,,,,,,,,5.0,,,,,,Master Dragonslayer's Medallion,,,,Epic,60.0,2.0,,,,,13.0,,
,,,,,,,,,,,,6.0,,Pendant of the Fallen Dragon,,,,Epic,60.0,2.0,,,,,13.0,,12.0
,,,,,,,,,,,,,,Quicksilver Pendant,,,,Uncommon,54.0,2.0,,,,,13.0,8.0,
,,,,,,12.0,,,,,16.0,,,Talisman of Evasion,,,,Rare,55.0,2.0,,,,,13.0,,
,,,,,,,,3.0,,,,,,Pendant of the Shifting Sands,,,,Epic,60.0,2.0,,,,,13.0,8.0,
,,,,,,,,,,,,8.0,,Amulet of the Shifting Sands,,,,Epic,60.0,2.0,,,,,13.0,,9.0
8.0,,,,,,,,,,,,,,Swamp Pendant,,,,Uncommon,51.0,2.0,,,,,13.0,,
,,,,,,11.0,,,,,,12.0,,Necklace of Fragmented Light,,,,Rare,,2.0,,,,,17.0,,
11.0,11.0,,,,,10.0,,,,,,,,Worg-Fang Talisman,,,,Uncommon,,2.0,,,,,17.0,11.0,
,,,,,,8.0,,,,,,11.0,,Chain of Vigilant Thought,,,,Rare,,2.0,,,,,17.0,,
,,,,,,,,,,,,11.0,,Iceflow Collar,,,,Uncommon,,2.0,,,,,17.0,,16.0
,,,,,,,,,,,,11.0,,Indomitable Choker of Light,,,,Rare,,2.0,,,,,17.0,,9.0
,,,,,,,,,,,,11.0,,Runed Clamshell Choker,,,,Uncommon,,2.0,,,,,17.0,,
,,,,,,,,,,,,9.0,,Pendant of the Marsh,,,,Uncommon,,2.0,,,,,14.0,,10.0
,,,,,,,,,,,,9.0,,Felforce Medallion,,,,Uncommon,,2.0,,,,,14.0,,
,,,,,,,,,,,,9.0,,Crimson Pendant of Clarity,,,,Rare,,2.0,,,,,13.0,,9.0
9.0,9.0,,,,,12.0,,,,,,,,Finely Wrought Chain,,,,Uncommon,,2.0,,,,,13.0,9.0,
,,,,,,,,,,,,9.0,,Heartblood Prayer Beads,,,,Rare,60.0,2.0,,,,,13.0,,6.0
,,,,,,,,,,12.0,,,,Touch of Frost,,,,Epic,60.0,2.0,,,,,13.0,,
,,,,,,,,,,,,16.0,,Chains of the Lich,,,,Rare,55.0,2.0,,,,,,,
8.0,8.0,,,,,7.0,,,,,,,,Barbed Choker,,,,Epic,60.0,2.0,,,,,13.0,8.0,
8.0,8.0,,,,,,,,,,,3.0,,Dragonheart Necklace,,,,Epic,60.0,2.0,,,,,13.0,8.0,3.0
,,,,,,,,,,,,11.0,,Orb of the Darkmoon,,,,Epic,60.0,2.0,,,,,13.0,,5.0
,,,,,,,,,,,,12.0,,Lady Maye's Pendant,,,,Epic,59.0,2.0,,,,,13.0,,6.0
,,,,,,,,,,,,8.0,,Granite Necklace,,,,Uncommon,57.0,2.0,,,,,13.0,,
,,,,,,,,,,,,,,Amulet of Shadow Shielding,,,,Epic,60.0,2.0,,,,,13.0,,4.0
,,,,,,,,,,,,6.0,,Drake Tooth Necklace,10.0,,,Epic,60.0,2.0,,,,,13.0,,
,,,,,,,,,,,,,,Woven Steel Necklace,,,11.0,Rare,,2.0,,,,,17.0,12.0,
11.0,11.0,,,,,9.0,,,,,10.0,,,Choker of Forceful Redemption,,,,Rare,,2.0,,,,,17.0,11.0,
,,,,,,,,,,,6.0,,,Pugnacious Collar,,,,Uncommon,,2.0,,,,,17.0,,
,,,,,,,,,,,,9.0,,Preserver's Medallion,,,,Uncommon,,2.0,,,,,14.0,,12.0
,,,,,,9.0,,,,,,,,Sedai's Necklace,,,,Uncommon,,2.0,,,,,14.0,9.0,
,,,,,,14.0,,,,,,6.0,,Gem of Trapped Innocents,,,,Epic,60.0,2.0,,,,,14.0,,
,,,,,,5.0,,9.0,,,,,,Mark of C'Thun,,,,Epic,60.0,2.0,,,,,13.0,,
9.0,9.0,,,,,9.0,,,,,,,,Imbued Chain,,,,Uncommon,,2.0,,,,,13.0,9.0,
9.0,9.0,,,,,7.0,,,,,,,,Sadist's Collar,,,,Epic,60.0,2.0,,,,,13.0,9.0,
