agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,sturdiness,versatility
,,,3.0,,,,,65.0,,,,,5.0,,,Vindicator's Woolies,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,16.0,,0.0002777777777777778,,,,,,,,,,,Medium Armor Kit,,,,Common,,5.0,,,,,,,,,,
,,,10.0,,,,,60.0,,,,,3.0,,,Togrik's Legguards,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Patched Pants,,,,Uncommon,,,7.0,,,,,4.0,,,,
5.0,5.0,,8.0,,,,,65.0,,,,,5.0,,,Absentminded Legguards,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,3.0,,,,,60.0,,,,,4.0,,,Simple Britches,,,,Uncommon,,9.0,7.0,,,,,6.0,,,,
4.0,4.0,,5.0,,,,,60.0,,,,,4.0,,,Grizzly Pants,,,,Uncommon,,9.0,7.0,,,,,6.0,,,,
5.0,5.0,,8.0,,,,,70.0,,,,,5.0,,,Scourge Lieutenant Breeches,,,,Uncommon,,,7.0,,,,,8.0,,,,
,,,10.0,,,,,60.0,,,,,3.0,,,Oil-Stained Leggings,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
3.0,3.0,,7.0,,,,,55.0,,,,,3.0,,,Fierce Britches,,,,Uncommon,,,7.0,,,,,5.0,,,,
5.0,5.0,,8.0,,,,,65.0,,,,,5.0,,,Profit Boon Legguards,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,3.0,,,,,80.0,,,,,5.0,,,Mor'shan Caravaneer's Leggings,,,,Rare,,,7.0,,,,,7.0,,,,
4.0,4.0,,7.0,,,,,60.0,,,,,4.0,,,War Torn Pants,,,,Uncommon,,9.0,7.0,,,,,6.0,,,,
,,,10.0,,,,,60.0,,,,,4.0,,,Stormwind Guard Leggings,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
,,,10.0,,,,,60.0,,,,,3.0,,,Restored Mennaran Plate,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
3.0,3.0,,7.0,,,,,60.0,,,,,3.0,,,Shard-Linked Greaves,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,12.0,,,,,70.0,,,,,5.0,,,Leg Bone Covers,,,,Uncommon,,,7.0,,,,,8.0,5.0,5.0,,
5.0,5.0,,8.0,,,,,65.0,,,,,5.0,,,Vindicator's Chain Leggings,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,3.0,,,,,60.0,,,,,5.0,,,Handstitched Linen Britches,,,,Uncommon,,9.0,7.0,,,,,,,,,5.0
,,,3.0,,,,,55.0,,,,,3.0,,,Verdigris Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,3.0,,,,,45.0,,,,,,,,Rough Leather Leggings,,,,Common,,,7.0,,,,,,,,,
5.0,5.0,,5.0,,,,,65.0,,,,,5.0,,,Vindicator's Leather Chaps,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,11.0,,,4.0,,80.0,,,,,4.0,,,Dividend Leggings,,,,Rare,,,7.0,,,,,6.0,4.0,4.0,,
,,,3.0,,,5.0,,60.0,,,,,4.0,,,Legwork Trousers,,,,Uncommon,,,7.0,,,,,6.0,,,,
3.0,3.0,,7.0,,,,,60.0,,,,,3.0,,,Infantry Leggings,,,,Uncommon,,7.0,7.0,,,,,5.0,,,,
,,,3.0,,,,,60.0,,,,,3.0,,,Thornweaver Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,3.0,,,,,55.0,,,,,5.0,,,Brown Linen Pants,,,,Uncommon,,5.0,7.0,,,,,,,,,
,,,9.0,,,,,55.0,,,,,,,,Copper Plate Pants,,,,Common,,4.0,7.0,,,,,,,,,
,,,12.0,,,,,85.0,,,,,5.0,,,Kalecgos' Gift,,,,Rare,,,7.0,,,,,8.0,5.0,5.0,,
,,,3.0,,,,,65.0,,,,,4.0,,,Seaworthy Leggings,,,,Uncommon,,,7.0,,,,,6.0,,,,
4.0,4.0,,7.0,,,,,65.0,,,,,4.0,,,Veteran Leggings,,,,Uncommon,,10.0,7.0,,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,,Warped Leather Pants,,,,Poor,,9.0,7.0,,,,,,,,,
4.0,4.0,,5.0,,,,,60.0,,,,,4.0,,,Spothide Leggings,,,,Uncommon,,,7.0,,,,,6.0,,,,
,,,3.0,,,,,60.0,,,,,3.0,,,Suppository Preventors,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Primal Leggings,,,,Uncommon,,6.0,7.0,,,,,5.0,,,,
,,,4.0,,,,,55.0,,,,,,,,Battered Leather Pants,,,,Common,,5.0,7.0,,,,,,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Archaeologist's Pants,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,9.0,,,,,55.0,,,,,3.0,,,Leftover Mechachicken Legs,,,,Uncommon,,,7.0,,,,,4.0,3.0,3.0,,
,,,6.0,,,,,50.0,,,,,,,,Sailor's Legguards,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Simple Linen Pants,,,,Common,,2.0,7.0,,,,,,,,,
3.0,3.0,,7.0,,,,,55.0,,,,,3.0,,,Mix-Match Linked Pants,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Tranquillien Breeches,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Hand-Welded Leggings,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,10.0,,,,,55.0,,,,,3.0,,,Hammerfoot's Plate Leggings,,,,Uncommon,,,7.0,,,,,4.0,3.0,3.0,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Witchdoctor Legwraps,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Rygna-Silk Leggings,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,6.0,,,,,55.0,,,,,,,,Warrior's Pants,,,,Uncommon,,5.0,7.0,,,,,4.0,,,,
,,,4.0,,,,,55.0,,,,,,,,Rough-Hewn Kodo Leggings,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Soft Britches,,,,Common,,1.0,7.0,,,,,,,,,
5.0,5.0,,5.0,,,5.0,,65.0,,,,,5.0,,,Hacker's Leggings,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,11.0,,,,,65.0,,,,,4.0,,,Auberdine Platemail,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
4.0,4.0,,5.0,,,,,65.0,,,,,4.0,,,Test Pilot Britches,,,,Uncommon,,,7.0,,,,,6.0,,,,
,,,3.0,,,,,65.0,,,,,4.0,,,Red Silk Trousers,,,,Uncommon,,,7.0,,,,,6.0,,,,
,,,3.0,,,,,60.0,,,,,3.0,,,Disciple's Pants,,,,Uncommon,,7.0,7.0,,,,,5.0,,,,
,,,10.0,,,,,55.0,,,,,3.0,,,Woven Plate Leggings,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
,,,10.0,,,,,55.0,,,,,3.0,,,Heavy Plate Leggings,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
,,,2.0,,,,,55.0,,,,,,,,Knitted Pants,,,,Common,,5.0,7.0,,,,,,,,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Ravager Scale Pants,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Urchin's Pants,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,5.0,,,,,50.0,,,,,,,,Springpaw Padded Greaves,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,50.0,,,,,,,,Padded Greaves,,,,Common,,1.0,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Tight-Fitting Leather Leggings,,,,Common,,,7.0,,,,,,,,,
,,,3.0,,,,,65.0,,,,,5.0,,,Inconspicuous Pantaloons,,,,Uncommon,,,7.0,,,,,7.0,,,,
5.0,5.0,,8.0,,,,,65.0,,,,,5.0,,,Nozzlepot Legwraps,,,,Uncommon,,,7.0,,,,,7.0,,,,
4.0,4.0,,5.0,,,,,65.0,,,,,4.0,,,Silver-Trim Leggings,,,,Uncommon,,,7.0,,,,,6.0,,,,
5.0,5.0,,7.0,,,,,60.0,,,,,5.0,,,Runed Copper Pants,,,,Uncommon,,8.0,7.0,,,,,6.0,,,,
,,,10.0,,,,,60.0,,,,,4.0,,,Emberstone Plate,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
,,,3.0,,,,,60.0,,,,,4.0,,,Kaboom Leggings,,,,Uncommon,,,7.0,,,,,6.0,,,,
3.0,3.0,,5.0,,,,,60.0,,,,,3.0,,,Pioneer Trousers,,,,Uncommon,,7.0,7.0,,,,,5.0,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Delicia's Tights,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Restless Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Shackled Bindings,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,6.0,,,,,55.0,,,,,,,,Light Chain Leggings,,,,Common,,5.0,7.0,,,,,,,,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Shackled Cuffs,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,8.0,,,,,50.0,,,,,,,,Barkplate Leggings,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Gnarlpine Leggings,,,,Common,,2.0,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Zombie Skin Leggings,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,45.0,,,,,,,,Roamer's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Abandoned Miner's Pants,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,45.0,,,,,,,,Beaten Plate Leggings,,,,Common,,,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Cold Focus Leggings,,,,Common,,,7.0,,,,,,,,,
5.0,5.0,,5.0,,,,,65.0,,,,,5.0,,,Nozzlepot Leggings,,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,11.0,,,,,65.0,,,,,4.0,,,Tranquillien Plate Leggings,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
4.0,4.0,,5.0,,,,,65.0,,,,,4.0,,,Archaeologist's Britches,,,,Uncommon,,,7.0,,,,,6.0,,,,
6.0,6.0,,5.0,,,,,65.0,,,,,6.0,,,Embossed Leather Pants,,,,Uncommon,,10.0,7.0,,,,,6.0,,,,
4.0,4.0,,7.0,,,,,60.0,,,,,4.0,,,Trousers of Desperate Measures,,,,Uncommon,,,7.0,,,,,6.0,,,,
3.0,3.0,,7.0,,,,,60.0,,,,,3.0,,,Orbital Greaves,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,2.0,,,,,55.0,,,,,,,,Calico Pants,,,,Poor,,6.0,7.0,,,,,,,,,
3.0,3.0,,7.0,,,,,55.0,,,,,3.0,,,Legguards of Eternal Longing,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Trousers of Turning Fortune,,,,Uncommon,,,7.0,,,,,4.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Duskwatcher's Leggings,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,4.0,,,,,55.0,,,,,,,,Ceremonial Leggings,,,,Common,,1.0,7.0,,,,,,,,,
,,,6.0,,,,,55.0,,,,,,,,Service Greaves,,,,Common,,1.0,7.0,,,,,,,,,
,,,6.0,,,,,55.0,,,,,,,,Quilboar Woven Chain Pants,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,50.0,,,,,,,,Loose Chain Pants,,,,Poor,,3.0,7.0,,,,,,,,,
,,,6.0,,,,,50.0,,,,,,,,Duskbat Mail Leggings,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Solliden's Trousers,,,,Common,,3.0,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Hand Sewn Pants,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,45.0,,,,,,,,Legs of the Wayward Elemental,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Thorncaller Trousers,,,,Common,,,7.0,,,,,,,,,
,,,11.0,,,,,60.0,,,,,4.0,,,Salvaged Plate Leggings,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
,,,3.0,,,,,60.0,,,,,4.0,,,Native Pants,,,,Uncommon,,9.0,7.0,,,,,6.0,,,,
4.0,4.0,,7.0,,,,,60.0,,,,,4.0,,,Cadet Leggings,,,,Uncommon,,9.0,7.0,,,,,6.0,,,,
,,,10.0,,,,,60.0,,,,,4.0,,,Rear Guard Britches,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
4.0,4.0,,5.0,,,,,60.0,,,,,4.0,,,Britches of Desperate Measures,,,,Uncommon,,,7.0,,,,,6.0,,,,
3.0,3.0,,5.0,,,,,60.0,,,,,3.0,,,Leggings of Uncanny Courage,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,7.0,,,,,60.0,,,,,3.0,,,Battle Chain Pants,,,,Uncommon,,7.0,7.0,,,,,5.0,,,,
,,,6.0,,,,,60.0,,,,,,,,Worn Mail Pants,,,,Poor,,7.0,7.0,,,,,,,,,
3.0,3.0,,7.0,,,,,60.0,,,,,3.0,,,Greaves of Uncanny Courage,,,,Uncommon,,,7.0,,,,,5.0,,,,
3.0,3.0,,7.0,,,,,55.0,,,,,3.0,,,Maggot-Ridden Greaves,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Vandril's Hand Me Down Pants,,,,Uncommon,,,7.0,,,,,5.0,,,,3.0
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Hightailing Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,4.0,,,,,55.0,,,,,,,,Water-Stained Leather Pants,,,,Common,,5.0,7.0,,,,,,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Leggings of Brown Grass,,,,Uncommon,,,7.0,,,,,4.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Britches of Turning Fortune,,,,Uncommon,,,7.0,,,,,4.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Senator's Dignified Pants,,,,Uncommon,,,7.0,,,,,4.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Witchdoctor Leggings,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,3.0,,,,,55.0,,,,,,,,Journeyman's Pants,,,,Uncommon,,5.0,7.0,,,,,,,,,5.0
,,,4.0,,,,,50.0,,,,,,,,Duskbat Pants,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Patchwork Pants,,,,Poor,,3.0,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Sailor's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Kul Tiras Leggings,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,50.0,,,,,,,,Protector's Legguards,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Wendigo Leggings,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Guard's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,50.0,,,,,,,,Legs of the Long Day,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Moss-Encrusted Chain Pants,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Spitescale Pants,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Fancy Pants,,,,Common,,,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Spymaster's Legs,,,,Common,,,7.0,,,,,,,,,
,,,7.0,,,,,40.0,,,,,,,,Bloodtalon Keeper Leggings,,,,Common,,,7.0,,,,,,,,,
,,,7.0,,,,,40.0,,,,,,,,Trogg Repeller Platemail,,,,Common,,,7.0,,,,,,,,,
,,,12.0,,,,,65.0,,,,,5.0,,,Vindicator's Iron Legguards,,,,Uncommon,,,7.0,,,,,7.0,5.0,5.0,,
4.0,4.0,,7.0,,,,,65.0,,,,,4.0,,,Archaeologist's Leggings,,,,Uncommon,,,7.0,,,,,6.0,,,,
4.0,4.0,,7.0,,,,,65.0,,,,,4.0,,,Silver-Trim Greaves,,,,Uncommon,,,7.0,,,,,6.0,,,,
3.0,3.0,,5.0,,,,,60.0,,,,,3.0,,,Orbital Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,3.0,,,3.0,,60.0,,,,,3.0,,,Unbound Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,3.0,,,,,60.0,,,,,3.0,,,Crystal-Flecked Pants,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,10.0,,,,,60.0,,,,,3.0,,,Crystal-Studded Legguards,,,,Uncommon,,,7.0,,,,,5.0,3.0,3.0,,
3.0,3.0,,7.0,,,,,55.0,,,,,3.0,,,Hightailing Greaves,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,4.0,,,,,55.0,,,,,,,,Rugged Leather Pants,,,,Uncommon,,6.0,7.0,,,,,5.0,,,,
,,,3.0,,,,,55.0,,,,,3.0,,,Beaded Britches,,,,Uncommon,,6.0,7.0,,,,,5.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Maggot-Ridden Leggings,,,,Uncommon,,,7.0,,,,,5.0,,,,
,,,2.0,,,,,55.0,,,,,,,,Woven Pants,,,,Common,,5.0,7.0,,,,,,,,,
,,,4.0,,,,,55.0,,,,,,,,Rough Leather Pants,,,,Common,,5.0,7.0,,,,,,,,,
,,,6.0,,,,,55.0,,,,,,,,Light Mail Leggings,,,,Common,,5.0,7.0,,,,,,,,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Senator's Handsome Leggings,,,,Uncommon,,,7.0,,,,,4.0,,,,
3.0,3.0,,4.0,,,,,55.0,,,,,3.0,,,Ravager Hide Leggings,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,2.0,,,,,55.0,,,,,,,,Survival Leggings,,,,Common,,1.0,7.0,,,,,,,,,
,,,9.0,,,,,55.0,,,,,,,,Legguards of the Brave,,,,Common,,1.0,7.0,,,,,,,,,
,,,2.0,,,,,55.0,,,,,,,,Agamand Family Leggings,,,,Common,,,7.0,,,,,,,,,
,,,6.0,,,,,,,,,,,,,Chain Kodo-Rider's Pants,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Rancher's Trousers,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Uncle Stonefield's Pants,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Weed Fiber Pants,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Worn Leather Pants,,,,Poor,,2.0,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Gilded Leggings,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Caregiver's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,50.0,,,,,,,,Homespun Leggings,,,,Common,,1.0,7.0,,,,,,,,,
,,,8.0,,,,,50.0,,,,,,,,Comfortable Greaves,,,,Common,,1.0,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Innkeeper's Longstockings,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,45.0,,,,,,,,Pikeman Trousers,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,45.0,,,,,,,,Ouster's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Clinking Chain Trousers,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Aversion Leggings,,,,Common,,,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Rabbit Chaser's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Toxin-Stained Pants,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,40.0,,,,,,,,Perimeter Britches,,,,Common,,,7.0,,,,,,,,,
5.0,5.0,,8.0,,,5.0,,65.0,,,,,5.0,,,"Leggings of the Hack ""Mage""",,,,Uncommon,,,7.0,,,,,7.0,,,,
,,,11.0,,,,,60.0,,,,,4.0,,,Dust Plains Greaves,,,,Uncommon,,,7.0,,,,,6.0,4.0,4.0,,
4.0,4.0,,7.0,,,,,60.0,,,,,4.0,,,Spothide Legguards,,,,Uncommon,,,7.0,,,,,6.0,,,,
3.0,3.0,,7.0,,,,,55.0,,,,,3.0,,,Charger's Pants,,,,Uncommon,,6.0,7.0,,,,,5.0,,,,
,,,6.0,,,,,55.0,,,,,,,,Salvaged Chain Leggings,,,,Common,,5.0,7.0,,,,,,,,,
3.0,3.0,,6.0,,,,,55.0,,,,,3.0,,,Duskwatcher's Legguards,,,,Uncommon,,,7.0,,,,,4.0,,,,
,,,2.0,,,,,55.0,,,,,,,,Recovered Knit Pants,,,,Common,,5.0,7.0,,,,,,,,,
,,,4.0,,,,,55.0,,,,,,,,Handstitched Leather Pants,,,,Common,,5.0,7.0,,,,,,,,,
,,,9.0,,,,,55.0,,,,,,,,Garren's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,55.0,,,,,,,,Quilboar Hide Leggings,,,,Common,,,7.0,,,,,,,,,
,,,4.0,,,,,50.0,,,,,,,,Springpaw Hide Leggings,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,50.0,,,,,,,,Wendigo Pantaloons,,,,Common,,,7.0,,,,,,,,,
,,,8.0,,,,,45.0,,,,,,,,Cannoneer's Leggings,,,,Common,,,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Canopy Leggings,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Coarse Mail Leggings,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Striding Pants,,,,Common,,,7.0,,,,,,,,,
,,,2.0,,,,,45.0,,,,,,,,Sedgeweed Britches,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Rabbit Chaser's Greaves,,,,Common,,,7.0,,,,,,,,,
,,,5.0,,,,,45.0,,,,,,,,Spy Dispatchers Greaves,,,,Common,,,7.0,,,,,,,,,
,,,3.0,,,,,45.0,,,,,,,,Poison-Cured Britches,,,,Common,,,7.0,,,,,,,,,
5.0,5.0,,5.0,,,5.0,,65.0,,,,,5.0,,,Ceremonial Leather Loincloth,,,,Uncommon,,12.0,7.0,,,,,,,,,
6.0,6.0,,6.0,,,,,75.0,,,,,6.0,,,Bandit Pants,,,,Uncommon,,17.0,7.0,,,,,9.0,,,,
,,,3.0,,,,,65.0,,,,,6.0,,,Barbaric Loincloth,,,,Uncommon,,11.0,7.0,,,,,6.0,,,,
,,,16.0,,,4.0,,80.0,,,,,7.0,,,Cobalt Legguards,,,,Uncommon,,,7.0,,,,,11.0,7.0,7.0,,
,,,4.0,,,,,90.0,,,,,6.0,,,Darkweave Breeches,,,,Rare,,17.0,7.0,,,,,9.0,,,,6.0
,,,3.0,,,,,65.0,,,,,5.0,,,Aboriginal Loincloth,,,,Uncommon,,12.0,7.0,,,,,7.0,,,,
,,,4.0,,,,,75.0,,,,,6.0,,,Buccaneer's Pants,,,,Uncommon,,17.0,7.0,,,,,9.0,,,,
6.0,6.0,,9.0,,,,,75.0,,,,,6.0,,,Outrunner's Legguards,,,,Uncommon,,17.0,7.0,,,,,9.0,,,,
5.0,5.0,,5.0,,,,,65.0,,,,,5.0,,,Bard's Trousers,,,,Uncommon,,13.0,7.0,,,,,7.0,,,,
7.0,7.0,,6.0,,,,,85.0,,,,,7.0,161.0,,Blackened Defias Leggings,,,,Rare,,15.0,7.0,,,,,8.0,,,,
