agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,holres,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,3.0,,,,,60.0,,,,,,,,Shimmering Amice,,,,Common,,19.0,3.0,,,,,,,,
,,,3.0,,,,,60.0,,,,,,,,Seer's Mantle,,,,Common,,16.0,3.0,,,,,,,,
4.0,4.0,,5.0,,,4.0,,70.0,,,,,,4.0,,Shadowfang Shoulderpads,,,,Rare,,,3.0,,,,,6.0,,,
5.0,5.0,,6.0,,,,,80.0,,,,,,5.0,,Khaz Modan Shoulderguards,,,,Rare,,,3.0,,,,,8.0,,,4.0
7.0,7.0,,9.0,,,,,65.0,,,,,,7.0,,Cutthroat Pauldrons,,,,Uncommon,,20.0,3.0,,,,,8.0,,,
5.0,5.0,,6.0,,,4.0,,70.0,,,,,,5.0,,Spaulders of the Hero,,,,Rare,,,3.0,,,,,7.0,,,
5.0,5.0,,6.0,,,4.0,,80.0,,,,,,5.0,,Khaz Modan Spaulders,,,,Rare,,,3.0,,,,,8.0,,,
,,,8.0,,,,,60.0,,,,,,,,Defender Spaulders,,,,Common,,19.0,3.0,,,,,,,,
,,,3.0,,,,,70.0,,,3.0,,,4.0,,Slime-Encrusted Pads,,,,Rare,,16.0,3.0,,,,,6.0,,,3.0
4.0,4.0,,5.0,,,,,60.0,,,,,,4.0,,Manager's Mantle,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,5.0,,,,,60.0,,,,,,,,Lupine Mantle,,,,Common,,16.0,3.0,,,,,,,,
4.0,4.0,,5.0,,,4.0,,70.0,,,,,,4.0,,Shadowfang Shoulderpads,,,,Rare,,,3.0,,,,,6.0,,,
,,,13.0,,,4.0,,80.0,,,3.0,,,5.0,,Thick Shellplate Shoulders,,,,Rare,,20.0,3.0,,,,,8.0,5.0,5.0,
5.0,5.0,,9.0,,,5.0,,65.0,,,,,,5.0,,Silvered Bronze Shoulders,,,,Uncommon,,20.0,3.0,,,,,8.0,,,
,,,3.0,,,,,60.0,,,,,,6.0,,Reinforced Woolen Shoulders,,,,Uncommon,,19.0,3.0,,,,,7.0,,,
,,,12.0,,,,,60.0,,,,,,4.0,,Merchant Marine Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
4.0,4.0,,5.0,,,,,60.0,,,,,,4.0,,Boran's Shoulderguards,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,11.0,,,4.0,,70.0,,,,,,4.0,,Deathstalker Pauldrons,,,,Rare,,,3.0,,,,,6.0,4.0,4.0,
,,,11.0,,,,,60.0,,,,,,4.0,,Feero's Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
,,,5.0,,,,,60.0,,,,,,,,Inscribed Leather Spaulders,,,,Common,,16.0,3.0,,,,,,,,
,,,7.0,,,,,60.0,,,,,,,,Raider's Shoulderpads,,,,Common,,16.0,3.0,,,,,,,,
4.0,4.0,,5.0,,,,,55.0,,,,,,4.0,,Bravo Company Monnions,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,46.0,,,,,85.0,,,14.0,,,18.0,,Missing Diplomat's Pauldrons,,,,Rare,,15.0,3.0,,,,,28.0,18.0,18.0,10.0
6.0,6.0,,10.0,,,,,65.0,,,,,,6.0,,Yvonia's Spaulders,,,,Uncommon,,,3.0,,,,,9.0,,,
4.0,4.0,,5.0,,,,,60.0,,,,,,4.0,,Gorat's Bequest,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,11.0,,,,,60.0,,,,,,4.0,,Burden of Sacrifice,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
4.0,4.0,,8.0,,,2.0,,70.0,,,4.0,,,4.0,,Cavern Slitherer Pauldrons,,,,Rare,,16.0,3.0,,,,,6.0,,,
,,,7.0,,,,,55.0,,,,,,,,Laced Mail Shoulderpads,,,,Poor,,15.0,3.0,,,,,,,,
,,,3.0,,,,,55.0,,,,,,4.0,,Spider-Handler's Mantle,,,,Uncommon,,,3.0,,,,,6.0,,,5.0
,,,5.0,,,,,60.0,,,,,,,,Feral Shoulder Pads,,,,Common,,19.0,3.0,,,,,,,,
5.0,5.0,,6.0,,,,,60.0,,,,,,5.0,,Highland Shoulderguards,,,,Uncommon,,,3.0,,,,,7.0,,,
,,,7.0,,,,,60.0,,,,,,,,Burnished Pauldrons,,,,Common,,17.0,3.0,,,,,,,,
4.0,4.0,,8.0,,,4.0,,70.0,,,,,,4.0,,Packleader's Chain Spaulders,,,,Rare,,,3.0,,,,,6.0,,,
,,,11.0,,,,,60.0,,,,,,4.0,,Gnarlbark Shoulders,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
4.0,4.0,,5.0,,,,,55.0,,,,,,4.0,,Floppy Shoulderguards,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,3.0,,,,,55.0,,,,,,,,Canvas Shoulderpads,,,,Poor,,15.0,3.0,,,,,,,,
,,,11.0,,,,,55.0,,,,,,4.0,,Bravo Company Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
,,,5.0,,,,,55.0,,,,,,,,Bashing Pauldrons,,,,Common,,15.0,3.0,,,,,,,,
,,,4.0,,,,,65.0,,,,,,5.0,,Shoulderwraps of Honor,,,,Uncommon,,,3.0,,,,,8.0,,,
,,,13.0,,,3.0,,80.0,,,,,,5.0,,Turnkey's Pauldrons,,,,Rare,,20.0,3.0,,,,,8.0,5.0,5.0,4.0
5.0,5.0,,8.0,,,4.0,,70.0,,,,,,5.0,,Pauldrons of the Hero,,,,Rare,,,3.0,,,,,7.0,,,
,,,7.0,,,,,60.0,,,,,,,,War Paint Shoulder Pads,,,,Common,,17.0,3.0,,,,,,,,
,,,5.0,,,,,60.0,,,,,,,,Bandit Shoulders,,,,Common,,17.0,3.0,,,,,,,,
4.0,4.0,,5.0,,,,,60.0,,,,,,4.0,,Starwhisper Monnions,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,7.0,,,,,55.0,,,,,,4.0,,Bravo Company Amice,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,5.0,,,,,55.0,,,,,,4.0,,Bravo Company Shoulderguards,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,11.0,,,,,65.0,,,3.0,,,4.0,,Missing Diplomat's Pauldrons,,,,Rare,,15.0,3.0,,,,,6.0,4.0,4.0,2.0
,,,15.0,,,6.0,,65.0,,,,,,6.0,,Shoulderguards of Warning,,,,Uncommon,,,3.0,,,,,9.0,6.0,6.0,
5.0,5.0,,9.0,,,2.0,,80.0,,,,,,5.0,,Bathiel's Scale Spaulders,,,,Rare,,20.0,3.0,,,,,8.0,,,5.0
,,,5.0,,,,,65.0,,,,,,,,Rawhide Shoulderpads,,,,Poor,,20.0,3.0,,,,,,,,
,,,3.0,,,,,60.0,,,,,,,,Pagan Mantle,,,,Common,,19.0,3.0,,,,,,,,
,,,8.0,,,,,60.0,,,,,,,,Blackrock Pauldrons,,,,Common,,18.0,3.0,,,,,,,,
,,,8.0,,,,,60.0,,,,,,,,Outrunner's Pauldrons,,,,Common,,18.0,3.0,,,,,,,,
,,,12.0,,,,,60.0,,,,,,5.0,,Burden of Shame,,,,Uncommon,,,3.0,,,,,7.0,5.0,5.0,
4.0,4.0,,5.0,,,,,60.0,,,,,,4.0,,Mudsnout Spaulders,,,,Uncommon,,,3.0,,,,,6.0,,,4.0
,,,11.0,,,4.0,,70.0,,,,,,4.0,,Lord Pythas' Pauldrons,,,,Rare,,16.0,3.0,,,,,6.0,4.0,4.0,2.0
,,,3.0,,,,,60.0,,,,,,,,Aboriginal Shoulder Pads,,,,Common,,16.0,3.0,,,,,,,,
,,,11.0,,,,,55.0,,,,,,4.0,,Quest Giver's Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
,,,15.0,,,,,65.0,,,,,,6.0,,Crackling Pauldrons,,,,Uncommon,,,3.0,,,,,9.0,6.0,6.0,5.0
,,,4.0,,,4.0,,80.0,,,,,,5.0,,Khaz Modan Mantle,,,,Rare,,,3.0,,,,,8.0,,,
,,,6.0,,,,,65.0,,,,,,,,Prospector's Pads,,,,Uncommon,,20.0,3.0,,,,,8.0,,,7.0
,,,6.0,,,,,65.0,,,,,,,,Forest Leather Mantle,,,,Uncommon,,20.0,3.0,,,,,8.0,,,7.0
,,,13.0,,,4.0,,60.0,,,,,,5.0,,Gavin's Pauldrons,,,,Uncommon,,,3.0,,,,,7.0,5.0,5.0,
,,,3.0,,,,,60.0,,,,,,,,Ritual Amice,,,,Common,,18.0,3.0,,,,,,,,
,,,3.0,,,,,60.0,,,,,,,,Mystic's Shoulder Pads,,,,Common,,17.0,3.0,,,,,,,,
,,,12.0,,,,,60.0,,,,,,4.0,,Haunted Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
4.0,4.0,,8.0,,,,,60.0,,,,,,4.0,,Gorat's Spaulders of Satisfaction,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,11.0,,,,,60.0,,,,,,4.0,,First Responder's Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,4.0,4.0,
4.0,4.0,,8.0,,,2.0,,70.0,,,4.0,,,4.0,,Shadowfang Pauldrons,,,,Rare,,16.0,3.0,,,,,6.0,,,
,,,3.0,,,,,55.0,,,,,,4.0,,Marblebeard's Shrug,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,4.0,,,7.0,,70.0,,,,,,6.0,,Sareth'na's Mantle,,,,Uncommon,,,3.0,,,,,9.0,,,
6.0,6.0,,7.0,,,,,65.0,,,,,,6.0,,Yvonia's Pauldrons,,,,Uncommon,,,3.0,,,,,9.0,,,
5.0,5.0,,9.0,,,4.0,,80.0,,,,,,5.0,,Khaz Modan Monnions,,,,Rare,,,3.0,,,,,8.0,,,
5.0,5.0,,9.0,,,,,80.0,,,,,,5.0,,Khaz Modan Pauldrons,,,,Rare,,,3.0,,,,,8.0,,,4.0
,,,3.0,,,,,60.0,,,,,,,,Brocade Shoulderpads,,,,Poor,,17.0,3.0,,,,,,,,
4.0,4.0,,8.0,,,,,60.0,,,,,,4.0,,Broadleaf Spaulders,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,8.0,,,,,60.0,,,,,,4.0,,Gorka's Brass Shoulderguards,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,7.0,,,,,60.0,,,,,,,,Linked Chain Shoulderpads,,,,Poor,,16.0,3.0,,,,,,,,
4.0,4.0,,8.0,,,,,60.0,,,,,,4.0,,Starwhisper Spaulders,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,7.0,,,,,55.0,,,,,,4.0,,Bravo Company Spaulders,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,3.0,,,,,55.0,,,,,,4.0,,Bravo Company Mantle,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,7.0,,,,,55.0,,,,,,4.0,,Keyton's Mail Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,4.0,,,5.0,,65.0,,,,,,5.0,,Mantle of Haunting,,,,Uncommon,,,3.0,,,,,8.0,,,
5.0,5.0,,8.0,,,,,60.0,,,,,,5.0,,Highland Chain Shoulders,,,,Uncommon,,,3.0,,,,,7.0,,,
,,,3.0,,,,,60.0,,,,,,,,Buccaneer's Mantle,,,,Common,,17.0,3.0,,,,,,,,
4.0,4.0,,8.0,,,,,60.0,,,,,,4.0,,Boran's Pauldrons,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,8.0,,,,,60.0,,,,,,4.0,,Orkus' Riding Spaulders,,,,Uncommon,,,3.0,,,,,6.0,,,4.0
4.0,4.0,,5.0,,,,,60.0,,,,,,4.0,,Broadleaf Mantle,,,,Uncommon,,,3.0,,,,,6.0,,,
4.0,4.0,,8.0,,,4.0,,70.0,,,,,,4.0,,Packleader's Chain Spaulders,,,,Rare,,,3.0,,,,,6.0,,,
,,,3.0,,,,,60.0,,,,,,4.0,,Forest Grace Mantle,,,,Uncommon,,,3.0,,,,,6.0,,,
,,,7.0,,,,,60.0,,,,,,,,Bloodspattered Shoulder Pads,,,,Common,,16.0,3.0,,,,,,,,
,,,3.0,,,,,60.0,,,,,,4.0,,Mourner's Stole,,,,Uncommon,,,3.0,,,,,6.0,,,
6.0,6.0,,11.0,,,6.0,,70.0,,,,,,6.0,,Thornwoven Epaulets,,,,Uncommon,,,3.0,,,,,9.0,,,
7.0,7.0,,8.0,,,,,70.0,,,,,,7.0,,Barbaric Shoulders,,,,Uncommon,,30.0,3.0,,,,,10.0,,,
10.0,10.0,,7.0,,,,,85.0,,,,,,10.0,,Forest Tracker Epaulets,,,,Rare,,26.0,3.0,,,,,9.0,,,
6.0,6.0,,7.0,,,6.0,,85.0,,,,,,6.0,,Mantle of the White Tiger,,,,Rare,,,3.0,,,,,9.0,,,
6.0,6.0,,7.0,,,6.0,,70.0,,,,,,6.0,,Puncture-Binding Spaulder,,,,Uncommon,,,3.0,,,,,9.0,,,
6.0,6.0,,7.0,,,,,70.0,,,4.0,,,6.0,,Monnion of the Bat,,,,Uncommon,,,3.0,,,,,9.0,,,
,,,20.0,,,7.0,,85.0,,,,,,8.0,,Pauldrons of the Promise,,,,Rare,,,3.0,,,,,12.0,8.0,8.0,
9.0,9.0,,8.0,,,6.0,,85.0,,,,,,9.0,,Mantle of Thieves,,,,Rare,,30.0,3.0,,,,,10.0,,,
7.0,7.0,,8.0,,,8.0,,85.0,,,,,,7.0,,Defiant Spire Shoulderguard,,,,Rare,,,3.0,,,,,10.0,,,
4.0,4.0,,7.0,,,,,85.0,,,,,,4.0,,Watchman Pauldrons,,,,Rare,,27.0,3.0,,,,,9.0,,,
,,,5.0,,,5.0,,85.0,,,,,,7.0,,Batwing Mantle,,,,Rare,,30.0,3.0,,,,,10.0,,,5.0
7.0,7.0,,11.0,,,8.0,,85.0,,,,,,7.0,,Rebellious Epaulets,,,,Rare,,,3.0,,,,,10.0,,,
6.0,6.0,,7.0,,,,,70.0,,,4.0,,,6.0,,Monnion of the Bat,,,,Uncommon,,,3.0,,,,,9.0,,,
,,,4.0,,,,,70.0,,,,,,10.0,,Silver-Thread Amice,,,,Uncommon,,24.0,3.0,,,,,9.0,,,
,,,5.0,,,,,70.0,,,,,,7.0,,Kodo-Repellant Shoulders,,,,Uncommon,,,3.0,,,,,10.0,,,
7.0,7.0,,8.0,,,7.0,,70.0,,,,,,7.0,,Battlescar Monnion,,,,Uncommon,,,3.0,,,,,10.0,,,
,,,4.0,,,,,70.0,,,,,,6.0,,Durable Shoulders,,,,Uncommon,,27.0,3.0,,,,,9.0,,,
7.0,7.0,,12.0,,,7.0,,70.0,,,,,,7.0,,Bael Modan Amice,,,,Uncommon,,,3.0,,,,,10.0,,,
,,,17.0,,,,,70.0,,,,,,7.0,,Tablet-Bearer's Pauldrons,,,,Uncommon,,,3.0,,,,,10.0,7.0,7.0,
7.0,7.0,,8.0,,,,,70.0,,,,,,7.0,,Soul Eater Shoulderguard,,,,Uncommon,,,3.0,,,,,10.0,,,
6.0,6.0,,10.0,,,6.0,,85.0,,,,,,6.0,,Monnion of the White Tiger,,,,Rare,,,3.0,,,,,9.0,,,
6.0,6.0,,11.0,,,5.0,,85.0,,,3.0,,,6.0,,Harlan's Shoulders,,,,Rare,,28.0,3.0,,,,,9.0,,,
,,,18.0,,,7.0,,70.0,,,,,,7.0,,Orca-Oiled Spaulders,,,,Uncommon,,,3.0,,,,,10.0,7.0,7.0,
,,,17.0,,,,,70.0,,,,,,7.0,,Ironpatch Shoulderguards,,,8.0,Uncommon,,,3.0,,,,,10.0,7.0,7.0,
7.0,7.0,,12.0,,,,,70.0,,,,,,7.0,,Thick Scale Shoulder Pads,,,,Uncommon,,29.0,3.0,,,,,10.0,,,
6.0,6.0,,11.0,,,,,70.0,,,4.0,,,6.0,,Spaulders of the Bat,,,,Uncommon,,,3.0,,,,,9.0,,,
7.0,7.0,,9.0,,,,,65.0,,,,,,7.0,,Lambent Scale Pauldrons,,,,Uncommon,,22.0,3.0,,,,,8.0,,,
7.0,7.0,,8.0,,,7.0,,70.0,,,,,,7.0,,Bael Modan Monnion,,,,Uncommon,,,3.0,,,,,10.0,,,
8.0,8.0,,11.0,,,,,70.0,,,8.0,,,8.0,,Barbaric Iron Shoulders,,,,Uncommon,,27.0,3.0,,,,,,,,
,,,4.0,,,,,70.0,,,6.0,,,6.0,,Swoop-Tail Shoulders,,,,Uncommon,,,3.0,,,,,9.0,,,
4.0,4.0,,10.0,,,,,85.0,,,,,,4.0,,Sparkleshell Mantle,,,,Rare,,24.0,3.0,,,,,9.0,,,
,,,5.0,,,,,70.0,,,,,,10.0,,Nightsky Mantle,,,,Uncommon,,30.0,3.0,,,,,,,,7.0
7.0,7.0,,8.0,,,,,70.0,,,,,,7.0,,Headhunter's Spaulders,,,,Uncommon,,30.0,3.0,,,,,10.0,,,
,,,5.0,,,6.0,,85.0,,,6.0,,,9.0,,Mantle of Doan,,,,Rare,,29.0,3.0,,,,,,,,
7.0,7.0,,8.0,,,,,70.0,,,,,,7.0,,Cutthroat's Mantle,,,,Uncommon,,29.0,3.0,,,,,10.0,,,
5.0,5.0,,9.0,,,,,65.0,,,,,,5.0,,Fortified Spaulders,,,,Uncommon,,21.0,3.0,,,,,8.0,,,
6.0,6.0,,9.0,,,,,65.0,,,3.0,,,6.0,,Hulking Spaulders,,,,Uncommon,,21.0,3.0,,,,,,,,
,,,17.0,,,,,70.0,,,,,,7.0,,Tablet-Bearer's Pauldrons,,,,Uncommon,,,3.0,,,,,10.0,7.0,7.0,
,,,4.0,,,5.0,,85.0,,,,,,6.0,,Hann Ibal's Epaulettes,,,,Rare,,,3.0,,,,,9.0,,,
6.0,6.0,,7.0,,,,,80.0,,,,,,6.0,,Earthbound Mantle,,,,Rare,,,3.0,,,,,9.0,,,
,,,6.0,,,,,65.0,,,,,,,,Tough Leather Shoulderpads,,,,Poor,,21.0,3.0,,,,,,,,
9.0,9.0,,12.0,,,,,70.0,,,,,,9.0,,Golden Scale Shoulders,,,,Uncommon,,30.0,3.0,,,,,10.0,,,
7.0,7.0,,12.0,,,7.0,,70.0,,,,,,7.0,,Battlescar Amice,,,,Uncommon,,,3.0,,,,,10.0,,,
6.0,6.0,,7.0,,,,,65.0,,,,,,6.0,,Wrangler's Mantle,,,,Uncommon,,23.0,3.0,,,,,9.0,,,
,,,18.0,,,7.0,,85.0,,,,,,7.0,,Twinbraid Shoulders,,,,Rare,,,3.0,,,,,10.0,7.0,7.0,
,,,5.0,,,,,70.0,,,,,,7.0,,Elder's Mantle,,,,Uncommon,,28.0,3.0,,,,,10.0,,,
10.0,10.0,,7.0,,,,,70.0,,,,,,10.0,,Emblazoned Shoulders,,,,Uncommon,,25.0,3.0,,,,,,,,4.0
,,,5.0,,,5.0,,85.0,,,4.0,,,7.0,,Death Speaker Mantle,,,,Rare,,30.0,3.0,,,,,10.0,,,
7.0,7.0,,8.0,,,,,70.0,,,,,,7.0,,Soul Eater Shoulderguard,,,,Uncommon,,,3.0,,,,,10.0,,,
,,,5.0,,,3.0,,85.0,,,6.0,,,7.0,,Forgotten Bloodmage Mantle,,,,Rare,,30.0,3.0,,,,,10.0,,,
,,,4.0,,,,,70.0,,,,,,12.0,,Resilient Mantle,,,,Uncommon,,27.0,3.0,,,,,,,,
6.0,6.0,,11.0,,,,,70.0,,,4.0,,,6.0,,Spaulders of the Bat,,,,Uncommon,,,3.0,,,,,9.0,,,
,,,4.0,,,5.0,,85.0,,,5.0,,,8.0,,Bloodmage Mantle,,,,Rare,,26.0,3.0,,,,,,,,
6.0,6.0,,10.0,,,,,65.0,,,,,,6.0,,Battleforge Shoulderguards,,,,Uncommon,,23.0,3.0,,,,,9.0,,,
9.0,9.0,,8.0,,,9.0,,70.0,,,,,,9.0,,Insignia Mantle,,,,Uncommon,,30.0,3.0,,,,,,,,
,,,5.0,,,,,70.0,,,,,,7.0,,Vital Shoulders,,,,Uncommon,,30.0,3.0,,,,,10.0,,,
,,,5.0,,,,,70.0,,,,,,7.0,,Thistlefur Mantle,,,,Uncommon,,29.0,3.0,,,,,10.0,,,
7.0,7.0,,11.0,,,,,70.0,,,,,,7.0,,Soul Eater Pauldrons,,,,Uncommon,,,3.0,,,,,10.0,,,
7.0,7.0,,11.0,,,,,70.0,,,,,,7.0,,Soul Eater Pauldrons,,,,Uncommon,,,3.0,,,,,10.0,,,
8.0,8.0,,10.0,,,,,70.0,,,7.0,,,8.0,,Glimmering Mail Pauldrons,,,,Uncommon,,25.0,3.0,,,,,,,,
9.0,9.0,,12.0,,,,,70.0,,,9.0,,,9.0,,Mail Combat Spaulders,,,,Uncommon,,30.0,3.0,,,,,,,,
,,,5.0,,,7.0,,70.0,,,,,,7.0,,Surlis' Mantle,,,,Uncommon,,,3.0,,,,,10.0,,,
6.0,6.0,,10.0,,,,,70.0,,,,,,6.0,,Sentry's Shoulderguards,,,,Uncommon,,25.0,3.0,,,,,9.0,,,
6.0,6.0,,10.0,,,,,80.0,,,,,,6.0,,Mantle of the Bound,,,,Rare,,,3.0,,,,,9.0,,,
,,,6.0,,,,,65.0,,,,,,,,Earthen Leather Shoulders,,,,Uncommon,,22.0,3.0,,,,,8.0,,,
5.0,5.0,,9.0,,,,,65.0,,,,,,5.0,,Spiked Chain Shoulder Pads,,,,Uncommon,,22.0,3.0,,,,,8.0,,,
5.0,5.0,,6.0,,,,,65.0,,,,,,5.0,,Salt-Cured Monnions,,,,Uncommon,,,3.0,,,,,8.0,,,
,,,4.0,,,,,65.0,,,,,,5.0,,Greenweave Mantle,,,,Uncommon,,21.0,3.0,,,,,8.0,,,
,,,18.0,,,,,70.0,,,7.0,,,7.0,,Spaulders of Sealing,,,,Uncommon,,,3.0,,,,,10.0,7.0,7.0,
6.0,6.0,,11.0,,,,,70.0,,,,,,6.0,,Wicked Chain Shoulder Pads,,,,Uncommon,,27.0,3.0,,,,,9.0,,,
8.0,8.0,,10.0,,,,,70.0,,,,,,8.0,,Elite Shoulders,,,,Uncommon,,25.0,3.0,,,,,9.0,,,
,,,15.0,,,,,65.0,,,,,,6.0,,Scrap Metal Pauldrons,,,,Uncommon,,,3.0,,,,,9.0,6.0,6.0,4.0
,,,4.0,,,,,65.0,,,,,,6.0,,Mantle of the Panther,,,,Uncommon,,,3.0,,,,,9.0,,,4.0
,,,4.0,,,,,65.0,,,,,,5.0,,Ivycloth Mantle,,,,Uncommon,,22.0,3.0,,,,,8.0,,,
5.0,5.0,,6.0,,,,,65.0,,,,,,5.0,,Palm Frond Shoulderpads,,,,Uncommon,,,3.0,,,,,8.0,,,
,,,5.0,,,,,70.0,,,,,,7.0,,Flightmare Mantle,,,,Uncommon,,,3.0,,,,,10.0,,,
,,,15.0,,,,,65.0,,,,,,6.0,,Spare Metal Pauldrons,,,,Uncommon,,,3.0,,,,,9.0,6.0,6.0,4.0
9.0,9.0,,6.0,,,,,65.0,,,,,,9.0,,Bristlebark Amice,,,,Uncommon,,22.0,3.0,,,,,8.0,,,
,,,18.0,,,7.0,,85.0,,,,,,7.0,,Stonespire Shoulders,,,,Rare,,,3.0,,,,,10.0,7.0,7.0,
7.0,7.0,,12.0,,,,,70.0,,,,,,7.0,,Heavy Scale Pauldrons,,,,Uncommon,,30.0,3.0,,,,,10.0,,,
,,,5.0,,,4.0,,70.0,,,,,,7.0,,Shadraspawn Mantle,,,,Uncommon,,,3.0,,,,,10.0,,,
,,,5.0,,,5.0,,70.0,,,,,,7.0,,Sea Song Epaulettes,,,,Uncommon,,,3.0,,,,,10.0,,,
7.0,7.0,,8.0,,,4.0,,85.0,,,,,,7.0,,Incarnadine Scarlet Spaulders,,,,Rare,,30.0,3.0,,,,,10.0,,,5.0
5.0,5.0,,11.0,,,,,70.0,,,,,,5.0,,Green Iron Shoulders,,,,Uncommon,,27.0,3.0,,,,,9.0,,,
6.0,6.0,,11.0,,,,,70.0,,,,,,6.0,,Banded Pauldrons,,,,Uncommon,,27.0,3.0,,,,,9.0,,,
6.0,6.0,,7.0,,,,,70.0,,,,,,6.0,,Robust Shoulders,,,,Uncommon,,25.0,3.0,,,,,9.0,,,
,,,4.0,,,,,70.0,,,,,,6.0,,Raincaller Mantle,,,,Uncommon,,24.0,3.0,,,,,9.0,,,
,,,4.0,,,,,65.0,,,,,,,,Cross-Stitched Shoulderpads,,,,Poor,,23.0,3.0,,,,,,,,
,,,10.0,,,,,65.0,,,,,,,,Glorious Shoulders,,,,Uncommon,,23.0,3.0,,,,,9.0,,,7.0
