agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,3.0,,,,,75.0,,,,3.0,,,Mankrik's Old Wedding Garments,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,5.0,,,,,75.0,,,,,,,Burnt Leather Vest,,,,Uncommon,,6.0,5.0,,,,,,,,6.0
,,,3.0,,,,,85.0,,,,4.0,,,Simple Blouse,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
5.0,5.0,,9.0,,,,,90.0,,,,5.0,,,Soothsayer's Harness,,,,Uncommon,,,5.0,,,,,7.0,,,9.0
5.0,5.0,,5.0,,,,,80.0,,,,5.0,,,Tribal Vest,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
,,,5.0,,,,,75.0,,,,,,,Brood Mother Carapace,,,,Uncommon,,5.0,5.0,,,,,4.0,,,
,,,3.0,,,,,75.0,,,,6.0,,,Foreman Vest,,,,Uncommon,,6.0,5.0,,,,,,,,
3.0,3.0,,5.0,,,,,70.0,,,,3.0,,,Yngwie's Vest,,,,Uncommon,,,5.0,,,,,4.0,,,
4.0,4.0,,5.0,,,,,80.0,,,,4.0,,,Footman Tunic,,,,Uncommon,,,5.0,,,,,6.0,,,
4.0,4.0,,8.0,,,,,80.0,,,,4.0,,,Sentinel's Leafbough Chestpiece,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,3.0,,,,,75.0,,,,5.0,,,Fallen Apprentice's Robe,,,,Uncommon,,,20.0,,,,,4.0,,,
,,,14.0,,,4.0,,90.0,,,,5.0,,,Breastplate of the Dragon Slayer,,,,Uncommon,,,5.0,,,,,7.0,5.0,5.0,
4.0,4.0,,5.0,,,,,80.0,,,,4.0,,,Tysha's Chestguard,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,3.0,,,,,80.0,,,,,,,Calico Tunic,,,,Poor,,8.0,5.0,,,,,,,,
6.0,6.0,,8.0,,,,,75.0,,,,6.0,,,Warrior's Tunic,,,,Uncommon,,6.0,5.0,,,,,,,,
,,,3.0,,,,,75.0,,,,3.0,,,Rat Hair Vest,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,3.0,,,,,75.0,,,,3.0,,,Airfield Defender's Garb,,,,Uncommon,,,20.0,,,,,4.0,,,
5.0,5.0,,6.0,,,5.0,,110.0,,,,5.0,,,Blue Hide Vest,,,,Rare,,,5.0,,,,,8.0,,,
,,,3.0,,,,,85.0,,,,8.0,,,Apothecary's Robe,,,,Uncommon,,10.0,20.0,,,,,,,,
,,,3.0,,,,,75.0,,,,,,,Blue Linen Vest,,,,Uncommon,,7.0,5.0,,,,,,,,6.0
,,,3.0,,,,,75.0,,,,,,,Red Linen Vest,,,,Uncommon,,7.0,5.0,,,,,,,,6.0
,,,3.0,,,,,75.0,,,,3.0,,,Seryl's Robes,,,,Uncommon,,,20.0,,,,,5.0,,,
3.0,3.0,,7.0,,,,,75.0,,,,3.0,,,Arachnophobe's Chain Shirt,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,11.0,,,3.0,,75.0,,,,3.0,,,Shrouded Bearskin Breastplate,,,,Uncommon,,,5.0,,,,,4.0,3.0,3.0,
5.0,5.0,,5.0,,,,,75.0,,,,5.0,,,Lionfur Armor,,,,Uncommon,,5.0,5.0,,,,,,,,
,,,3.0,,,,,70.0,,,,,,,Spider Web Robe,,,,Common,,4.0,20.0,,,,,,,,
,,,3.0,,,,,80.0,,,,5.0,,,Ancestral Tunic,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
5.0,5.0,,6.0,,,,,90.0,,,,5.0,,,Soothsaying Vest,,,,Uncommon,,,5.0,,,,,7.0,,,9.0
,,,16.0,,0.0002777777777777778,,,,,,,,,,Medium Armor Kit,,,,Common,,5.0,,,,,,,,,
5.0,5.0,,5.0,,,,,80.0,,,,5.0,,,Hard Crawler Carapace,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
4.0,4.0,,6.0,,,,,85.0,,,,4.0,,,Gnoll War Harness,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
,,,3.0,,,,,80.0,,,,,,,Blue Linen Robe,,,,Uncommon,,9.0,20.0,,,,,,,,7.0
,,,3.0,,,,,75.0,,,,3.0,,,Waterbearer's Robes,,,,Uncommon,,,20.0,,,,,4.0,,,
,,,3.0,,,,,75.0,,,,3.0,,,Well-Stitched Robe,,,,Uncommon,,,20.0,,,,,4.0,,,
,,,2.0,,,,,60.0,,,,,,,Flax Vest,,,,Common,,,5.0,,,,,,,,
4.0,4.0,,8.0,,,,,85.0,,,,4.0,,,Cadet Vest,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
,,,3.0,,,,,75.0,,,,6.0,,,Journeyman's Robe,,,,Uncommon,,6.0,20.0,,,,,,,,
,,,11.0,,,,,75.0,,,,3.0,,,Cairne's First Breastplate,,,,Uncommon,,,5.0,,,,,4.0,3.0,3.0,
,,,3.0,,,,,65.0,,,,,,,"Dampwick's ""Best"" Robes",,,,Common,,,20.0,,,,,,,,
6.0,6.0,,8.0,,,,,85.0,,,,6.0,,,Slarkskin,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
,,,12.0,,,,,75.0,,,,3.0,,,Kargal's Breastplate,,,,Uncommon,,,5.0,,,,,5.0,3.0,3.0,
,,,3.0,,,,,75.0,,,,3.0,,,Beaded Robe,,,,Uncommon,,6.0,20.0,,,,,5.0,,,
,,,8.0,,,,,55.0,,,,,,,Wolf Hunter's Vest,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,90.0,,,,5.0,,,Vest of Forsaken Necromancy,,,,Uncommon,,,5.0,,,,,8.0,,,
,,,4.0,,,,,85.0,,,,4.0,,,Robe of Shame,,,,Uncommon,,,20.0,,,,,6.0,,,
,,,3.0,,,,,85.0,,,,4.0,,,Simple Robe,,,,Uncommon,,10.0,20.0,,,,,6.0,,,
8.0,8.0,,6.0,,,,,85.0,,,,8.0,,,Deathstalker's Vest,,,,Uncommon,,10.0,5.0,,,,,,,,
,,,3.0,,,,,80.0,,,,4.0,,,Disciple's Vest,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
4.0,4.0,,12.0,,,,,80.0,,,,4.0,,,Battle Chain Tunic,,,,Uncommon,,8.0,5.0,,,,,,,,
,,,3.0,,,,,80.0,,,,5.0,,,Ancestral Robe,,,,Uncommon,,8.0,20.0,,,,,6.0,,,
,,,12.0,,,,,75.0,,,,3.0,,,Cage-Launcher's Plate,,,,Uncommon,,,5.0,,,,,5.0,3.0,3.0,
,,,14.0,,,,,90.0,,,,5.0,,,Vessel of the Dark Lady,,,,Uncommon,,,5.0,,,,,8.0,5.0,5.0,
5.0,5.0,,6.0,,,4.0,,90.0,,,,5.0,,,Vest of the Dragon Slayer,,,,Uncommon,,,5.0,,,,,7.0,,,
,,,6.0,,,,,85.0,,,,,,,Spore-Covered Tunic,,,,Uncommon,,,5.0,,,,,6.0,,,6.0
,,,12.0,,,,,80.0,,,,4.0,,,Salvoblast Tunic,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
,,,3.0,,,,,75.0,,,,3.0,,,Sleeping Robes,,,,Uncommon,,,20.0,,,,,4.0,,,
,,,2.0,,,,,60.0,,,,,,,Robes of the Sun,,,,Common,,,20.0,,,,,,,,
,,,4.0,Mage,,,,95.0,,,,5.0,,,Manaweave Robe,,,,Uncommon,,,20.0,,,,,8.0,,,
,,,13.0,,,,,85.0,,,,4.0,,,Jessera's Fungus Lined Hauberk,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
,,,13.0,,,,,85.0,,,,4.0,,,An'telas Plate Shirt,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
,,,13.0,,,,,85.0,,,,,,,Suncrown Breastplate,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
4.0,4.0,,8.0,,,,,85.0,,,,4.0,,,Wax-Polished Armor,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
,,,12.0,,,4.0,,80.0,,,,4.0,,,Sentinel Hill Breastplate,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
,,,12.0,,,,,80.0,,,,4.0,,,Thelsamar Breastplate,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
,,,3.0,,,,,80.0,,,,4.0,,,Disciple's Robe,,,,Uncommon,,8.0,20.0,,,,,6.0,,,
,,,3.0,,,2.0,,80.0,,,,4.0,,,Sentinel Hill Surcoat,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,2.0,,,,,65.0,,,,,,,Robes of the Water Spirit,,,,Common,,1.0,20.0,,,,,,,,
,,,2.0,,,,,60.0,,,,,,,Northshire Abbot's Robe,,,,Common,,,20.0,,,,,,,,
,,,2.0,,,,,55.0,,,,,,,Darkspear Magic Weaver Tunic,,,,Uncommon,,,5.0,,,,,,,,
4.0,4.0,,6.0,,,,,85.0,,,,4.0,,,Retainer Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
8.0,8.0,,8.0,,,,,85.0,,,,8.0,,,Deathstalker's Hauberk,,,,Uncommon,,10.0,5.0,,,,,,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Farstrider's Chainmail,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Primal Wraps,,,,Uncommon,,6.0,5.0,,,,,5.0,,,
,,,5.0,,,,,75.0,,,,,,,Ranger's Vest,,,,Common,,,5.0,,,,,,,,
,,,11.0,,,,,75.0,,,,3.0,,,Executor's Breastplate,,,,Uncommon,,,5.0,,,,,4.0,3.0,3.0,
,,,3.0,,,,,70.0,,,,,,,Violet Robes,,,,Common,,4.0,20.0,,,,,,,,
,,,3.0,,,,,70.0,,,,,,,Robes of Endless Raiding,,,,Common,,,20.0,,,,,,,,
,,,3.0,,,,,70.0,,,,,,,Brown Linen Vest,,,,Common,,3.0,5.0,,,,,,,,
,,,3.0,,,,,70.0,,,,,,,Snowy Robe,,,,Common,,3.0,20.0,,,,,,,,
,,,9.0,,,,,65.0,,,,,,,Jasperlode Chestguard,,,,Common,,,5.0,,,,,,,,
,,,9.0,,,,,60.0,,,,,,,Rugged Plate Vest,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,90.0,,,,5.0,,,Charged Robes,,,,Uncommon,,,20.0,,,,,7.0,,,
4.0,4.0,,6.0,,,,,85.0,,,,4.0,,,Jessera's Fungus Lined Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,13.0,,,,,85.0,,,,4.0,,,Emberstone Breastplate,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
,,,8.0,,,,,85.0,,,,,,,Guerrilla Armor,,,,Uncommon,,10.0,5.0,,,,,,,,8.0
,,,3.0,,,,,80.0,,,,,,,Barbaric Linen Vest,,,,Uncommon,,9.0,5.0,,,,,6.0,,,5.0
,,,7.0,,,,,80.0,,,,,,,Worn Mail Vest,,,,Poor,,9.0,5.0,,,,,,,,
7.0,7.0,,5.0,,,,,80.0,,,,7.0,,,White Leather Jerkin,,,,Uncommon,,8.0,5.0,,,,,,,,
4.0,4.0,,5.0,,,4.0,,80.0,,,,4.0,,,Sentinel Hill Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Kranal's Chestplate,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,5.0,,,,,75.0,,,,,,,Embossed Leather Vest,,,,Uncommon,,7.0,5.0,,,,,5.0,,,
,,,5.0,,,,,75.0,,,,,,,Warped Leather Vest,,,,Poor,,6.0,5.0,,,,,,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Kurken Hide Jerkin,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,7.0,,,,,75.0,,,,,,,Loose Chain Vest,,,,Poor,,5.0,5.0,,,,,,,,
,,,11.0,,,,,70.0,,,,3.0,,,Hailwood Chestpiece,,,,Uncommon,,,5.0,,,,,4.0,3.0,3.0,
,,,9.0,,,,,65.0,,,,,,,Rough Copper Vest,,,,Common,,2.0,5.0,,,,,,,,
,,,2.0,,,,,65.0,,,,,,,Patchwork Armor,,,,Poor,,2.0,5.0,,,,,,,,
,,,2.0,,,,,55.0,,,,,,,Darkspear Soothsayer Robes,,,,Uncommon,,,20.0,,,,,,,,
,,,,,,,,,,,,,,,Pilgrim's Robe,,,,Uncommon,,,20.0,,,,,,,,
,,,13.0,,,,,85.0,,,,4.0,,,Earth-Crusted Breastplate,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
4.0,4.0,,8.0,,,,,80.0,,,,4.0,,,Infantry Tunic,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
,,,3.0,,,,,80.0,,,,4.0,,,Ale-Soaked Robes,,,,Uncommon,,,20.0,,,,,6.0,,,
,,,3.0,,,,,75.0,,,,3.0,,,Beaded Wraps,,,,Uncommon,,6.0,5.0,,,,,5.0,,,
3.0,3.0,,7.0,,,,,75.0,,,,3.0,,,Kurken Padded Chainmail,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,3.0,,,,,75.0,,,,5.0,,,Red Linen Robe,,,,Uncommon,,5.0,20.0,,,,,,,,
,,,11.0,,,,,75.0,,,,3.0,,,Ravager Chitin Tunic,,,,Uncommon,,,5.0,,,,,4.0,3.0,3.0,
,,,4.0,,,,,70.0,,,,,,,Worn Leather Vest,,,,Poor,,4.0,5.0,,,,,,,,
,,,6.0,,,,,60.0,,,,,,,Woodland Chainmail,,,,Common,,,5.0,,,,,,,,
,,,5.0,,,,,60.0,,,,,,,Valley Defense Hauberk,,,,Common,,,5.0,,,,,,,,
5.0,5.0,,9.0,,,4.0,,90.0,,,,5.0,,,Chainmail of the Dragon Slayer,,,,Uncommon,,,5.0,,,,,7.0,,,
4.0,4.0,,6.0,,,4.0,,100.0,,,,4.0,,,Vest of Fortune,,,,Rare,,,5.0,,,,,6.0,,,
4.0,4.0,,6.0,,,,,85.0,,,,4.0,,,Black Leather Jerkin,,,,Uncommon,,,5.0,,,,,6.0,,,
4.0,4.0,,8.0,,,,,80.0,,,,4.0,,,Lion Guard Chainmail,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,5.0,,,,,75.0,,,,,,,Black Bear Hide Vest,,,,Common,,7.0,5.0,,,,,,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Goat Hide Vest,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,11.0,,,,,75.0,,,,3.0,,,Ichor Stained Vest,,,,Uncommon,,,5.0,,,,,5.0,3.0,3.0,
3.0,3.0,,7.0,,,,,75.0,,,,3.0,,,Grimaxe's Chainmail Breastplate,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,3.0,,,,,75.0,,,,,,,Knitted Tunic,,,,Common,,5.0,5.0,,,,,,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Tunic of Dark Leather,,,,Uncommon,,,5.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Grimaxe's Black Breastplate,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,5.0,,,,,75.0,,,,,,,Battered Leather Harness,,,,Common,,5.0,5.0,,,,,,,,
3.0,3.0,,7.0,,,,,70.0,,,,3.0,,,Yngwie's Tunic,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,3.0,,,,,70.0,,,,,,,Protector's Robes,,,,Common,,1.0,20.0,,,,,,,,
,,,8.0,,,,,60.0,,,,,,,Spitescale Breastplate,,,,Common,,,5.0,,,,,,,,
4.0,4.0,,9.0,,,,,85.0,,,,4.0,,,Dark Chain Shirt,,,,Uncommon,,,5.0,,,,,6.0,,,
4.0,4.0,,9.0,,,4.0,,100.0,,,,4.0,,,Hauberk of Fortune,,,,Rare,,,5.0,,,,,6.0,,,
2.0,2.0,,5.0,,,,,80.0,,,,2.0,,,Riverpaw Leather Vest,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
4.0,4.0,,5.0,,,,,80.0,,,,4.0,,,Pioneer Tunic,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
,,,3.0,,,,,80.0,,,,,,,Double-Stitched Robes,,,,Common,,8.0,20.0,,,,,,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Chestguard of Forward Directions,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,11.0,,,,,75.0,,,,3.0,,,Elekk Rider's Plate,,,,Uncommon,,,5.0,,,,,5.0,3.0,3.0,
,,,5.0,,,,,75.0,,,,,,,Rough Leather Vest,,,,Common,,5.0,5.0,,,,,,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Arachnophobe's Breastplate,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,3.0,,,,,75.0,,,,,,,Brown Linen Robe,,,,Uncommon,,5.0,20.0,,,,,,,,5.0
5.0,5.0,,7.0,,,,,75.0,,,,5.0,,,Copper Chain Vest,,,,Uncommon,,5.0,5.0,,,,,,,,
,,,5.0,,,,,70.0,,,,,,,Lumberjack Jerkin,,,,Common,,4.0,5.0,,,,,,,,
,,,10.0,,,,,70.0,,,,,,,Ritual Breastplate,,,,Common,,1.0,5.0,,,,,,,,
,,,2.0,,,,,65.0,,,,,,,"""Flying"" Worgen Robes",,,,Common,,,20.0,,,,,,,,
,,,6.0,,,,,60.0,,,,,,,Padded Chainmail,,,,Common,,,5.0,,,,,,,,
,,,6.0,,,,,60.0,,,,,,,Scavenger Vest,,,,Common,,,5.0,,,,,,,,
,,,2.0,,,,,60.0,,,,,,,Light Silk Robe,,,,Common,,,20.0,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,Scarred Battleboar Chest,,,,Common,,,5.0,,,,,,,,
,,,8.0,,,,,60.0,,,,,,,Merchant's Chestguard,,,,Common,,,5.0,,,,,,,,
,,,8.0,,,,,55.0,,,,,,,Rockjaw Breastplate,,,,Common,,,5.0,,,,,,,,
,,,3.0,,,,,55.0,,,,,,,Tunnel Worm Vest,,,,Common,,,5.0,,,,,,,,
,,,5.0,,,,,55.0,,,,,,,Bloodtalon Chain Vest,,,,Common,,,5.0,,,,,,,,
,,,14.0,,,5.0,,90.0,,,,5.0,,,Robotronic Vest,,,,Uncommon,,,5.0,,,,,7.0,5.0,5.0,
,,,4.0,,,,,90.0,,,,5.0,,,Emerald Vest,,,,Uncommon,,,5.0,,,,,7.0,,,
5.0,5.0,,9.0,,,,,90.0,,,,5.0,,,Ergll's Body Sieve,,,,Uncommon,,,5.0,,,,,7.0,,,
5.0,5.0,,6.0,,,,,90.0,,,,5.0,,,Spongy Vest,,,,Uncommon,,,5.0,,,,,7.0,,,
4.0,4.0,,6.0,,,4.0,,85.0,,,,4.0,,,Aetherion Imbued Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
4.0,4.0,,6.0,,,,,85.0,,,,4.0,,,Nozzlepot's Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
,,,13.0,,,4.0,,85.0,,,,4.0,,,Waptor Scale Bweastpwate,,,,Uncommon,,,5.0,,,,,6.0,4.0,4.0,
4.0,4.0,,9.0,,,4.0,,85.0,,,,4.0,,,Auberdine Ringmail Tunic,,,,Uncommon,,,5.0,,,,,6.0,,,
5.0,5.0,,8.0,,,2.0,,80.0,,,,5.0,,,Battle Chain Vest,,,,Uncommon,,8.0,5.0,,,,,,,,
,,,3.0,,,,,80.0,,,,4.0,,,Sea Sister Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
5.0,5.0,,8.0,,,,,80.0,,,,5.0,,,Dargol's Hauberk,,,,Uncommon,,8.0,5.0,,,,,6.0,,,
3.0,3.0,,8.0,,,3.0,,75.0,,,,3.0,,,Uncovered Chestguard,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Bulldozer Vest,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Steel Thunder Chestbrace,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Kranal's Vest,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Heavy Mechanic's Hauberk,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Elekk Tender's Chain,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Elekk Handler's Leathers,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,8.0,,,,,75.0,,,,3.0,,,Treetender Tunic,,,,Uncommon,,,5.0,,,,,5.0,,,
,,,7.0,,,,,75.0,,,,,,,Light Mail Armor,,,,Common,,5.0,5.0,,,,,,,,
,,,3.0,,,,,75.0,,,,5.0,,,White Linen Robe,,,,Uncommon,,5.0,20.0,,,,,,,,
,,,3.0,,,,,75.0,,,,,,,Recovered Knit Vest,,,,Common,,5.0,5.0,,,,,,,,
,,,7.0,,,,,70.0,,,,,,,Thornroot Hauberk,,,,Common,,,5.0,,,,,,,,
,,,3.0,,,,,70.0,,,,,,,Devlin's Shirt,,,,Common,,,5.0,,,,,,,,
,,,3.0,,,,,70.0,,,,,,,Plain Robe,,,,Common,,3.0,20.0,,,,,,,,
,,,4.0,,,,,65.0,,,,,,,Earthmother's Vest,,,,Common,,,5.0,,,,,,,,
,,,9.0,,,,,65.0,,,,,,,Fur Lined Breastplate,,,,Common,,,5.0,,,,,,,,
,,,6.0,,,,,65.0,,,,,,,Hauberk of the Razor Guard,,,,Common,,,5.0,,,,,,,,
,,,6.0,,,,,65.0,,,,,,,Miner's Overcoat,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,65.0,,,,,,,Dark Ranger's Vest,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,Weathered Leather Vest,,,,Common,,,5.0,,,,,,,,
,,,5.0,,,,,55.0,,,,,,,Tunnel Worm Chestguard,,,,Common,,,5.0,,,,,,,,
,,,3.0,,,,,55.0,,,,,,,Fierce Heart Vest,,,,Common,,,5.0,,,,,,,,
,,,2.0,,,,,55.0,,,,,,,Explorer's Robe,,,,Common,,,20.0,,,,,,,,
4.0,4.0,,9.0,,,,,85.0,,,,4.0,,,Retainer Tunic,,,,Uncommon,,,5.0,,,,,6.0,,,
6.0,6.0,,8.0,,,,,85.0,,,,6.0,,,Slarkhide,,,,Uncommon,,10.0,5.0,,,,,6.0,,,
4.0,4.0,,6.0,,,,,80.0,,,,4.0,,,Wolfsbane Vest,,,,Uncommon,,,5.0,,,,,6.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Harness of Forward Directions,,,,Uncommon,,,5.0,,,,,5.0,,,
3.0,3.0,,5.0,,,,,75.0,,,,3.0,,,Bloodfang Vest,,,,Uncommon,,,5.0,,,,,5.0,,,
5.0,5.0,,5.0,,,,,75.0,,,,5.0,,,Sleek Feathered Tunic,,,,Uncommon,,5.0,5.0,,,,,,,,
,,,7.0,,,,,75.0,,,,,,,Light Chain Armor,,,,Common,,5.0,5.0,,,,,,,,
,,,5.0,,,,,75.0,,,,,,,Water-Stained Leather Harness,,,,Common,,5.0,5.0,,,,,,,,
,,,3.0,,,,,75.0,,,,,,,Woven Vest,,,,Common,,5.0,5.0,,,,,,,,
3.0,3.0,,7.0,,,,,75.0,,,,3.0,,,Vest of Dark Chainmail,,,,Uncommon,,,5.0,,,,,4.0,,,
,,,5.0,,,,,70.0,,,,,,,Thornroot Vest,,,,Common,,,5.0,,,,,,,,
,,,5.0,,,,,70.0,,,,,,,Vest of Compassion,,,,Common,,1.0,5.0,,,,,,,,
,,,4.0,,,,,70.0,,,,,,,Hard Leather Tunic,,,,Common,,,5.0,,,,,,,,
,,,9.0,,,,,65.0,,,,,,,Chestguard of the Beating Drum,,,,Common,,,5.0,,,,,,,,
,,,3.0,,,,,65.0,,,,,,,Candlewax Streaked Robe,,,,Common,,,20.0,,,,,,,,
,,,4.0,,,,,65.0,,,,,,,Black Leather Vest,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,Woodland Tunic,,,,Common,,,5.0,,,,,,,,
,,,6.0,,,,,60.0,,,,,,,Deputy's Chainmail,,,,Common,,,5.0,,,,,,,,
,,,9.0,,,,,60.0,,,,,,,Weathered Plate Tunic,,,,Common,,,5.0,,,,,,,,
,,,9.0,,,,,60.0,,,,,,,Barkplate Vest,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,Goldshire Heavy Jacket,,,,Common,,,5.0,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,Sun Pearl Vest,,,,Common,,1.0,5.0,,,,,,,,
,,,2.0,,,,,60.0,,,,,,,Woodland Robes,,,,Common,,,20.0,,,,,,,,
,,,4.0,,,,,60.0,,,,,,,Scavenger Tunic,,,,Common,,,5.0,,,,,,,,
,,,6.0,,,,,60.0,,,,,,,Scarred Battleboar Breastplate,,,,Common,,,5.0,,,,,,,,
,,,2.0,,,,,60.0,,,,,,,Athlete's Robe,,,,Common,,,20.0,,,,,,,,
,,,3.0,,,,,55.0,,,,,,,Winter Jacket,,,,Common,,,5.0,,,,,,,,
,,,5.0,,,,,55.0,,,,,,,Plundered Rockjaw Chestguard,,,,Common,,,5.0,,,,,,,,
4.0,4.0,,9.0,,,,,85.0,,,,4.0,,,Jessera's Fungus Lined Chainmail,,,,Uncommon,,,5.0,,,,,6.0,,,
