agi,agiint,arcres,armor,armorbonus,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,healthrgn,int,itemset,manargn,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,reqspell,slotbak,socket1,socket2,socket3,speed,splpwr,sta,str,strint,versatility
,,,19.0,,,,9.0,,85.0,,,,,9.0,,,,Booty Bay Helm,,,,Rare,,,,1.0,,,,,,14.0,9.0,9.0,
9.0,9.0,,9.0,,,,9.0,,85.0,,,,,9.0,,,,Goblin Miner's Helm,,,,Rare,,,,1.0,,,,,,14.0,,,
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Emblazoned Hat,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,8.0
,,,5.0,,,,9.0,,85.0,,,,,9.0,,,,Veil of Aerie Peak,,,,Rare,,,,1.0,,,,,,14.0,,,
,,,10.0,,,,,,70.0,,,,,,,,,Cap of Harmony,,,,Uncommon,,,,1.0,,,,,,16.0,,,13.0
9.0,9.0,,9.0,,,,6.0,,85.0,,,,,9.0,,,,Whisperwind Headdress,,,,Rare,,30.0,,1.0,,,,,,14.0,,,6.0
,,,5.0,,,,,,70.0,,,,,3.0,,,,Resilient Cap,,,,Uncommon,,28.0,,1.0,,,,,,13.0,,,5.0
,,,5.0,,,,9.0,,85.0,,,,,9.0,,,,Darkcleric's Veil,,,,Rare,,,,1.0,,,,,,14.0,,,
9.0,9.0,,9.0,,,,,,85.0,,,,,9.0,,,,Headguard of Aerie Peak,,,,Rare,,,,1.0,,,,,,14.0,,,
7.0,7.0,,13.0,,,,,,70.0,,,,,7.0,,,,Green Iron Helm,,,,Uncommon,,29.0,,1.0,,,,,,13.0,,,
,,,18.0,,,,,,70.0,,,,,9.0,,,,Princess Poobah's Tiara,,,,Uncommon,,,,1.0,,,,,,13.0,9.0,9.0,
9.0,9.0,,12.0,,,,,,70.0,,,,,9.0,,,,Landlubber Helm,,,,Uncommon,,,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Gryphon-Down Scarf,,,,Uncommon,,,,1.0,,,,,,13.0,,,
9.0,9.0,,8.0,,,,,,70.0,,,,,9.0,,,,Ruffled Chaplet,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Watcher's Cap,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Sage's Circlet,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,9.0,,,,Elder's Hat,,,,Uncommon,,29.0,,1.0,,,,,,13.0,,,
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Robust Helm,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,6.0,,70.0,,,,,9.0,,,,Demonkiller Mask,,,,Uncommon,,,,1.0,,,,,,14.0,,,
9.0,9.0,,13.0,,,,,,85.0,,,,,9.0,,,,Aerie Headgear,,,,Rare,,,,1.0,,,,,,14.0,,,
,,,12.0,,,,9.0,,85.0,9.0,,,,,,,,Sunblaze Coif,,,,Rare,,28.0,,1.0,,,,,,13.0,,,
8.0,8.0,,12.0,,,,,,70.0,,,,,8.0,,,,Blastbrew Headgear,,,,Uncommon,,,,1.0,,,,,,13.0,,,
9.0,9.0,,9.0,,,,9.0,,85.0,,,,,9.0,,,,Spearhead Helm,,,,Rare,,,,1.0,,,,,,14.0,,,
8.0,8.0,,12.0,,,,8.0,,70.0,,,,,8.0,,,,Glimmering Mail Coif,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,
9.0,9.0,,9.0,,,,,,85.0,,,,,9.0,,,,Virulent Headguard,,,,Rare,,,,1.0,,,,,,14.0,,,9.0
,,,5.0,,,,6.0,,70.0,,,,,9.0,,,,Demonkiller Mask,,,,Uncommon,,,,1.0,,,,,,14.0,,,
14.0,14.0,,9.0,,,,6.0,,70.0,,,,,14.0,,,,Dokebi Hat,,,,Uncommon,,30.0,,1.0,,,,,,,,,5.0
,,,18.0,,,,5.0,,70.0,,,,,8.0,,,,Phytoresistant Helm,,,,Uncommon,,,,1.0,,,,,,13.0,8.0,8.0,
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Slime Hunter Headguard,,,,Uncommon,,,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Veil of the Silent Listener,,,,Uncommon,,,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Katoom's Mask,,,,Uncommon,,,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,85.0,,,,,11.0,,,,Embalmed Shroud,,,,Rare,,30.0,,1.0,,,,,,14.0,,,
9.0,9.0,,9.0,,,,6.0,,85.0,,,,,9.0,,,,Headcover of Aerie Peak,,,,Rare,,,,1.0,,,,,,14.0,,,
,,,19.0,,,,,,85.0,,,,,9.0,,,,Helm of Aerie Peak,,,,Rare,,,,1.0,,,,,,14.0,9.0,9.0,
,,,18.0,,,,5.0,,85.0,,,,,9.0,,,,Helm of Rising Flame,,,,Rare,,30.0,,1.0,,,,,,13.0,9.0,9.0,7.0
9.0,9.0,,12.0,,,,,,85.0,,,7.0,,9.0,,,,Crown of Holy Flame,,,,Rare,,30.0,,1.0,,,,,,13.0,,,5.0
9.0,9.0,,8.0,,,,,,70.0,,,,,9.0,,,,Landlubber Headband,,,,Uncommon,,,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Veil of the Silent Listener,,,,Uncommon,,,,1.0,,,,,,13.0,,,
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Not-Scratchy Helm,,,,Uncommon,,,,1.0,,,,,,12.0,,,
9.0,9.0,,12.0,,,,,,70.0,,,,,9.0,,,,Slayer's Skullcap,,,,Uncommon,,28.0,,1.0,,,,,,13.0,,,
,,,5.0,,,,,,85.0,,,,,13.0,,,,Holy Shroud,,,,Rare,,27.0,,1.0,,,,,,,,,5.0
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Stonegouge Headgear,,,,Uncommon,,,,1.0,,,,,,13.0,,,
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Slither-Dog Headguard,,,,Uncommon,,,,1.0,,,,,,12.0,,,
,,,19.0,,,,9.0,,85.0,,,,,9.0,,,,Poisoner's Helm,,,,Rare,,,,1.0,,,,,,14.0,9.0,9.0,
9.0,9.0,,13.0,,,,,,70.0,,,,,9.0,,,,Thick Scale Crown,,,,Uncommon,,30.0,,1.0,,,,,,14.0,,,
14.0,14.0,,9.0,,,,,,70.0,,,,,14.0,,,,Insignia Cap,,,,Uncommon,,30.0,,1.0,,,,,,14.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Kodo-Wrangler Cover,,,,Uncommon,,,,1.0,,,,,,13.0,,,8.0
,,,5.0,,,,,,70.0,,,,,8.0,,,,Durable Hat,,,,Uncommon,,27.0,,1.0,,,,,,13.0,,,
9.0,9.0,,8.0,,,,8.0,,70.0,,,,,9.0,,,,Tribal Worg Helm,,,,Uncommon,,27.0,,1.0,,,,,,13.0,,,
,,,10.0,,,,,,70.0,,,,,,,,,Double Mail Coif,,,,Poor,,25.0,,1.0,,,,,,,,,
9.0,9.0,,13.0,,,,,,85.0,,,,,9.0,,,,Virulent Headpiece,,,,Rare,,,,1.0,,,,,,14.0,,,9.0
,,,5.0,,,,,,70.0,,,,,9.0,,,,Thistlefur Cap,,,,Uncommon,,30.0,,1.0,,,,,,14.0,,,
,,,5.0,,,,,,70.0,,,,,8.0,,,,Raincaller Cap,,,,Uncommon,,27.0,,1.0,,,,,,13.0,,,
8.0,8.0,,12.0,,,,,,70.0,,,,,8.0,,,,Sentry's Headdress,,,,Uncommon,,26.0,,1.0,,,,,,13.0,,,
,,,8.0,,,,,,70.0,,,,,,,,,Ringed Helm,,,,Uncommon,,25.0,,1.0,,,,,,12.0,,,10.0
,,,17.0,,,,,,70.0,,,,,8.0,,,,Helm of Secrets,,,,Uncommon,,,,1.0,,,,,,12.0,8.0,8.0,
,,,17.0,,,,,,70.0,,,,,8.0,,,,Helm of Secrets,,,,Uncommon,,,,1.0,,,,,,12.0,8.0,8.0,
9.0,9.0,,9.0,,,,9.0,,85.0,,,,,9.0,,,,Venomous Headcover,,,,Rare,,,,1.0,,,,,,14.0,,,
9.0,9.0,,13.0,,,,9.0,,85.0,,,,,9.0,,,,Goblin Miner's Hardhat,,,,Rare,,,,1.0,,,,,,14.0,,,
9.0,9.0,,13.0,,,,,,70.0,,,,,9.0,,,,Wicked Chain Helmet,,,,Uncommon,,29.0,,1.0,,,,,,13.0,,,
8.0,8.0,,12.0,,,,,,70.0,,,,,8.0,,,,Banded Helm,,,,Uncommon,,27.0,,1.0,,,,,,13.0,,,
8.0,8.0,,11.0,,,,,,70.0,,,,,8.0,,,,Slither-Dog Helm,,,,Uncommon,,,,1.0,,,,,,12.0,,,
,,,16.0,,,,4.0,,85.0,,,7.0,,8.0,,,,Glitchbot Helm,,,,Rare,,24.0,,1.0,,,,,,12.0,8.0,8.0,
9.0,9.0,,13.0,,,,9.0,,85.0,,,,,9.0,,,,Venomous Headgear,,,,Rare,,,,1.0,,,,,,14.0,,,
9.0,9.0,,13.0,,,,6.0,,85.0,,,,,9.0,,,,Aerie War Cap,,,,Rare,,,,1.0,,,,,,14.0,,,
,,,8.0,,,,,,70.0,,,,,,,,,Hardened Leather Helm,,,,Poor,,30.0,,1.0,,,,,,,,,
9.0,9.0,,13.0,,,,9.0,,85.0,,,,,9.0,,,,Spearhead Faceguard,,,,Rare,,,,1.0,,,,,,14.0,,,
9.0,9.0,,12.0,,,,,,70.0,,,,,9.0,,,,Phalanx Headguard,,,,Uncommon,,28.0,,1.0,,,,,,13.0,,,
,,,4.0,,,,,,70.0,,,,,,,,,Interlaced Cowl,,,,Poor,,28.0,,1.0,,,,,,,,,
8.0,8.0,,12.0,,,,,,70.0,,,,,8.0,,,,Earthhewn Helm,,,,Uncommon,,,,1.0,,,,,,13.0,,,
8.0,8.0,,12.0,,,,,,70.0,,,,,8.0,,,,Slime Hunter Headgear,,,,Uncommon,,,,1.0,,,,,,13.0,,,
8.0,8.0,,11.0,,,,,,70.0,,,,,8.0,,,,Not-Scratchy Faceguard,,,,Uncommon,,,,1.0,,,,,,12.0,,,
8.0,8.0,,11.0,,,,4.0,,85.0,,,,,8.0,,,,Grubbis' Protective Pail,,,,Rare,,24.0,,1.0,,,,,,12.0,,,6.0
8.0,8.0,,8.0,,,,,,70.0,,,,,8.0,,,,Blastbrew Hat,,,,Uncommon,,,,1.0,,,,,,13.0,,,
11.0,11.0,,15.0,,,,,,70.0,,,,,11.0,,,,Brooding Collar,,,,Uncommon,,,,1.0,,,,,,16.0,,,
11.0,11.0,,10.0,,,,11.0,,85.0,,,,,11.0,,,,Expert Goldminer's Helmet,,,,Rare,,35.0,,1.0,,,,,,16.0,,,
,,,6.0,,,,,,70.0,,,,,,,,,First Mate Hat,,,,Uncommon,,35.0,,1.0,,,,,,16.0,,,13.0
11.0,11.0,,10.0,,,,11.0,,85.0,,,,,11.0,,,,Adventurer's Pith Helmet,,,,Rare,,35.0,,1.0,,,,,,16.0,,,
12.0,12.0,,11.0,,,,,,70.0,,,,,12.0,,,,Nocturnal Cap,,,,Uncommon,,38.0,,1.0,,,,,,17.0,,,
9.0,9.0,,11.0,,Druid,,,,85.0,,,,,9.0,,,,Wolfshead Helm,,,,Rare,,40.0,,1.0,,,,,,,,,
,,,6.0,,,,,,85.0,,,,,9.0,,,,Papal Fez,,,,Rare,,35.0,,1.0,,,,,,16.0,,,13.0
,,,6.0,,,,11.0,,85.0,,,,,11.0,,,,Miner's Hat of the Deep,,,,Rare,,35.0,,1.0,,,,,,16.0,,,
11.0,11.0,,10.0,,,,,,70.0,,,,,11.0,,,,Rayne's Scarf,,,,Uncommon,,,,1.0,,,,,,17.0,,,
11.0,11.0,,10.0,,,,7.0,,70.0,,,,,11.0,,,,Darkcloud Mask,,,,Uncommon,,,,1.0,,,,,,17.0,,,
11.0,11.0,,10.0,,,,,,70.0,,,,,11.0,,,,Brooding Mask,,,,Uncommon,,,,1.0,,,,,,16.0,,,
,,,6.0,,,,,,85.0,,,,,11.0,,,,Whitemane's Chapeau,,,,Rare,,35.0,,1.0,,,,,,16.0,,,11.0
,,,22.0,,,0.05,,,85.0,,,14.0,,11.0,,,,Horned Viking Helmet,,,,Rare,,35.0,,1.0,,,,,,16.0,11.0,11.0,
,,,23.0,,,,,,85.0,,,,,22.0,,,,Steel Plate Helm,,,,Rare,,40.0,,1.0,,,,,,,22.0,22.0,22.0
,,,6.0,,,,,,70.0,,,,,13.0,,,,White Bandit Mask,,,,Uncommon,,38.0,,1.0,,,,,,17.0,,,
,,,20.0,,,,7.0,,85.0,,,,,14.0,,,,Raging Berserker's Helm,,,,Rare,,32.0,,1.0,,,,,,15.0,14.0,14.0,
,,,6.0,,,,,,70.0,,,,,12.0,,,,Darkmist Wizard Hat,,,,Uncommon,,39.0,,1.0,,,,,,17.0,,,
11.0,11.0,,10.0,,,,7.0,,70.0,,,,,11.0,,,,Darkcloud Mask,,,,Uncommon,,,,1.0,,,,,,17.0,,,
,,,24.0,,,,12.0,,85.0,,,,,12.0,,,,Icemetal Barbute,,,,Rare,,40.0,,1.0,,,,,,18.0,12.0,12.0,5.0
,,,10.0,,,,16.0,,85.0,,,,,,,,,Comfortable Leather Hat,,,,Rare,,35.0,,1.0,,,,,,16.0,,,
13.0,13.0,,9.0,,,,,,70.0,,,,,13.0,,,,Cloaked Hood,,,,Uncommon,,33.0,,1.0,,,,,,15.0,,,
,,,5.0,,,,,,70.0,,,,,13.0,,,,Silk Wizard Hat,,,,Uncommon,,32.0,,1.0,,,,,,,,,11.0
15.0,15.0,,10.0,,,,,,70.0,,,,,15.0,,,,Nightscape Headband,,,,Uncommon,,36.0,,1.0,,,,,,17.0,,,
,,,5.0,,,,,,70.0,,,,,9.0,,,,Nimar's Tribal Headdress,,,,Uncommon,,32.0,,1.0,,,,,,15.0,,,13.0
,,,6.0,,,,,,70.0,,,,,11.0,,,,Regal Wizard Hat,,,,Uncommon,,37.0,,1.0,,,,,,17.0,,,
,,,6.0,,,,,,70.0,,,,,,,,,Crochet Hat,,,,Poor,,38.0,,1.0,,,,,,,,,
,,,6.0,,,,,,70.0,,,,,11.0,,,,Augural Shroud,,,,Uncommon,,34.0,,1.0,,,,,,16.0,,,
,,,21.0,,,,,,85.0,,,,,13.0,,,,Bloomsprout Headpiece,,,,Rare,,34.0,,1.0,,,,,,16.0,13.0,13.0,
11.0,11.0,,10.0,,,,,,70.0,,,,,11.0,,,,Rohan's Mask,,,,Uncommon,,,,1.0,,,,,,17.0,,,
13.0,13.0,,9.0,,,,,,70.0,,,,,13.0,,,,Feathered Headdress,,,,Uncommon,,31.0,,1.0,,,,,,,,,12.0
8.0,8.0,,16.0,,,,,,70.0,,,,,8.0,,,,Blackforge Cowl,,,,Uncommon,,40.0,,1.0,,,,,,18.0,,,8.0
11.0,11.0,,10.0,,,,,,85.0,,,11.0,,11.0,,,,Clever Hat,,,,Rare,,36.0,,1.0,,,,,,17.0,,,4.0
10.0,10.0,,14.0,,,,,,70.0,,,,,10.0,,,,Enduring Circlet,,,,Uncommon,,33.0,,1.0,,,,,,15.0,,,
11.0,11.0,,11.0,,,,,,70.0,,,,,11.0,,,,Big Voodoo Mask,,,,Uncommon,,39.0,,1.0,,,,,,17.0,,,
11.0,11.0,,10.0,,,,10.0,,70.0,,,,,11.0,,,,Lilly's Bandana,,,,Uncommon,,,,1.0,,,,,,17.0,,,
,,,6.0,,,,,,70.0,,,,,11.0,,,,Sorcerer Hat,,,,Uncommon,,36.0,,1.0,,,,,,17.0,,,
,,,2.0,,,,,,30.0,,,,,,,,,Safety Goggles,,,,Common,,,,1.0,,,,,,,,,
13.0,13.0,,18.0,,,,9.0,,70.0,,,,,13.0,,,,Black Tooth Helm,,,,Uncommon,,,,1.0,,,,,,20.0,,,
,,,6.0,,,,,,70.0,,,,,,,,,Living Cowl,,,,Uncommon,,35.0,,1.0,,,,,,16.0,,,13.0
13.0,13.0,,18.0,,,,9.0,,70.0,,,,,13.0,,,,Black Tooth Helm,,,,Uncommon,,,,1.0,,,,,,20.0,,,
,,,24.0,,,,,,70.0,,,,,12.0,,,,Warbringer's Crown,,,,Uncommon,,40.0,,1.0,,,,,,18.0,12.0,12.0,
,,,24.0,,,,,,70.0,,,,,12.0,,,,Chromite Barbute,,,,Uncommon,,40.0,,1.0,,,,,,17.0,12.0,12.0,
,,,6.0,,,,,,70.0,,,,,11.0,,,,Silksand Circlet,,,,Uncommon,,37.0,,1.0,,,,,,17.0,,,12.0
11.0,11.0,,10.0,,,,5.0,,85.0,,,9.0,,11.0,,,,Felhide Cap,,,,Rare,,36.0,,1.0,,,,,,17.0,,,
13.0,13.0,,12.0,,,,8.0,,70.0,,,,,13.0,,,,Imposter's Mask,,,,Uncommon,,,,1.0,,,,,,19.0,,,
,,,24.0,,,,10.0,,85.0,,,,,12.0,,,,Helm of the Thousand Needles,,,,Rare,,,,1.0,,,,,,18.0,12.0,12.0,
,,,23.0,,,,,,70.0,,,,,11.0,,,,Field Plate Helmet,,,,Uncommon,,40.0,,1.0,,,,,,17.0,11.0,11.0,
,,,,,,,,,,,,,,,,,,Repaired Diving Gear,,,,Common,,,,1.0,,,,,,,,,
15.0,15.0,,13.0,,,,16.0,,70.0,,,,,15.0,,,,Helm of the Pathfinder,,,,Uncommon,,,,1.0,,,,,,22.0,,,
14.0,14.0,,18.0,,,,9.0,,70.0,,,,,14.0,,,,Remtravel Thinking Cap,,,,Uncommon,,,,1.0,,,,,,21.0,,,
13.0,13.0,,12.0,,,,,,70.0,,,,,13.0,,,,Zorbin's Water Resistant Hat,,,,Uncommon,,,,1.0,,,,,,19.0,,,10.0
12.0,12.0,,11.0,,,,,,70.0,,,10.0,,12.0,,,,Withering Mask,,,,Uncommon,,,,1.0,,,,,,18.0,,,
,,,6.0,,,,,,70.0,,,,,12.0,,,,Hood of Disgrace,,,,Uncommon,,,,1.0,,,,,,17.0,,,
11.0,11.0,,15.0,,,,,,85.0,,,7.0,,11.0,,,,Helm of Awareness,,,,Rare,,36.0,,1.0,,,,,,17.0,,,7.0
13.0,13.0,,14.0,,,,,,70.0,,,,,13.0,,,,Chief Brigadier Coif,,,,Uncommon,,34.0,,1.0,,,,,,16.0,,,
,,,20.0,,,,,,70.0,,,,,10.0,,,,Crimson Barbut,,,,Uncommon,,,,1.0,,,,,,15.0,10.0,10.0,
13.0,13.0,,12.0,,,,11.0,,70.0,,,,,13.0,,,,Hieroglyphic Helm,,,,Uncommon,,,,1.0,,,,,,20.0,,,
,,,7.0,,,,10.0,,70.0,,,,,13.0,,,,Shadow Curse Hood,,,,Uncommon,,,,1.0,,,,,,19.0,,,
10.0,10.0,,9.0,,,,,,70.0,,,,,10.0,,,,The Wanderer's Cover,,,,Uncommon,,,,1.0,,,,,,15.0,,,
13.0,13.0,,17.0,,,,10.0,,70.0,,,,,13.0,,,,Mercy Killing Helm,,,,Uncommon,,,,1.0,,,,,,19.0,,,
12.0,12.0,,11.0,,,,,,70.0,,,,,12.0,,,,Goat Skin Mask,,,,Uncommon,,,,1.0,,,,,,18.0,,,10.0
,,,6.0,,,,9.0,,70.0,,,,,11.0,,,,Cowl of Revision,,,,Uncommon,,,,1.0,,,,,,17.0,,,
,,,22.0,,,,,,70.0,,,,,11.0,,,,Saltstone Helm,,,,Uncommon,,40.0,,1.0,,,,,,17.0,11.0,11.0,
,,,6.0,,,,,,70.0,,,,,11.0,,,,Oversized Stonemaul Hood,,,,Uncommon,,,,1.0,,,,,,16.0,,,10.0
,,,6.0,,,,,,70.0,,,,,4.0,,,,Stonecloth Circlet,,,,Uncommon,,33.0,,1.0,,,,,,15.0,,,
,,,6.0,,,,,,70.0,,,,,4.0,,,,Circlet of the Order,,,,Uncommon,,33.0,,1.0,,,,,,15.0,,,13.0
,,,5.0,,,,,,70.0,,,,,,,,,Russet Hat,,,,Common,,32.0,,1.0,,,,,,,,,
12.0,12.0,,11.0,,,,12.0,,85.0,,,,,12.0,,,,Tattered Leather Hood,,,,Rare,,40.0,,1.0,,,,,,18.0,,,
,,,6.0,,,,,,70.0,,,,,12.0,,,,Mistscape Wizard Hat,,,,Uncommon,,39.0,,1.0,,,,,,17.0,,,7.0
12.0,12.0,,16.0,,,,,,70.0,,,,,12.0,,,,Brigade Circlet,,,,Uncommon,,39.0,,1.0,,,,,,17.0,,,
,,,22.0,,,,,,70.0,,,,,11.0,,,,Uncompromising Helm,,,9.0,Uncommon,,,,1.0,,,,,,17.0,11.0,11.0,
,,,6.0,,,,,,70.0,,,,,13.0,,,,Aurora Cowl,,,,Uncommon,,34.0,,1.0,,,,,,16.0,,,
13.0,13.0,,14.0,,,,,,70.0,,,,,13.0,,,,Golden Scale Coif,,,,Uncommon,,33.0,,1.0,,,,,,15.0,,,
,,,13.0,,,,,,70.0,,,,,,,,,Augmented Chain Helm,,,,Common,,32.0,,1.0,,,,,,,,,
