agi,armor,classes,cooldown,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,hastertng,int,lifesteal,mastrtng,name_enus,natres,nsockets,pvppower,quality,reqlevel,rgdatkpwr,rgdcritstrkrtng,rgddmgmax,rgddmgmin,rgddps,rgdspeed,slotbak,socket1,socket2,speed,sta,str,versatility
,,,,,,3.0,1.0,,1.13,45.0,,12.0,,,Mystic Riverpaw Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,3.0,,
,,,,,,3.0,1.0,,1.13,35.0,,12.0,,,Arcanist's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,3.0,,
4.0,,,,,,8.0,4.0,,2.07,45.0,,,,,Stonifying Gun,,,,Uncommon,,,,8.0,4.0,2.07,3.0,26.0,,,3.0,4.0,,
3.0,,,,,,7.0,5.0,,2.06,45.0,,,,,Ven'jashi's Bow,,,,Uncommon,,,,7.0,5.0,2.06,3.0,15.0,,,3.0,5.0,,
,,,,,,5.0,3.0,,1.42,40.0,,,,,Light Crossbow,,,,Common,3.0,,,5.0,3.0,1.42,3.0,26.0,,,3.0,,,
6.0,,,,,,9.0,4.0,,2.3,50.0,,,,,Bush Chicken Remote Injector,,,,Uncommon,,,,9.0,4.0,2.3,3.0,26.0,,,3.0,,,
5.0,,,,,,7.0,4.0,,1.84,35.0,,,,,South Gate Blunderbuss,,,,Uncommon,,,,7.0,4.0,1.84,3.0,26.0,,,3.0,,,
5.0,,,,,,7.0,4.0,,1.93,35.0,,,,,Advanced Night Web Crossbow,,,,Uncommon,,,,7.0,4.0,1.93,3.0,26.0,,,3.0,,,
,,,,,,6.0,3.0,,1.58,40.0,,,,,Hunting Rifle,,,,Common,4.0,,,6.0,3.0,1.58,3.0,26.0,,,3.0,,,
,,,,,,5.0,2.0,,1.29,35.0,,,,,Pellet Rifle,,,,Common,2.0,,,5.0,2.0,1.29,3.0,26.0,,,3.0,,,
,,,,,,3.0,1.0,,0.78,35.0,,,,,Rust-Covered Blunderbuss,,,,Poor,2.0,,,3.0,1.0,0.78,3.0,26.0,,,3.0,,,
,,,,,,,,,0.38,20.0,,,,,Mastiff Trainer's Wand,,,,Common,,,,,,,,26.0,,,2.0,,,
4.0,,,,,,10.0,7.0,,2.89,55.0,,,,,Heavy Shortbow,,,,Uncommon,10.0,,,10.0,7.0,2.89,3.0,15.0,,,3.0,6.0,,
5.0,,,,,,9.0,6.0,,2.56,50.0,,,,,Shipwreck Bow,,,,Uncommon,,,,9.0,6.0,2.56,3.0,15.0,,,3.0,5.0,,
7.0,,,,,,9.0,5.0,,2.5,35.0,,,,,Underestimated Crossbow,,,,Uncommon,,,,9.0,5.0,2.5,3.0,26.0,,,3.0,,,
6.0,,,,,,9.0,4.0,,2.3,50.0,,,,,Far Watch Musket,,,,Uncommon,,,,9.0,4.0,2.3,3.0,26.0,,,3.0,,,
5.0,,,,,,7.0,4.0,,1.84,45.0,,,,,Hawkeye Rifle,,,,Uncommon,,,,7.0,4.0,1.84,3.0,26.0,,,3.0,,,
,,,,,,5.0,3.0,,1.46,40.0,,,,,Hornwood Recurve Bow,,,,Common,3.0,,,5.0,3.0,1.46,3.0,15.0,,,3.0,,,
,,,,,,,,,0.46,35.0,,,,,Touch of Dawn,,,,Common,,,,,,,,26.0,,,2.0,,,
,,,,,,5.0,3.0,,1.35,35.0,,,,,Jade Crossbow,,,,Common,1.0,,,5.0,3.0,1.35,3.0,26.0,,,3.0,,,
,,,,,,2.0,1.0,,0.62,25.0,,,,,Darkspear Hunter's Bow,,,,Uncommon,,,,2.0,1.0,0.62,3.0,15.0,,,3.0,,,
6.0,,,,,,12.0,8.0,,3.47,60.0,,,,,Betrayal's Sting,,,,Uncommon,,,,12.0,8.0,3.47,3.0,15.0,,,3.0,6.0,,
,,,,,,10.0,5.0,,2.5700000000000003,50.0,,,,,Hunter's Boomstick,,,,Common,9.0,,,10.0,5.0,2.5700000000000003,3.0,26.0,,,3.0,,,
,,,,,,5.0,3.0,,1.47,50.0,,,,,Feeble Shortbow,,,,Poor,8.0,,,5.0,3.0,1.47,3.0,15.0,,,3.0,,,
3.0,,,,,,9.0,4.0,,2.3,50.0,,,,,Skorn's Rifle,,,,Uncommon,,,,9.0,4.0,2.3,3.0,26.0,,,3.0,5.0,,
,,,,,,2.0,1.0,,0.8,30.0,,10.0,,,Hoodoo Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
,,,,,,7.0,4.0,,1.91,35.0,,,,,Crossbow of the Albatross,,,,Common,,,,7.0,4.0,1.91,3.0,26.0,,,3.0,,,
,,,,,,6.0,3.0,,1.52,40.0,,,,,Whamo Kablamo,,,,Common,,,,6.0,3.0,1.52,3.0,26.0,,,3.0,,,
,,,,,,4.0,2.0,,1.14,35.0,,,,,Sen'Jin Bow,,,,Common,,,,4.0,2.0,1.14,3.0,15.0,,,3.0,,,
,,,,,,3.0,2.0,,0.87,35.0,,,,,Abbey Defender's Crossbow,,,,Common,,,,3.0,2.0,0.87,3.0,26.0,,,3.0,,,
,,,,,,3.0,2.0,,0.89,35.0,,,,,Sunstrider Bow,,,,Common,,,,3.0,2.0,0.89,3.0,15.0,,,3.0,,,
,,,,,,3.0,2.0,,0.87,35.0,,,,,Night Web Crossbow,,,,Common,,,,3.0,2.0,0.87,3.0,26.0,,,3.0,,,
10.0,,,,,,13.0,9.0,,3.79,65.0,,,,,Well Crafted Long Bow,,,,Uncommon,,,,13.0,9.0,3.79,3.0,15.0,,,3.0,,,
,,,,3.0,,3.0,2.0,,1.27,40.0,,16.0,,,Blackwood Ritual Stick,,,,Uncommon,,,,,,,,26.0,,,2.0,4.0,,
,,,,,,3.0,1.0,,1.21,50.0,,12.0,,,Lightspark,,,,Uncommon,,,,,,,,26.0,,,2.0,3.0,,
,,,,,,3.0,1.0,,1.13,45.0,,12.0,,,Dryad's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,3.0,,
,,,,,,2.0,1.0,,0.77,40.0,,10.0,,,Hill's Eye Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
,,,,,,6.0,4.0,,1.71,40.0,,,,,Worn Ranger's Bow,,,,Common,,,,6.0,4.0,1.71,3.0,15.0,,,3.0,,,
3.0,,,,,,6.0,3.0,,1.54,30.0,,,,,Mini B.C. Eliminator,,,,Uncommon,,,,6.0,3.0,1.54,3.0,26.0,,,3.0,3.0,,
,,,,,,5.0,2.0,,1.29,35.0,,,,,Snubnose Blunderbuss,,,,Common,,,,5.0,2.0,1.29,3.0,26.0,,,3.0,,,
,,,,,,3.0,2.0,,0.87,35.0,,,,,Exodar Crossbow,,,,Common,,,,3.0,2.0,0.87,3.0,26.0,,,3.0,,,
,,,,,,3.0,1.0,,0.79,30.0,,,,,Anvilmar Musket,,,,Common,,,,3.0,1.0,0.79,3.0,26.0,,,3.0,,,
,,,,,,3.0,1.0,,0.77,30.0,,,,,"""Reliable"" Boom-O-Tronic",,,,Uncommon,,,,3.0,1.0,0.77,3.0,26.0,,,3.0,,,
,,,,,,4.0,2.0,,1.57,60.0,,16.0,,,Torchlight Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,4.0,,
,,,,,,3.0,1.0,,1.16,35.0,,12.0,,,Submariner Killer,,,,Uncommon,,,,,,,,26.0,,,2.0,3.0,,
,,,,,,2.0,1.0,,0.8300000000000001,30.0,,10.0,,,Wand of Separation,,,,Uncommon,,,,,,,,26.0,,,2.0,2.0,,
,,,,,,7.0,5.0,,2.03,45.0,,,,,Hickory Shortbow,,,,Common,,,,7.0,5.0,2.03,3.0,15.0,,,3.0,,,
,,,,,,3.0,2.0,,0.87,35.0,,,,,Houndmaster's Crossbow,,,,Common,,,,3.0,2.0,0.87,3.0,26.0,,,3.0,,,
,,,,,,3.0,1.0,,0.76,30.0,,,,,Longstalker's Rifle,,,,Common,,,,3.0,1.0,0.76,3.0,26.0,,,3.0,,,
,,,,,3.0,,,,,,,,,,Accurate Scope,,,,Uncommon,20.0,,,,,,,,,,,,,
6.0,,,,,,16.0,8.0,,4.07,65.0,,,,,Deadly Blunderbuss,,,,Uncommon,16.0,,,16.0,8.0,4.07,3.0,26.0,,,3.0,9.0,,
7.0,,,,6.0,,17.0,12.0,,4.87,90.0,,,,,Naga Heartpiercer,,,,Rare,20.0,,,17.0,12.0,4.87,3.0,15.0,,,3.0,10.0,,4.0
6.0,,,,,,16.0,8.0,,4.07,80.0,,,,,Lil Timmy's Peashooter,,,,Rare,16.0,,,16.0,8.0,4.07,3.0,26.0,,,3.0,9.0,,
,,,,,,3.0,1.0,,1.24,55.0,,16.0,,,Greater Magic Wand,,,,Uncommon,13.0,,,,,,,26.0,,,2.0,4.0,,
6.0,,,,,,14.0,10.0,,4.04,80.0,,,,,Venomstrike,,,,Rare,16.0,,,14.0,10.0,4.04,3.0,15.0,,,3.0,9.0,,
5.0,,,,5.0,,13.0,9.0,,3.79,80.0,,,,,Bow of the Great Hunter,,,,Rare,,,,13.0,9.0,3.79,3.0,15.0,,,3.0,5.0,,
4.0,,,,4.0,,13.0,9.0,,3.79,80.0,,,,,Keeshan's Bow,,,,Rare,,,,13.0,9.0,3.79,3.0,15.0,,,3.0,7.0,,
3.0,,,,,,17.0,12.0,,4.87,90.0,,,,,Ranger Bow,,,,Rare,20.0,,,17.0,12.0,4.87,3.0,15.0,,,3.0,,,
15.0,,,,,,19.0,14.0,,5.53,85.0,,,,,Elune-Blessed Bow,,,,Uncommon,,,,19.0,14.0,5.53,3.0,15.0,,,3.0,,,
6.0,,,,3.0,,15.0,11.0,,4.37,70.0,,,,,Old Guard's Bow,,,,Uncommon,,,,15.0,11.0,4.37,3.0,15.0,,,3.0,9.0,,
,,,,2.0,,4.0,2.0,,1.54,50.0,,16.0,,,Cookie's Stirring Rod,,,,Rare,15.0,,,,,,,26.0,,,2.0,4.0,,1.0
,,,,,,4.0,2.0,,1.54,55.0,,16.0,,,Opaque Wand,,,,Uncommon,15.0,,,,,,,26.0,,,2.0,4.0,,
5.0,,,,5.0,,14.0,9.0,,3.87,80.0,,,,,Crossbow of the Crown,,,,Rare,,,,14.0,9.0,3.87,3.0,26.0,,,3.0,5.0,,
,,,,,,4.0,2.0,,1.57,70.0,,16.0,,,Skycaller,,,,Rare,16.0,,,,,,,26.0,,,2.0,4.0,,
,,,,,,4.0,2.0,,1.65,45.0,,18.0,,,Lilith's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,5.0,,3.0
6.0,,,,,,16.0,10.0,,4.43,70.0,5.0,,,,Exorcist's Crossbow,,,,Uncommon,,,,16.0,10.0,4.43,3.0,26.0,,,3.0,9.0,,
,,,,,,4.0,2.0,,1.57,40.0,,16.0,,,Wand of Infectious Dementia,,,,Uncommon,,,,,,,,26.0,,,2.0,4.0,,
6.0,,,,,,15.0,11.0,,4.37,65.0,,,,,Outrunner's Bow,,,,Rare,18.0,,,15.0,11.0,4.37,3.0,15.0,,,3.0,9.0,,
,,,,,,3.0,1.0,,1.24,55.0,,16.0,,,Banshee Rod,,,,Uncommon,13.0,,,,,,,26.0,,,2.0,4.0,,
6.0,,,,,,18.0,9.0,,4.61,75.0,,,,,Lovingly Crafted Boomstick,,,,Uncommon,19.0,,,18.0,9.0,4.61,3.0,26.0,,,3.0,9.0,,
,,,,,,3.0,1.0,,1.21,40.0,,12.0,,,Cookie's Stirring Stick,,,,Rare,,,,,,,,26.0,,,2.0,3.0,,
,,,,,,4.0,2.0,,1.6,65.0,,,,,Charred Razormane Wand,,,,Common,18.0,,,,,,,26.0,,,2.0,,,
6.0,,,,,,15.0,11.0,,4.37,65.0,,,,,Outrider's Bow,,,,Rare,18.0,,,15.0,11.0,4.37,3.0,15.0,,,3.0,9.0,,
,,,,3.0,,4.0,2.0,,1.62,45.0,,18.0,,,Exorcist's Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,5.0,,
,,,,6.0,,4.0,2.0,,1.6,70.0,,18.0,,,Durak's Wand,,,,Rare,,,,,,,,26.0,,,2.0,5.0,,
,,,,,,4.0,2.0,,1.54,55.0,,16.0,,,Brazie's Plant Light,,,,Uncommon,,,,,,,,26.0,,,2.0,4.0,,
6.0,,,,,,15.0,11.0,,4.37,70.0,,,,,Short Ash Bow,,,,Uncommon,18.0,,,15.0,11.0,4.37,3.0,15.0,,,3.0,9.0,,
5.0,,,,,,13.0,7.0,,3.37,60.0,,,,,Massive Firearm of Death,,,,Uncommon,,,,13.0,7.0,3.37,3.0,26.0,,,3.0,7.0,,
,,,,,,3.0,1.0,,1.21,50.0,,12.0,,,Blazing Wand,,,,Uncommon,12.0,,,,,,,26.0,,,2.0,3.0,,
,,,,,,5.0,2.0,,1.96,50.0,,22.0,,,Wand of Bought Time,,,,Uncommon,,,,,,,,26.0,,,2.0,6.0,,
6.0,,,,4.0,,15.0,11.0,,4.37,85.0,,,,,Bow of Ire,,,,Rare,,,,15.0,11.0,4.37,3.0,15.0,,,3.0,8.0,,
5.0,,,,,,14.0,7.0,,3.61,65.0,,,,,Hunter's Muzzle Loader,,,,Uncommon,14.0,,,14.0,7.0,3.61,3.0,26.0,,,3.0,8.0,,
5.0,,,,,,13.0,9.0,,3.71,65.0,,,,,Fine Longbow,,,,Uncommon,14.0,,,13.0,9.0,3.71,3.0,15.0,,,3.0,8.0,,
,,,,,,16.0,11.0,,4.63,75.0,,,,,Heavy Recurve Bow,,,,Common,20.0,,,16.0,11.0,4.63,3.0,15.0,,,3.0,,,
7.0,,,,5.0,,14.0,14.0,,4.73,75.0,4.0,,,,Goldstring Recurve,,,,Uncommon,20.0,,,14.0,14.0,4.73,3.0,15.0,,,3.0,10.0,,
,,,,,,10.0,5.0,,2.55,70.0,,,,,Shoddy Blunderbuss,,,,Poor,17.0,,,10.0,5.0,2.55,3.0,26.0,,,3.0,,,
,,,0.0002777777777777778,,,,,,,,,,,,Minor Mana Oil,,,,Common,20.0,,,,,,,,,,,,,
7.0,,,,5.0,,19.0,10.0,,4.84,75.0,4.0,,,,Silverscope Longrifle,,,,Uncommon,20.0,,,19.0,10.0,4.84,3.0,26.0,,,3.0,10.0,,
8.0,,,,,,15.0,10.0,,4.19,50.0,,,,,Security Crossbow,,,,Uncommon,,,,15.0,10.0,4.19,3.0,26.0,,,3.0,6.0,,
,,,,,,14.0,9.0,,3.89,50.0,,,,,Fine Light Crossbow,,,,Common,16.0,,,14.0,9.0,3.89,3.0,26.0,,,3.0,,,
5.0,,,,5.0,,14.0,9.0,,3.94,65.0,,,,,Crossbow of the Twice-Slain,,,,Uncommon,,,,14.0,9.0,3.94,3.0,26.0,,,3.0,7.0,,
,,,,,,4.0,2.0,,1.57,50.0,,16.0,,,Firebelcher,,,,Rare,16.0,,,,,,,26.0,,,2.0,4.0,,
6.0,,,,,,14.0,10.0,,4.04,65.0,,,,,Light Bow,,,,Uncommon,16.0,,,14.0,10.0,4.04,3.0,15.0,,,3.0,9.0,,
,,,,,,8.0,5.0,,2.26,65.0,,,,,Light Hunting Bow,,,,Poor,14.0,,,8.0,5.0,2.26,3.0,15.0,,,3.0,,,
,,,,,,3.0,1.0,,1.21,40.0,,12.0,,,Cookie's Stirring Stick,,,,Rare,,,,,,,,26.0,,,2.0,3.0,,
,,,,,,10.0,7.0,,2.92,55.0,,,,,Laminated Recurve Bow,,,,Common,11.0,,,10.0,7.0,2.92,3.0,15.0,,,3.0,,,
4.0,,,,,,11.0,7.0,,3.14,55.0,,,,,Fine Shortbow,,,,Uncommon,11.0,,,11.0,7.0,3.14,3.0,15.0,,,3.0,6.0,,
,,,,,,5.0,3.0,,2.06,55.0,,24.0,,,Wand of Destructive Talent,,,,Uncommon,,,,,,,,26.0,,,2.0,6.0,,
,,,,,,4.0,2.0,,1.65,45.0,,,,,Dusk Wand,,,,Common,20.0,,,,,,,26.0,,,2.0,,,
,,,,,,10.0,7.0,,2.84,75.0,,,,,Mishandled Recurve Bow,,,,Poor,19.0,,,10.0,7.0,2.84,3.0,15.0,,,3.0,,,
8.0,,,,,,16.0,10.0,,4.43,70.0,,,,,Frostshadow Crossbow,,,,Uncommon,,,,16.0,10.0,4.43,3.0,26.0,,,3.0,7.0,,
,,,,,,4.0,2.0,,1.62,65.0,,18.0,,,Archivist's Lighter,,,,Uncommon,,,,,,,,26.0,,,2.0,5.0,,4.0
,,,,,,15.0,8.0,,3.86,65.0,,,,,Large Bore Blunderbuss,,,,Common,16.0,,,15.0,8.0,3.86,3.0,26.0,,,3.0,,,
11.0,,,,,,21.0,13.0,,5.8,65.0,,,,,Grebo's Crossbow,,,,Uncommon,,,,21.0,13.0,5.8,3.0,26.0,,,3.0,8.0,,
15.0,,,,,,20.0,14.0,,5.78,85.0,,,,,Bow of Invisible Aim,,,,Uncommon,,,,20.0,14.0,5.78,3.0,15.0,,,3.0,,,
,,,,,,8.0,4.0,,2.06,60.0,,,,,Dirty Blunderbuss,,,,Poor,13.0,,,8.0,4.0,2.06,3.0,26.0,,,3.0,,,
10.0,,,,,,19.0,12.0,,5.31,80.0,,,,,Paulson's Crossbow,,,,Uncommon,,,,19.0,12.0,5.31,3.0,26.0,,,3.0,8.0,,
,,,,,,4.0,2.0,,1.65,45.0,,,,,Burning Wand,,,,Common,20.0,,,,,,,26.0,,,2.0,,,
,,,,,,4.0,2.0,,1.55,60.0,,,,,Gloom Wand,,,,Common,16.0,,,,,,,26.0,,,2.0,,,
,,,,,,13.0,9.0,,3.82,65.0,,,,,Reinforced Bow,,,,Common,16.0,,,13.0,9.0,3.82,3.0,15.0,,,3.0,,,
,,,,,,3.0,2.0,,1.27,55.0,,,,,Smoldering Wand,,,,Common,15.0,,,,,,,26.0,,,2.0,,,
,,,,,,3.0,1.0,,1.18,50.0,,12.0,,,Indiscriminate Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,3.0,,
9.0,,,,4.0,,23.0,17.0,,6.68,100.0,9.0,,,,Nightstalker Bow,,,,Rare,30.0,,,23.0,17.0,6.68,3.0,15.0,,,3.0,14.0,,
,,,,,,6.0,3.0,,2.37,75.0,,24.0,,,Groady Goblin Wand,,,,Uncommon,,,,,,,,26.0,,,2.0,6.0,,
9.0,,,,,,25.0,13.0,,6.38,100.0,,,,,Chesterfall Musket,,,,Rare,28.0,,,25.0,13.0,6.38,3.0,26.0,,,3.0,13.0,,
,,,,,,6.0,3.0,,2.42,90.0,,28.0,,,Starfaller,,,,Rare,29.0,,,,,,,26.0,,,2.0,7.0,,
8.0,,,,,,22.0,11.0,,5.61,85.0,,,,,Master Hunter's Rifle,,,,Rare,,,,22.0,11.0,5.61,3.0,26.0,,,3.0,12.0,,
8.0,,,,,,21.0,15.0,,6.11,100.0,,,,,Harpyclaw Short Bow,,,,Rare,27.0,,,21.0,15.0,6.11,3.0,15.0,,,3.0,13.0,,
13.0,,,,,,25.0,13.0,,6.38,85.0,,,,,Pirate's Musket,,,,Uncommon,,,,25.0,13.0,6.38,3.0,26.0,,,3.0,9.0,,
,,,,,,6.0,3.0,,2.37,55.0,,24.0,,,Pot Stirrer,,,,Uncommon,,,,,,,,26.0,,,2.0,6.0,,
10.0,,,,,,18.0,13.0,,5.2,60.0,,,,,Silent Huntress,,,,Uncommon,,,,18.0,13.0,5.2,3.0,15.0,,,3.0,8.0,,
,,,,,,5.0,2.0,,1.96,70.0,,22.0,,,Dire Wand,,,,Uncommon,21.0,,,,,,,26.0,,,2.0,6.0,,
11.0,,,,,,25.0,13.0,,6.38,85.0,,,,,Pistonhammer Gun,,,,Uncommon,,,,25.0,13.0,6.38,3.0,26.0,,,3.0,11.0,,
,,,,,,6.0,3.0,,2.45,55.0,,28.0,,,Greater Mystic Wand,,,,Uncommon,30.0,,,,,,,26.0,,,2.0,7.0,,
8.0,,,,,,22.0,14.0,,6.12,100.0,,,,,Crystalpine Stinger,,,,Rare,27.0,,,22.0,14.0,6.12,3.0,26.0,,,3.0,13.0,,
7.0,,,,,,18.0,13.0,,5.2,80.0,,,,,Precision Bow,,,,Uncommon,22.0,,,18.0,13.0,5.2,3.0,15.0,,,3.0,11.0,,
7.0,,,,,,19.0,12.0,,5.24,80.0,,,,,Steelarrow Crossbow,,,,Uncommon,22.0,,,19.0,12.0,5.24,3.0,26.0,,,3.0,11.0,,
8.0,,,,,,22.0,11.0,,5.61,85.0,,,,,Moonsight Rifle,,,,Uncommon,24.0,,,22.0,11.0,5.61,3.0,26.0,,,3.0,12.0,,
9.0,,,,,,21.0,11.0,,5.38,80.0,,,,,Bhag'thera's Roar,,,,Uncommon,,,,21.0,11.0,5.38,3.0,26.0,,,3.0,9.0,,
9.0,,,,,,25.0,13.0,,6.45,100.0,,,,,Ironweaver,,,,Rare,29.0,,,25.0,13.0,6.45,3.0,26.0,,,3.0,13.0,,
9.0,,,,,,22.0,16.0,,6.35,100.0,,,,,Outrunner's Bow,,,,Rare,28.0,,,22.0,16.0,6.35,3.0,15.0,,,3.0,13.0,,
8.0,,,,,,22.0,11.0,,5.61,100.0,,,,,Hi-Tech Supergun,,,,Rare,24.0,,,22.0,11.0,5.61,3.0,26.0,,,3.0,12.0,,
9.0,,,,9.0,,26.0,14.0,,6.68,100.0,4.0,,,,Megashot Rifle,,,,Rare,30.0,,,26.0,14.0,6.68,3.0,26.0,,,3.0,14.0,,
8.0,,,,,,22.0,11.0,,5.61,100.0,3.0,,,,Glass Shooter,,,,Rare,24.0,,,22.0,11.0,5.61,3.0,26.0,,,3.0,12.0,,8.0
