agi,agiint,arcres,armor,avoidance,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdatkpwr,slotbak,socket1,socket2,speed,sta,str,strint,versatility
,,,1.0,,,,,,30.0,,,,2.0,,Bracers of the Final Transmission,,,,Uncommon,,,9.0,,,,3.0,,,
,,,2.0,,,,,,30.0,,,,,,Ceremonial Leather Bracers,,,,Common,8.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,30.0,,,,2.0,,Rear Guard Bands,,,,Uncommon,,,9.0,,,,3.0,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Moonstalker Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Tribal Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Light Chain Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,2.0,,Elastic Wristguards,,,,Uncommon,,,9.0,,,,2.0,,,
,,,3.0,,,,,,25.0,,,,,,Loose Chain Bracers,,,,Poor,5.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Imbued Pioneer Bracers,,,,Uncommon,5.0,,9.0,,,,3.0,,,
,,,1.0,,,,,,25.0,,,,,,Recovered Knit Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Silver-Lined Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Worn Leather Bracers,,,,Poor,4.0,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Flax Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Sun Pearl Bracers,,,,Common,1.0,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Vigorous Bracers,,,,Common,,,9.0,,,,,,,
3.0,3.0,,4.0,,,,,,35.0,,,,3.0,,Armguards of the Ancient Grove,,,,Rare,,,9.0,,,,4.0,,,
,,,2.0,,,,,,30.0,,,,3.0,,Bracers of Angry Mutterings,,,,Uncommon,,,9.0,,,,4.0,,,
,,,6.0,,,,3.0,,30.0,,,,3.0,,Foolhardy Bracers,,,,Uncommon,,,9.0,,,,4.0,3.0,3.0,
3.0,3.0,,4.0,,,,,,30.0,,,,3.0,,Capacitance Bands,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,3.0,,,,,,30.0,,,,3.0,,Murderous Bracers,,,,Uncommon,,,9.0,,,,4.0,,,
,,,1.0,,,,,,30.0,,,,,,Spellbinder Bracers,,,,Common,9.0,,9.0,,,,,,,
,,,1.0,,,,,,30.0,,,,2.0,,Jessera's Fungus Lined Cuffs,,,,Uncommon,,,9.0,,,,3.0,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Bonesnapper Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
,,,5.0,,,,,,25.0,,,,,,Fortified Bindings,,,,Common,,,9.0,,,,,,,
,,,5.0,,,,,,25.0,,,,2.0,,Bronze Plate Bracers,,,,Uncommon,,,9.0,,,,2.0,2.0,2.0,
,,,1.0,,,,,,25.0,,,,2.0,,Revitalizing Wristguards,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Handstitched Leather Bracers,,,,Common,4.0,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Charger's Bindings,,,,Common,3.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Salvaged Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Unvarnished Vambraces,,,,Common,1.0,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Simmer's Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Goldshire Iron Bracer,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Playful Wristbands,,,,Common,1.0,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Rustmetal Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Thorn-Proof Wristguard,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Armstead Bindings,,,,Common,,,9.0,,,,,,,
,,,6.0,,,,3.0,,40.0,,,,3.0,,Bracers of the Most Trusted,,,,Rare,,,9.0,,,,5.0,3.0,3.0,
3.0,3.0,,3.0,,,,,,30.0,,,,3.0,,Farstrider's Bracers,,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,4.0,,,,,,30.0,,,,3.0,,"Better, Stronger, Faster Bracers",,,,Uncommon,,,9.0,,,,4.0,,,
3.0,3.0,,4.0,,,,,,30.0,,,,3.0,,Farstrider's Cuffs,,,,Uncommon,,,9.0,,,,4.0,,,
,,,6.0,,,,,,30.0,,,,3.0,,Fiery Bracers,,,,Uncommon,,,9.0,,,,4.0,3.0,3.0,
3.0,3.0,,4.0,,,,3.0,,35.0,,,,3.0,,Uninsured Armguards,,,,Rare,,,9.0,,,,4.0,,,
2.0,2.0,,4.0,,,,,,30.0,,,,2.0,,Soldier's Wristguards,,,,Uncommon,10.0,,9.0,,,,3.0,,,
,,,1.0,,,,,,30.0,,,,,,Aboriginal Bands,,,,Common,9.0,,9.0,,,,,,,
,,,3.0,,,,,,30.0,,,,,,Worn Mail Bracers,,,,Poor,9.0,,9.0,,,,,,,
,,,5.0,,,,,,30.0,,,,2.0,,Pricey Bracers,,,,Uncommon,,,9.0,,,,3.0,2.0,2.0,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Searing Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,2.0,,Rocket-Fuel Soaked Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Bonesnapper Cuffs,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,2.0,,Imported Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Burning Armbands,,,,Uncommon,,,9.0,,,,2.0,,,
,,,1.0,,,,,,25.0,,,,,,Native Bands,,,,Common,6.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,2.0,,Refleshified Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
,,,3.0,,,,,,25.0,,,,,,Light Mail Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,2.0,,Cord Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
,,,3.0,,,,,,25.0,,,,,,Salvaged Chain Bracers,,,,Common,5.0,,9.0,,,,,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Feckless Armbands,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Rough Leather Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Sturdy Leather Bracers,,,,Common,5.0,,9.0,,,,,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Dark Iron Infiltrator's Bracer,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Agamand Family Bracelet,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Graystone Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Agamand Family Bracer,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Parachute Wrist Straps,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Prairie Wolf Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Longshoreman's Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Death's Watch Bracer,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Feral Wristguards,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Huntsman's Chain Cuffs,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Gleaming Chain Bindings,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Slightly Rusted Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Gassy Armbands,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Big Trogg Bracers,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,18.0,,,,,,Sun Bleached Armbands,,,,Common,,,9.0,,,,,,,
3.0,3.0,,3.0,,,,3.0,,35.0,,,,3.0,,Acquisition Bracers,,,,Rare,,,9.0,,,,4.0,,,
,,,1.0,,,,,,30.0,,,,2.0,,Becalmed Bracers,,,,Uncommon,,,9.0,,,,3.0,,,
2.0,2.0,,4.0,,,,,,30.0,,,,2.0,,Serene Breeze Bracers,,,,Uncommon,,,9.0,,,,3.0,,,
2.0,2.0,,3.0,,,,,,30.0,,,,2.0,,Very Tranquil Bracers,,,,Uncommon,,,9.0,,,,3.0,,,
2.0,2.0,,4.0,,,,,,30.0,,,,2.0,,Bloodspattered Wristbands,,,,Uncommon,10.0,,9.0,,,,3.0,,,
,,,1.0,,,,,,30.0,,,,2.0,,Willow Bracers,,,,Uncommon,10.0,,9.0,,,,3.0,,,
,,,2.0,,,,,,30.0,,,,,,Gnoll Kindred Bracers,,,,Common,9.0,,9.0,,,,,,,
,,,4.0,,,,,,30.0,,,,,,Light Scale Bracers,,,,Uncommon,9.0,,9.0,,,,3.0,,,
,,,5.0,,,,,,30.0,,,,2.0,,Belmont's Bracers,,,,Uncommon,,,9.0,,,,3.0,2.0,2.0,
2.0,2.0,,2.0,,,,,,30.0,,,,2.0,,Drunken Style Bracers,,,,Uncommon,,,9.0,,,,3.0,,,
,,,2.0,,,,,,25.0,,,,,,Ice-Covered Bracers,,,,Common,7.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,30.0,,,,2.0,,Victor's Igneous Cuffs,,,,Rare,,,9.0,,,,2.0,,,
,,,3.0,,,,,,25.0,,,,,,Cadet Bracers,,,,Common,7.0,,9.0,,,,,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Soulstone Breaker Wristbands,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Grizzly Bracers,,,,Common,6.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Warped Leather Bracers,,,,Poor,6.0,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,War Torn Bands,,,,Common,6.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Soulstone Breaker Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Dark Iron Spy-Bands,,,,Uncommon,,,9.0,,,,2.0,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Tranquillien Ranger's Cuffs,,,,Uncommon,,,9.0,,,,2.0,,,
,,,3.0,,,,,,25.0,,,,,,Infantry Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Water-Stained Leather Bracers,,,,Common,5.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Bindings of Disregard,,,,Uncommon,,,9.0,,,,2.0,,,
,,,5.0,,,,,,25.0,,,,,,Fortified Wristguards,,,,Common,,,9.0,,,,,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Paramedic Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
,,,2.0,,,,,,25.0,,,,,,Primal Bands,,,,Common,4.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,First Responder's Bindings,,,,Uncommon,,,9.0,,,,2.0,,,
,,,4.0,,,,,,25.0,,,,,,Bracer of the Nightly Raid,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Ancestral Bracers,,,,Common,4.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Longshoreman's Bindings,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Feral Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Copper Bracers,,,,Common,2.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Slightly Worn Bracer,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Bracers of the Earth Spirit,,,,Common,1.0,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Bindings of the Earth Spirit,,,,Common,1.0,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Plains Hunter Guards,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Bracers of the Queen's Gate,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Lion's Pride Bracer,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Armbands of Praise,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Fargaze Armbands,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Flame-Retardant Pajama Sleeves,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Sea Witch's Bracers,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Gassy Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Inertial Bracers,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Velocity Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Hearth Defender Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Swift Plate Armbands,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Big Trogg Armbands,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,18.0,,,,,,Sun Bleached Bracer,,,,Common,,,9.0,,,,,,,
,,,6.0,,,,3.0,,35.0,,,,3.0,,Horn Sounder's Bracers,,,,Uncommon,,,9.0,,,,5.0,3.0,3.0,
3.0,3.0,,4.0,,,,3.0,,35.0,,,,3.0,,Deal Makers Bindings,,,,Rare,,,9.0,,,,4.0,,,
,,,5.0,,,,1.0,,30.0,,,,2.0,,Gregorky's Bracers,,,,Uncommon,,,9.0,,,,3.0,2.0,2.0,
2.0,2.0,,4.0,,,,4.0,,30.0,,,,2.0,,Worn Defias Bindings,,,,Uncommon,,,9.0,,,,3.0,,,
,,,2.0,,,,,,30.0,,,,,,Light Leather Bracers,,,,Uncommon,9.0,,9.0,,,,3.0,,,
,,,2.0,,,,,,30.0,,,,,,Lupine Cuffs,,,,Common,9.0,,9.0,,,,,,,
,,,5.0,,,,,,30.0,,,,2.0,,Ointment-Coated Bracers,,,,Uncommon,,,9.0,,,,3.0,2.0,2.0,
2.0,2.0,,3.0,,,,,,30.0,,,,2.0,,Jessera's Fungus Lined Bindings,,,,Uncommon,,,9.0,,,,3.0,,,
,,,3.0,,,,,,25.0,,,,,,Brackwater Bracers,,,,Common,7.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Simple Bands,,,,Common,7.0,,9.0,,,,,,,
2.0,2.0,,3.0,,,,,,25.0,,,,2.0,,Stonehallow's Pressed Cuffs,,,,Uncommon,,,9.0,,,,2.0,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Tranquillien Scout's Bracers,,,,Uncommon,,,9.0,,,,2.0,,,
2.0,2.0,,2.0,,,,,,25.0,,,,2.0,,Frontier Bracer,,,,Uncommon,,,9.0,,,,2.0,,,
,,,3.0,,,,,,25.0,,,,,,Imbued Infantry Bracers,,,,Uncommon,5.0,,9.0,,,,3.0,,,
,,,1.0,,,,,,25.0,,,,,,Knitted Bracers,,,,Common,5.0,,9.0,,,,,,,
,,,3.0,,,,,,25.0,,,,,,Battle Chain Bracers,,,,Common,4.0,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Healer's Wristwraps,,,,Common,1.0,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Sunsail Bracers,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Silk Wristbands,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,25.0,,,,,,Journeyman's Bracers,,,,Common,3.0,,9.0,,,,,,,
,,,2.0,,,,,,25.0,,,,,,Huntsman's Bracers,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,25.0,,,,,,Razor Hill Grunt's Bracers,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Ivy-Weave Bracers,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Repeller's Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Angular Momentum Wristguards,,,,Common,,,9.0,,,,,,,
,,,4.0,,,,,,20.0,,,,,,Total Disaster Bracers,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Bracers of Angular Momentum,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Stemleaf Bracers,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Sunrise Bracers,,,,Common,,,9.0,,,,,,,
,,,3.0,,,,,,20.0,,,,,,Coven Hollow Wristguards,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Armstead Bracers,,,,Common,,,9.0,,,,,,,
,,,2.0,,,,,,20.0,,,,,,Light Gleaming Bracers,,,,Common,,,9.0,,,,,,,
,,,1.0,,,,,,20.0,,,,,,Mottled Bracers,,,,Common,,,9.0,,,,,,,
7.0,7.0,,5.0,,,,,,35.0,,,,7.0,,Patterned Bronze Bracers,,,,Uncommon,20.0,,9.0,,,,,,,
4.0,4.0,,3.0,,,,2.0,,40.0,,,3.0,4.0,,Bands of Serra'kis,,,,Rare,20.0,,9.0,,,,6.0,,,
,,,2.0,,,,,,40.0,,,,4.0,,Mindthrust Bracers,,,,Rare,16.0,,9.0,,,,5.0,,,3.0
4.0,4.0,,3.0,,,,,,35.0,,,,4.0,,Wrangler's Wristbands,,,,Uncommon,18.0,,9.0,,,,6.0,,,
7.0,7.0,,3.0,,,,,,35.0,,,,7.0,,Forest Leather Bracers,,,,Uncommon,19.0,,9.0,,,,,,,
,,,2.0,,,,,,35.0,,,,7.0,,Bright Bracers,,,,Uncommon,18.0,,9.0,,,,,,,
3.0,3.0,,5.0,,,,3.0,,35.0,,,,3.0,,Slime Resistant Bracer,,,,Uncommon,,,9.0,,,,5.0,,,
,,,2.0,,,,,,30.0,,,,3.0,,Buccaneer's Bracers,,,,Uncommon,14.0,,9.0,,,,4.0,,,
3.0,3.0,,4.0,,,,,,30.0,,,,3.0,,Raider's Bracers,,,,Uncommon,12.0,,9.0,,,,4.0,,,
6.0,6.0,,3.0,,,,,,35.0,,,,6.0,,Wolf Bracers,,,,Uncommon,20.0,,9.0,,,,6.0,,,
5.0,5.0,,4.0,,,,,,30.0,,,,5.0,,Runed Copper Bracers,,,,Uncommon,14.0,,9.0,,,,,,,
,,,8.0,,Warrior,,,,35.0,,,3.0,4.0,,Warsinger's Vambraces,,,,Uncommon,20.0,,9.0,,,,6.0,4.0,4.0,2.0
,,,7.0,,,,3.0,,40.0,,,,3.0,,Rift Bracers,,,,Rare,16.0,,9.0,,,,5.0,3.0,3.0,2.0
4.0,4.0,,3.0,,,,,,35.0,,,,4.0,,Moon Shriek Bracers,,,,Uncommon,,,9.0,,,,6.0,,,
,,,1.0,,,,,,30.0,,,,,,Canvas Bracers,,,,Poor,14.0,,9.0,,,,,,,
3.0,3.0,,3.0,,,,,,30.0,,,,3.0,,Bandit Bracers,,,,Uncommon,14.0,,9.0,,,,4.0,,,
,,,6.0,,,,,,40.0,,,,3.0,,Cavedweller Bracers,,,,Rare,13.0,,9.0,,,,4.0,3.0,3.0,
,,,2.0,,,,,,30.0,,,,3.0,,Mystic's Bracelets,,,,Uncommon,12.0,,9.0,,,,4.0,,,
,,,2.0,,,,,,40.0,,,,3.0,,Crystalline Cuffs,,,,Rare,13.0,,9.0,,,,4.0,,,2.0
3.0,3.0,,3.0,,,,,,35.0,,,,3.0,,Scouting Bracers,,,,Uncommon,16.0,,9.0,,,,5.0,,,
