agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,2.0,,,,,35.0,,,,,,,Imbued Disciple's Boots,,,,Uncommon,,6.0,8.0,,,,,4.0,,,
,,,2.0,,,,,35.0,,,,,,,Web-Covered Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,4.0,,,,,35.0,,,,,,,Loose Chain Boots,,,,Poor,,4.0,8.0,,,,,,,,
,,,2.0,,,3.0,,55.0,,,,3.0,,,Merger Boots,,,,Rare,,,8.0,,,,,5.0,,,
,,,2.0,,,3.0,,55.0,,,,3.0,,,Conspirator's Slippers,,,,Rare,,,8.0,,,,,5.0,,,
3.0,3.0,,6.0,,,3.0,,50.0,,,,3.0,,,Silver Inlaid Footguards,,,,Rare,,,8.0,,,,,5.0,,,
,,,9.0,,,,,40.0,,,,4.0,,,Volunteer's Greaves,,,,Uncommon,,10.0,8.0,,,,,5.0,4.0,4.0,
4.0,4.0,,4.0,,,,,40.0,,,,4.0,,,Embossed Leather Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
3.0,3.0,,6.0,,,,,40.0,,,,3.0,,,Relinked Chain Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,6.0,,,,,40.0,,,,3.0,,,Vindicator's Chain Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,2.0,,,,,40.0,,,,,,,Calico Shoes,,,,Poor,,8.0,8.0,,,,,,,,
,,,5.0,,,,,40.0,,,,,,,Worn Mail Boots,,,,Poor,,8.0,8.0,,,,,,,,
,,,5.0,,,,,35.0,,,,,,,Well-Worn Raider Treads,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Worn Leather Boots,,,,Poor,,3.0,8.0,,,,,,,,
,,,5.0,,,,,30.0,,,,,,,Boots of the Blameless,,,,Common,,,8.0,,,,,,,,
4.0,4.0,,6.0,,,,,45.0,,,,4.0,,,Artificer's Boots,,,,Uncommon,,,8.0,,,,,6.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Trogg Stompers,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,8.0,,,,,40.0,,,,3.0,,,Stone Stompers,,,,Uncommon,,,8.0,,,,,4.0,3.0,3.0,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Bottom-Wader Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
2.0,2.0,,5.0,,,,,35.0,,,,2.0,,,Wolf Tender's Footwraps,,,,Uncommon,,,8.0,,,,,3.0,,,
2.0,2.0,,4.0,,,,,35.0,,,,2.0,,,Grassy Bindings,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,5.0,,,,,35.0,,,,,,,Rusty-Chain Galoshes,,,,Common,,,8.0,,,,,,,,
2.0,2.0,,5.0,,,,,35.0,,,,2.0,,,Museum Guard's Warboots,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,5.0,,,,,35.0,,,,,,,Light Mail Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,2.0,,,S.B.R.B. Prototype 4,,,,Uncommon,,,8.0,,,,,2.0,2.0,2.0,
,,,3.0,,,,,35.0,,,,,,,Gray Fur Booties,,,,Common,,4.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,2.0,,,S.B.R.B. Prototype 1,,,,Uncommon,,,8.0,,,,,2.0,,,
,,,3.0,,,,,35.0,,,,,,,Boots of the Weary Raider,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Slippers of High Honor,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Runner's Boots,,,,Common,,,8.0,,,,,,,,
4.0,4.0,,4.0,,,,,45.0,,,,4.0,,,Technician's Boots,,,,Uncommon,,,8.0,,,,,6.0,,,
4.0,4.0,,4.0,,,,,45.0,,,,4.0,,,"""Bear"" Hide Boots",,,,Uncommon,,,8.0,,,,,6.0,,,
4.0,4.0,,4.0,,,4.0,,45.0,,,,4.0,,,Glued Feather Boots,,,,Uncommon,,,8.0,,,,,6.0,,,
,,,9.0,,,,,45.0,,,,3.0,,,Treads of the True Plan,,,,Uncommon,,,8.0,,,,,5.0,3.0,3.0,
,,,4.0,,,,,40.0,,,,,,,Ceremonial Leather Ankleguards,,,,Common,,10.0,8.0,,,,,,,,
,,,4.0,,,,,40.0,,,,,,,Warped Leather Boots,,,,Poor,,10.0,8.0,,,,,,,,
,,,4.0,,,,,40.0,,,,,,,Hunting Boots,,,,Common,,9.0,8.0,,,,,,,,
,,,2.0,,,,,40.0,,,,3.0,,,Vindicator's Soft Sole Slippers,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,5.0,,,,,40.0,,,,,,,War Torn Greaves,,,,Common,,8.0,8.0,,,,,,,,
,,,8.0,,,,,40.0,,,,3.0,,,Treads of the Sepulcher,,,,Uncommon,,,8.0,,,,,4.0,3.0,3.0,
,,,2.0,,,,,40.0,,,,,,,Simple Shoes,,,,Common,,7.0,8.0,,,,,,,,
,,,3.0,,,,,40.0,,,,,,,Gypsy Sandals,,,,Common,,7.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Disciple's Boots,,,,Common,,6.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Ancestral Boots,,,,Common,,6.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,2.0,,,Wolf Fur Boots,,,,Uncommon,,,8.0,,,,,3.0,,,
2.0,2.0,,3.0,,,,,35.0,,,,2.0,,,Gnollbreaker's Boots,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,2.0,,,,,35.0,,,,,,,Beaded Sandals,,,,Common,,5.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,2.0,,,Slippers of Mourning,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,4.0,,,,,35.0,,,,,,,Weed-Flattening Greatboots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Worn Slippers,,,,Common,,,8.0,,,,,,,,
3.0,3.0,,4.0,,,3.0,,45.0,,,,3.0,,,Clean Room Boots,,,,Uncommon,,,8.0,,,,,5.0,,,
,,,2.0,,,,,40.0,,,,,,,Spellbinder Boots,,,,Common,,9.0,8.0,,,,,,,,
,,,4.0,,,,,40.0,,,,,,,Grizzly Slippers,,,,Common,,8.0,8.0,,,,,,,,
,,,5.0,,,,,40.0,,,,,,,Cadet Boots,,,,Common,,8.0,8.0,,,,,,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Blue-Bloodied Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
2.0,2.0,,5.0,,,,,35.0,,,,2.0,,,Grassy Bracers,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,2.0,,,,,35.0,,,,,,,Satin Lined Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Pioneer Boots,,,,Common,,6.0,8.0,,,,,,,,
2.0,2.0,,3.0,,,,,35.0,,,,2.0,,,Dun Morogh Hiking Boots,,,,Uncommon,,,8.0,,,,,3.0,,,
2.0,2.0,,3.0,,,,,35.0,,,,2.0,,,Stolen Talrendis Boots,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,3.0,,,,,35.0,,,,,,,Weather-Worn Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Patchwork Shoes,,,,Poor,,5.0,8.0,,,,,,,,
2.0,2.0,,5.0,,,,,35.0,,,,2.0,,,Riverpaw Gnoll Boots,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,3.0,,,,,35.0,,,,,,,Primal Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Simple Linen Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,4.0,,,,,35.0,,,,,,,Trackless Boots,,,,Common,,,8.0,,,,,,,,
,,,4.0,,,,,35.0,,,,,,,Bloody Chain Boots,,,,Common,,3.0,8.0,,,,,,,,
,,,4.0,,,,,35.0,,,,,,,Moongraze Linked Boots,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,35.0,,,,,,,Marrowpetal Boots,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,35.0,,,,,,,Swiftroot Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Flax Boots,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,30.0,,,,,,,Tracking Boots,,,,Common,,,8.0,,,,,,,,
,,,5.0,,,,,30.0,,,,,,,Carapace Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,45.0,,,,4.0,,,Cryo-Core Attendant's Boots,,,,Uncommon,,,8.0,,,,,6.0,,,
4.0,4.0,,6.0,,,4.0,,45.0,,,,4.0,,,Inter-Feather-Linked Greaves,,,,Uncommon,,,8.0,,,,,6.0,,,
4.0,4.0,,6.0,,,,,45.0,,,,4.0,,,Inconspicuous Footguards,,,,Uncommon,,,8.0,,,,,6.0,,,
4.0,4.0,,6.0,,,4.0,,45.0,,,,4.0,,,Asylum Boots,,,,Uncommon,,,8.0,,,,,6.0,,,
,,,2.0,,,,,45.0,,,,3.0,,,Troll Kickers,,,,Uncommon,,,8.0,,,,,5.0,,,
,,,9.0,,,,,45.0,,,,3.0,,,Negotiation Stompers,,,,Uncommon,,,8.0,,,,,5.0,3.0,3.0,
,,,9.0,,,,,45.0,,,,3.0,,,Misshapen Boots,,,,Uncommon,,,8.0,,,,,5.0,3.0,3.0,
,,,2.0,,,,,40.0,,,,3.0,,,Willow Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
4.0,4.0,,4.0,,,,,40.0,,,,4.0,,,Bogwalker Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
,,,2.0,,,,,40.0,,,,3.0,,,Singed Boots,,,,Uncommon,,,8.0,,,,,5.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Padded Running Shoes,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Boar Hunter's Treads,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,5.0,,,,,35.0,,,,,,,Imbued Infantry Boots,,,,Uncommon,,6.0,8.0,,,,,4.0,,,
,,,5.0,,,,,35.0,,,,,,,Infantry Boots,,,,Common,,6.0,8.0,,,,,,,,
,,,5.0,,,,,35.0,,,,,,,Warrior's Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Woven Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Rough Leather Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Battered Leather Boots,,,,Common,,5.0,8.0,,,,,,,,
2.0,2.0,,5.0,,,,,35.0,,,,2.0,,,Hill Ranger Treads,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,3.0,,,,,35.0,,,,,,,Burnt Leather Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,,,,Agamand Family Riding Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Farmer's Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Moongraze Hide Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Gretchen's Slippers,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Trackless Sandals,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Handstitched Leather Boots,,,,Common,,3.0,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,,,,Orcish Scout Boots,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,35.0,,,,,,,Reinforced Plate Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Viny Wrappings,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Banana Peel Slippers,,,,Common,,,8.0,,,,,,,,
,,,4.0,,,,,30.0,,,,,,,Shimmerweed Brewer Treads,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Summer Shoes,,,,Common,,1.0,8.0,,,,,,,,
,,,6.0,,,,,30.0,,,,,,,Dancing Boots,,,,Common,,1.0,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Steadfast Boots,,,,Common,,,8.0,,,,,,,,
,,,4.0,,,,,30.0,,,,,,,Vault Cracker Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Tasseled Shoes,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,30.0,,,,,,,Outfitter Boots,,,,Common,,,8.0,,,,,,,,
,,,4.0,,,,,30.0,,,,,,,Spitescale Stompers,,,,Common,,,8.0,,,,,,,,
,,,4.0,,,,,30.0,,,,,,,Vile Greaves,,,,Common,,,8.0,,,,,,,,
,,,5.0,,,,,25.0,,,,,,,Quill Impaled Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,4.0,,55.0,,,,4.0,,,Slippers of Unturned Loyalties,,,,Rare,,,8.0,,,,,6.0,,,
4.0,4.0,,6.0,,,,,45.0,,,,4.0,,,Blackwood Treads,,,,Uncommon,,,8.0,,,,,6.0,,,4.0
,,,9.0,,,,,45.0,,,,3.0,,,Troll Kickers,,,,Uncommon,,,8.0,,,,,5.0,3.0,3.0,
3.0,3.0,,6.0,,,,,45.0,,,,3.0,,,Troll Kickers,,,,Uncommon,,,8.0,,,,,5.0,,,
3.0,3.0,,4.0,,,5.0,,45.0,,,,3.0,,,Waptor Skin Boots,,,,Uncommon,,,8.0,,,,,5.0,,,
,,,4.0,,,,,40.0,,,,,,,Rugged Boots,,,,Uncommon,,10.0,8.0,,,,,5.0,,,
,,,8.0,,,,,40.0,,,,3.0,,,Gryan's Boots,,,,Uncommon,,,8.0,,,,,4.0,3.0,3.0,
,,,2.0,,,,,40.0,,,,3.0,,,Watched Watcher's Slippers,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,2.0,,,5.0,,40.0,,,,3.0,,,Harvester Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Treads of Red Waters,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Sabots of Red Waters,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Mossy Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Weighted Chain Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,3.0,,,,,40.0,,,,,,,Tribal Boots,,,,Common,,7.0,8.0,,,,,,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Demolitionist's Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Demolitionist's Footguards,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,4.0,,,,,35.0,,,,,,,Imbued Pioneer Boots,,,,Uncommon,,6.0,8.0,,,,,4.0,,,
,,,5.0,,,,,35.0,,,,,,,Charger's Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,5.0,,,,,35.0,,,,,,,Light Chain Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Recovered Knit Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,,,,Naga Plate Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Lithe Boots,,,,Common,,5.0,8.0,,,,,,,,
2.0,2.0,,5.0,,,,,35.0,,,,2.0,,,S.B.R.B. Prototype 3,,,,Uncommon,,,8.0,,,,,2.0,,,
,,,5.0,,,,,,,,,,,,Perrine's Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,,,,Copper Plate Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,6.0,,,,,30.0,,,,,,,Leader's Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Silk Shoes,,,,Common,,1.0,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Shimmerweed Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Sole-Less Boots,,,,Poor,,4.0,8.0,,,,,,,,
,,,4.0,,,,,30.0,,,,,,,Steadfast Greaves,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,30.0,,,,,,,Green Plate Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Footsteps of the Fallen Friend,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Vile Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Vile Slippers,,,,Common,,,8.0,,,,,,,,
,,,1.0,,,,,30.0,,,,,,,Boots of Changing Fortune,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,30.0,,,,,,,Chaser's Boots,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,45.0,,,,4.0,,,Ritual Stopper's Slippers,,,,Uncommon,,,8.0,,,,,6.0,,,
4.0,4.0,,4.0,,,,,45.0,,,,4.0,,,Blackwood Boots,,,,Uncommon,,,8.0,,,,,6.0,,,4.0
,,,10.0,,,,,45.0,,,,4.0,,,Lightweight Plate Boots,,,,Uncommon,,,8.0,,,,,6.0,4.0,4.0,
,,,10.0,,,4.0,,45.0,,,,4.0,,,Fire Stompers,,,,Uncommon,,,8.0,,,,,6.0,4.0,4.0,
3.0,3.0,,6.0,,,5.0,,45.0,,,,3.0,,,Waptor Tweads,,,,Uncommon,,,8.0,,,,,5.0,,,
,,,8.0,,,,,40.0,,,,3.0,,,Highstrider Boots,,,,Uncommon,,,8.0,,,,,4.0,3.0,3.0,
,,,5.0,,,,,40.0,,,,,,,Veteran Boots,,,,Common,,9.0,8.0,,,,,,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Trogg Kickers,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Grass-Stained Stompers,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Boiled Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Boiled Chain Footpads,,,,Uncommon,,,8.0,,,,,4.0,,,
,,,5.0,,,,,40.0,,,,,,,Battle Chain Boots,,,,Common,,7.0,8.0,,,,,,,,
3.0,3.0,,5.0,,,,,40.0,,,,3.0,,,Blue-Bloodied Treads,,,,Uncommon,,,8.0,,,,,4.0,,,
3.0,3.0,,4.0,,,,,40.0,,,,3.0,,,Boar Hunter's Boots,,,,Uncommon,,,8.0,,,,,4.0,,,
2.0,2.0,,4.0,,,,,35.0,,,,2.0,,,Wolf Tender's Boots,,,,Uncommon,,,8.0,,,,,3.0,,,
,,,5.0,,,,,35.0,,,,,,,Salvaged Chain Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Water-Stained Leather Boots,,,,Common,,5.0,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Bog Boots,,,,Common,,4.0,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Boots of Brill,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Boots of Courage,,,,Common,,1.0,8.0,,,,,,,,
,,,5.0,,,,,35.0,,,,,,,Treads of Brill,,,,Common,,,8.0,,,,,,,,
,,,3.0,,,,,35.0,,,,,,,Weed Stompers,,,,Common,,,8.0,,,,,,,,
,,,7.0,,,,,35.0,,,,,,,Battok's Bloody Boots,,,,Common,,,8.0,,,,,,,,
,,,2.0,,,,,35.0,,,,,,,Boatwork Boots,,,,Common,,,8.0,,,,,,,,
,,,4.0,,,,,30.0,,,,,,,Ringing Boots,,,,Common,,1.0,8.0,,,,,,,,
,,,2.0,,,,,30.0,,,,,,,Grizzled Den Boots,,,,Common,,,8.0,,,,,,,,
,,,6.0,,,,,30.0,,,,,,,Gas Soaked Boots,,,,Common,,,8.0,,,,,,,,
,,,1.0,,,,,30.0,,,,,,,KTC Executive Slippers,,,,Common,,,8.0,,,,,,,,
3.0,3.0,,4.0,,,,,45.0,,,,3.0,,,Bard's Boots,,,,Uncommon,,11.0,8.0,,,,,5.0,,,
7.0,7.0,,5.0,,,,,60.0,,,,7.0,,,Feet of the Lynx,,,,Rare,,19.0,8.0,,,,,7.0,,,
4.0,4.0,,5.0,,,,,45.0,,,,4.0,,,Bandit Boots,,,,Uncommon,,15.0,8.0,,,,,6.0,,,
,,,3.0,,,,,45.0,,,,4.0,,,Buccaneer's Boots,,,,Uncommon,,14.0,8.0,,,,,6.0,,,
6.0,6.0,,5.0,,,,,55.0,,,,6.0,161.0,,Blackened Defias Boots,,,,Rare,,15.0,8.0,,,,,6.0,,,
4.0,4.0,,5.0,,,,,60.0,,,2.0,4.0,162.0,,Footpads of the Fang,,,,Rare,,16.0,8.0,,,,,6.0,,,3.0
,,,3.0,,,,,60.0,,,,6.0,,,Spidersilk Boots,,,,Rare,,19.0,8.0,,,,,7.0,,,
,,,4.0,,,,,45.0,,,,,,,Prospector's Boots,,,,Uncommon,,14.0,8.0,,,,,6.0,,,5.0
3.0,3.0,,7.0,,,,,60.0,,,,3.0,,,Silver-Linked Footguards,,,,Rare,,16.0,8.0,,,,,6.0,,,
4.0,4.0,,5.0,,,,,50.0,,,,4.0,,,Scouting Boots,,,,Uncommon,,17.0,8.0,,,,,6.0,,,
4.0,4.0,,7.0,,,,,50.0,,,,4.0,,,Merchant Marine Greaves,,,,Uncommon,,,8.0,,,,,6.0,,,
6.0,6.0,,6.0,,,6.0,,65.0,,,,6.0,,,Fancy Footwork,,,,Rare,,,8.0,,,,,9.0,,,
,,,24.0,,0.0002777777777777778,,,,,,,,,,Heavy Armor Kit,,,,Common,,20.0,,,,,,,,,
,,,12.0,,,,,50.0,,,,5.0,,,Wolfrunner Boots,,,,Uncommon,,,8.0,,,,,8.0,5.0,5.0,
,,,3.0,,,5.0,,55.0,,,,5.0,,,Walking Boots,,,,Rare,,15.0,8.0,,,,,,,,
,,,11.0,,,5.0,,60.0,,,,5.0,,,Boots of the Hero,,,,Rare,,,8.0,,,,,7.0,5.0,5.0,
5.0,5.0,,6.0,,,,,45.0,,,,5.0,,,Blackrock Boots,,,,Uncommon,,14.0,8.0,,,,,6.0,,,
,,,14.0,,,,,65.0,,,,6.0,,,Cliffwalker Boots,,,,Rare,,,8.0,,,,,9.0,6.0,6.0,
,,,12.0,,,4.0,,60.0,,,,5.0,,,Aku'mai Worshipper's Greatboots,,,,Rare,,20.0,8.0,,,,,8.0,5.0,5.0,4.0
