agi,agiint,agistr,agistrint,armor,classes,cooldown,corruption,critstrkrtng,dmg,dmgmax1,dmgmin1,dodgertng,dps,dura,firres,hastertng,int,lifesteal,mastrtng,mledmgmax,mledmgmin,mledps,mlespeed,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdcritstrkrtng,slotbak,socket1,socket2,socket3,speed,splpwr,sta,str,versatility
3.0,,,,,,,,,,5.0,3.0,,1.62,30.0,,,,,,5.0,3.0,1.62,2.6,Filthy Paw,,,,Uncommon,,,13.0,,,,2.6,,,,
4.0,,,,,,,,,,7.0,5.0,,2.36,50.0,,,,,,7.0,5.0,2.36,2.6,Waptor Thwapper,,,,Uncommon,,,13.0,,,,2.6,,,,
2.0,,,,,,,,,,4.0,2.0,,1.71,30.0,,,,,,4.0,2.0,1.71,1.8,Carving Knife,,,,Uncommon,6.0,,13.0,,,,1.8,,2.0,,
,,,,,,,,,,7.0,3.0,,2.11,45.0,,,,,,7.0,3.0,2.11,2.6,Darkthorn Piercer,,,,Uncommon,,,13.0,,,,2.6,,3.0,3.0,
2.0,,,,,,,,,,6.0,4.0,,2.04,45.0,,,,,,6.0,4.0,2.04,2.6,Staunch Hammer,,,,Uncommon,9.0,,13.0,,,,2.6,,3.0,,
3.0,,,,,,,,,,7.0,3.0,,1.96,45.0,,,,,,7.0,3.0,1.96,2.6,Marcus' Pickaxe,,,,Uncommon,,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,2.0,,1.0,30.0,,,,,,3.0,2.0,1.0,2.6,Cudgel,,,,Common,2.0,,13.0,,,,2.6,,,,
,,,,,,,,,3.0,,,,,,,,,,,,,,,Coarse Weightstone,,,,Common,5.0,,,,,,,,,,
3.0,,,,,,,,,,4.0,2.0,,1.82,30.0,,,,,,4.0,2.0,1.82,1.8,Stillpine Family Letter Opener,,,,Uncommon,,,13.0,,,,1.8,,,,
,,,,,,,,,,4.0,2.0,,1.18,35.0,,,,,,4.0,2.0,1.18,2.6,Tomahawk,,,,Common,4.0,,13.0,,,,2.6,,,,
2.0,,,,,,,,2.0,,6.0,4.0,,2.1,60.0,,,,,,6.0,4.0,2.1,2.6,House Wrynn Gavel,,,,Rare,,,13.0,,,,2.6,,2.0,,
2.0,,,,,,,,,,6.0,2.0,,1.67,40.0,,,,,,6.0,2.0,1.67,2.6,Scalping Tomahawk,,,,Uncommon,6.0,,13.0,,,,2.6,,2.0,,
,,,,,,,,,,2.0,1.0,,0.7000000000000001,40.0,,,10.0,,,2.0,1.0,0.7000000000000001,2.6,Solid Metal Club,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
3.0,,,,,Rogue,,,,,3.0,1.0,,1.38,25.0,,,,,,3.0,1.0,1.38,1.8,Blade of Cunning,,,,Uncommon,,,13.0,,,,1.8,,,,
2.0,,,,,,,,,,5.0,2.0,,1.38,35.0,,,,,,5.0,2.0,1.38,2.6,Sharp Edge of Balance,,,,Uncommon,,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,2.0,,1.0,30.0,,,,,,3.0,2.0,1.0,2.6,Humble Cudgel,,,,Common,1.0,,13.0,,,,2.6,,,,
,,,,,,,,,,2.0,1.0,,0.6900000000000001,30.0,,,,,,2.0,1.0,0.6900000000000001,2.6,Forsaken Maul,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,,,,0.49,18.0,,,,,,,,0.49,1.8,Vibro Knife,,,,Uncommon,,,13.0,,,,1.8,,,,
2.0,,,,,,,,,,5.0,2.0,,2.15,35.0,,,,,,5.0,2.0,2.15,1.8,Curved Dagger,,,,Uncommon,9.0,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,6.0,3.0,,1.86,45.0,,,,,,6.0,3.0,1.86,2.6,Sword of Insurgence,,,,Uncommon,,,13.0,,,,2.6,,3.0,2.0,
,,,,,,,,,,3.0,2.0,,1.41,30.0,,,,,,3.0,2.0,1.41,1.8,Copper Dagger,,,,Common,6.0,,13.0,,,,1.8,,,,
,,,,,,,,,,6.0,4.0,,2.02,35.0,,,,,,6.0,4.0,2.02,2.6,Brass Knuckles,,,,Common,10.0,,13.0,,,,2.6,,,,
2.0,,,,,,,,,,8.0,3.0,,2.24,50.0,,,,,,8.0,3.0,2.24,2.6,Dwarven Hatchet,,,,Uncommon,10.0,,13.0,,,,2.6,,3.0,,
,,,,,,,,,,3.0,2.0,,1.02,50.0,,,12.0,,,3.0,2.0,1.02,2.6,Cerellean's Spellsword,,,,Uncommon,,,13.0,,,,2.6,,3.0,,
,,,,,,,,,,8.0,3.0,,2.24,50.0,,,,,,8.0,3.0,2.24,2.6,Brutish Riverpaw Axe,,,,Uncommon,10.0,,13.0,,,,2.6,,,4.0,
2.0,,,,,,,,,,5.0,2.0,,2.15,40.0,,,,,,5.0,2.0,2.15,1.8,Marshalling Point,,,,Rare,,,13.0,,,,1.8,,4.0,,
,,,,,,,,,,6.0,2.0,,1.67,40.0,,,,,,6.0,2.0,1.67,2.6,Oxidizing Axe,,,,Uncommon,,,13.0,,,,2.6,,2.0,2.0,
2.0,,,,,,,,,,4.0,2.0,,1.71,30.0,,,,,,4.0,2.0,1.71,1.8,Woodchipper Dagger,,,,Uncommon,,,13.0,,,,1.8,,2.0,,
,,,,,,,,,,3.0,1.0,,1.36,25.0,,,,,,3.0,1.0,1.36,1.8,Pruning Knife,,,,Common,,,13.0,,,,1.8,,,,
2.0,,,,,,,,,,3.0,1.0,,1.38,25.0,,,,,,3.0,1.0,1.38,1.8,Mori's Pocketknife,,,,Uncommon,,,13.0,,,,1.8,,2.0,,
,,,,,,,,,,4.0,1.0,,1.15,35.0,,,,,,4.0,1.0,1.15,2.6,Chicken Chopper,,,,Uncommon,,,13.0,,,,2.6,,,2.0,
,,,,,,,,,,3.0,1.0,,0.94,30.0,,,,,,3.0,1.0,0.94,2.6,Sword of the Hozen,,,,Common,1.0,,13.0,,,,2.6,,,,
,,,,,,,,,,2.0,1.0,,0.87,20.0,,,,,,2.0,1.0,0.87,1.8,Simmer's Dirk,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,1.0,,0.89,30.0,,,,,,3.0,1.0,0.89,2.6,Scythe Blade,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,4.0,2.0,,1.34,55.0,,,16.0,,,4.0,2.0,1.34,2.6,Relios's Mace,,,,Uncommon,,,13.0,,,,2.6,,4.0,,
,,,,,,,,,,3.0,2.0,,1.08,50.0,,,12.0,,,3.0,2.0,1.08,2.6,Fist of Argus,,,,Uncommon,,,13.0,,,,2.6,,3.0,,
4.0,,,,,,,,,,8.0,3.0,,2.29,50.0,,,,,,8.0,3.0,2.29,2.6,Emergency Hatchet,,,,Uncommon,,,13.0,,,,2.6,,,,
,,,,,,,,3.0,,4.0,2.0,,1.18,50.0,,,12.0,,,4.0,2.0,1.18,2.6,Silver-Edged Blade,,,,Uncommon,,,13.0,,,,2.6,,3.0,,
,,,,,,,,,,2.0,1.0,,0.96,35.0,,,12.0,,,2.0,1.0,0.96,1.8,Cerellean's Dagger,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,5.0,3.0,,1.69,40.0,,,,,,5.0,3.0,1.69,2.6,Broken Wine Bottle,,,,Common,7.0,,13.0,,,,2.6,,,,
2.0,,,,,,,,,,5.0,2.0,,1.5,40.0,,,,,,5.0,2.0,1.5,2.6,Notched Shortsword,,,,Uncommon,5.0,,13.0,,,,2.6,,2.0,,
,,,,,,,,,,4.0,3.0,,1.38,40.0,,,,,,4.0,3.0,1.38,2.6,McWeaksauce's Meat Tenderizer,,,,Common,,,13.0,,,,2.6,,,,
2.0,,,,,,,,,,3.0,1.0,,1.32,25.0,,,,,,3.0,1.0,1.32,1.8,Sharpened Wolf's Tooth,,,,Uncommon,,,13.0,,,,1.8,,,,
,,,,,,,,,,2.0,1.0,,0.64,35.0,,,,,,2.0,1.0,0.64,2.6,Feeble Sword,,,,Poor,3.0,,13.0,,,,2.6,,,,
,,,,,,,,,,,,,0.51,25.0,,,,,,,,0.51,1.8,Sharpened Letter Opener,,,,Poor,2.0,,13.0,,,,1.8,,,,
,,,,,,,,,,6.0,4.0,,2.02,35.0,,,,,,6.0,4.0,2.02,2.6,Left-Handed Brass Knuckles,,,,Common,10.0,,13.0,,,,2.6,,,,
4.0,,,,,,,,,,5.0,2.0,,2.2,35.0,,,,,,5.0,2.0,2.2,1.8,Survival Knife,,,,Uncommon,,,13.0,,,,1.8,,,,
,,,,,,,,,,7.0,3.0,,1.96,45.0,,,,,,7.0,3.0,1.96,2.6,Stonesplinter Axe,,,,Uncommon,8.0,,13.0,,,,2.6,,,3.0,
3.0,,,,,,,,,,6.0,3.0,,1.86,45.0,,,,,,6.0,3.0,1.86,2.6,Feral Blade,,,,Uncommon,8.0,,13.0,,,,2.6,,,,
3.0,,,,,,,,,,4.0,2.0,,1.82,30.0,,,,,,4.0,2.0,1.82,1.8,Stonesplinter Dagger,,,,Uncommon,8.0,,13.0,,,,1.8,,,,
2.0,,,,,,,,,,5.0,3.0,,1.66,40.0,,,,,,5.0,3.0,1.66,2.6,Old Elekk Prod,,,,Uncommon,,,13.0,,,,2.6,,3.0,,
2.0,,,,,,,,,,3.0,1.0,,1.38,25.0,,,,,,3.0,1.0,1.38,1.8,Jeweled Dagger,,,,Uncommon,5.0,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,2.0,1.0,,0.7000000000000001,40.0,,,10.0,,,2.0,1.0,0.7000000000000001,2.6,Kodo Gavel,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
3.0,,,,,,,,,,3.0,1.0,,1.38,25.0,,,,,,3.0,1.0,1.38,1.8,Long Bayonet,,,,Uncommon,,,13.0,,,,1.8,,,,
,,,,,,,,2.0,,3.0,1.0,,1.32,40.0,,,16.0,,,3.0,1.0,1.32,1.8,Dawnweaver's Dagger,,,,Uncommon,,,13.0,,,,1.8,,4.0,,
2.0,,,,,,,,,,5.0,2.0,,2.2,35.0,,,,,,5.0,2.0,2.2,1.8,Long Crawler Limb,,,,Uncommon,10.0,,13.0,,,,1.8,,4.0,,
3.0,,,,,,,,,,4.0,2.0,,1.71,30.0,,,,,,4.0,2.0,1.71,1.8,Small Hand Blade,,,,Uncommon,6.0,,13.0,,,,1.8,,,,
,,,,,,,,2.0,,2.0,1.0,,0.73,40.0,,,10.0,,,2.0,1.0,0.73,2.6,Chopped Off Ancient Limb,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
3.0,,,,,,,,,,4.0,3.0,,1.4,40.0,,,,,,4.0,3.0,1.4,2.6,Kodo Mallet,,,,Uncommon,,,13.0,,,,2.6,,,,
,,,,,Warrior,,,,,5.0,2.0,,1.5,40.0,,,,,,5.0,2.0,1.5,2.6,Mercenary Sword,,,,Uncommon,,,13.0,,,,2.6,,3.0,2.0,
,,,,,,,,,,,,,0.8300000000000001,25.0,,,10.0,,,,,0.8300000000000001,1.8,Ambassador's Duplicitous Dagger,,,,Uncommon,,,13.0,,,,1.8,,2.0,,
1.0,,,,,,,,,,4.0,2.0,,1.34,35.0,,,,,,4.0,2.0,1.34,2.6,The Hammer,,,,Uncommon,,,13.0,,,,2.6,,1.0,,
,,,,,,,,,,3.0,1.0,,1.25,25.0,,,,,,3.0,1.0,1.25,1.8,Stiletto,,,,Common,3.0,,13.0,,,,1.8,,,,
,,,,,,,,,,2.0,1.0,,0.92,25.0,,,,,,2.0,1.0,0.92,1.8,Dagger of the Hozen,,,,Common,1.0,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,1.0,,0.89,30.0,,,,,,3.0,1.0,0.89,2.6,Ley-Keeper's Blade,,,,Common,,,13.0,,,,2.6,,,,
3.0,,,,,,,,3.0,,6.0,3.0,,2.64,40.0,,,,,,6.0,3.0,2.64,1.8,Scissor Blade,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
2.0,,,,,,,,3.0,,9.0,4.0,,2.58,55.0,,,,,,9.0,4.0,2.58,2.6,Psychopathic Hatchet,,,,Uncommon,,,13.0,,,,2.6,,3.0,,
2.0,,,,,,,,2.0,,6.0,3.0,,2.59,40.0,,,,,,6.0,3.0,2.59,1.8,Bachelor's Dagger,,,,Rare,,,13.0,,,,1.8,,3.0,,
3.0,,,,,,,,,,6.0,3.0,,2.59,35.0,,,,,,6.0,3.0,2.59,1.8,Wildkin Claw Dagger,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,6.0,4.0,,2.1,50.0,,,,,,6.0,4.0,2.1,2.6,Driftwood Club,,,,Uncommon,10.0,,13.0,,,,2.6,,4.0,2.0,
2.0,,,,,,,,,,5.0,2.0,,2.2,35.0,,,,,,5.0,2.0,2.2,1.8,Wild Howl Dagger,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,7.0,3.0,,2.11,45.0,,,,,,7.0,3.0,2.11,2.6,Enamelled Broadsword,,,,Uncommon,9.0,,13.0,,,,2.6,,,4.0,
2.0,,,,,,,,,,5.0,3.0,,1.72,40.0,,,,,,5.0,3.0,1.72,2.6,Heavy Mace,,,,Uncommon,7.0,,13.0,,,,2.6,,2.0,,
,,,,,,,,,,6.0,2.0,,1.67,40.0,,,,,,6.0,2.0,1.67,2.6,Rodentia Flint Axe,,,,Uncommon,6.0,,13.0,,,,2.6,,,2.0,3.0
2.0,,,,,,,,3.0,,4.0,2.0,,1.71,30.0,,,,,,4.0,2.0,1.71,1.8,Kobold Sticker,,,,Uncommon,,,13.0,,,,1.8,,2.0,,
2.0,,,,,,,,,,4.0,3.0,,1.4,40.0,,,,,,4.0,3.0,1.4,2.6,The Slaghammer,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
2.0,,2.0,,,,,,,,4.0,3.0,,1.4,40.0,,,,,,4.0,3.0,1.4,2.6,Solid Wooden Club,,,,Uncommon,,,13.0,,,,2.6,,2.0,2.0,
2.0,,,,,Warrior,,,,,3.0,1.0,,1.38,25.0,,,,,,3.0,1.0,1.38,1.8,Mercenary Stiletto,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,4.0,3.0,,1.4,40.0,,,,,,4.0,3.0,1.4,2.6,Mori's Gear Stick,,,,Uncommon,,,13.0,,,,2.6,,,3.0,
,,,,,,,,,,3.0,1.0,,1.3,25.0,,,,,,3.0,1.0,1.3,1.8,Quilboar Sticker,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,2.0,,1.0,30.0,,,,,,3.0,2.0,1.0,2.6,Granny's Mallet,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,2.0,1.0,,0.92,25.0,,,,,,2.0,1.0,0.92,1.8,Camping Knife,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,2.0,1.0,,0.75,30.0,,,,,,2.0,1.0,0.75,2.6,Simmer's Cudgel,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,2.0,1.0,,0.59,25.0,,,,,,2.0,1.0,0.59,2.6,Anvilmar Hand Axe,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,,,,0.47,16.0,,,,,,,,0.47,1.8,Blooded Darkspear Dagger,,,,Uncommon,,,13.0,,,,1.8,,,,
3.0,,3.0,,,,,,,,8.0,6.0,,2.8,55.0,,,,,,8.0,6.0,2.8,2.6,Grove Keeper's Branch,,,,Uncommon,,,13.0,,,,2.6,,4.0,3.0,
,,,,,,,,,,7.0,4.0,,2.16,50.0,,,,,,7.0,4.0,2.16,2.6,Swiftwind Blade,,,,Uncommon,,,13.0,,,,2.6,,3.0,3.0,
,,,,,,,,,,3.0,1.0,,1.29,35.0,,,,,,3.0,1.0,1.29,1.8,Fisherman Knife,,,,Poor,9.0,,13.0,,,,1.8,,,,
,,,,,,,,,,6.0,3.0,,1.86,45.0,,,,,,6.0,3.0,1.86,2.6,Aynasha's Spare Sword,,,,Uncommon,,,13.0,,,,2.6,,2.0,2.0,
,,,,,,,,,,5.0,4.0,,1.78,45.0,,,,,,5.0,4.0,1.78,2.6,The Thumper,,,,Uncommon,,,13.0,,,,2.6,,,3.0,
,,,,,,,,,,5.0,3.0,,1.72,40.0,,,,,,5.0,3.0,1.72,2.6,Skorn's Hammer,,,,Uncommon,,,13.0,,,,2.6,,,3.0,
3.0,,,,,,,,,,4.0,2.0,,1.76,30.0,,,,,,4.0,2.0,1.76,1.8,Compact Fighting Knife,,,,Uncommon,,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,2.0,,1.41,30.0,,,,,,3.0,2.0,1.41,1.8,Jagged Wing Slasher,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,3.0,,5.0,3.0,,1.66,40.0,,,,,,5.0,3.0,1.66,2.6,Kobold Basher,,,,Uncommon,,,13.0,,,,2.6,,2.0,2.0,
,,,,,,,,,,3.0,1.0,,1.36,25.0,,,,,,3.0,1.0,1.36,1.8,Battle Tested Dirk,,,,Common,,,13.0,,,,1.8,,,,
3.0,,,,,,,,,,3.0,1.0,,1.38,25.0,,,,,,3.0,1.0,1.38,1.8,Darrington's Dirk,,,,Uncommon,,,13.0,,,,1.8,,,,
,,,,,,,,,,4.0,2.0,,1.24,35.0,,,,,,4.0,2.0,1.24,2.6,Gladius,,,,Common,4.0,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,1.0,,1.3,25.0,,,,,,3.0,1.0,1.3,1.8,Ranger's Notched Dirk,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,1.0,,1.3,25.0,,,,,,3.0,1.0,1.3,1.8,Bloodstained Knife,,,,Common,4.0,,13.0,,,,1.8,,,,
,,,,,,,,,,2.0,1.0,,0.92,25.0,,,,,,2.0,1.0,0.92,1.8,Short Knife,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,2.0,1.0,,0.92,25.0,,,,,,2.0,1.0,0.92,1.8,Jade Hilted Dagger,,,,Common,1.0,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,1.0,,0.94,30.0,,,,,,3.0,1.0,0.94,2.6,Razor Hill Blade,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,1.0,,0.94,30.0,,,,,,3.0,1.0,0.94,2.6,Long Knife,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,2.0,1.0,,0.65,30.0,,,,,,2.0,1.0,0.65,2.6,Forsaken Shortsword,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,,,,0.8200000000000001,20.0,,,,,,,,0.8200000000000001,1.8,Forsaken Dagger,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,8.0,6.0,,2.8,55.0,,,,,,8.0,6.0,2.8,2.6,Mace of the Hand,,,,Uncommon,,,13.0,,,,2.6,,5.0,5.0,
2.0,,,,,,,,2.0,,7.0,3.0,,3.03,40.0,,,,,,7.0,3.0,3.03,1.8,Scaling Knife,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,3.0,2.0,,1.05,50.0,,,12.0,,,3.0,2.0,1.05,2.6,Stonesplinter Mace,,,,Uncommon,10.0,,13.0,,,,2.6,,3.0,,
,,,,,,,,,,3.0,2.0,,0.99,45.0,,,10.0,,,3.0,2.0,0.99,2.6,Carved Stone Mace,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
,,,,,,,,,,5.0,3.0,,1.56,40.0,,,,,,5.0,3.0,1.56,2.6,Elekk Handler's Blade,,,,Uncommon,,,13.0,,,,2.6,,,3.0,
,,,,,,,,,,2.0,1.0,,0.85,30.0,,,10.0,,,2.0,1.0,0.85,1.8,Greely's Spare Dagger,,,,Uncommon,,,13.0,,,,1.8,,2.0,,
,,,,,,,,,,5.0,3.0,,1.66,40.0,,,,,,5.0,3.0,1.66,2.6,Frostmane Scepter,,,,Uncommon,6.0,,13.0,,,,2.6,,3.0,2.0,
,,,,,,,,,,3.0,1.0,,1.36,25.0,,,,,,3.0,1.0,1.36,1.8,Ranger's Pocketknife,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,3.0,1.0,,0.89,30.0,,,,,,3.0,1.0,0.89,2.6,Worn Ceremonial Tomahawk,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,1.0,,0.89,30.0,,,,,,3.0,1.0,0.89,2.6,Razor Hill Axe,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,1.0,,0.89,30.0,,,,,,3.0,1.0,0.89,2.6,Sharp Axe,,,,Common,,,13.0,,,,2.6,,,,
,,,,,,,,,,,,,0.8200000000000001,20.0,,,,,,,,0.8200000000000001,1.8,Exodar Dagger,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,,,,0.8200000000000001,20.0,,,,,,,,0.8200000000000001,1.8,Thistlewood Dagger,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,,,,0.8200000000000001,20.0,,,,,,,,0.8200000000000001,1.8,Sunstrider Dagger,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,0.008333333333333333,,,,2.0,1.0,,0.65,25.0,,,,,,2.0,1.0,0.65,2.5,Overflowing Purple Brewfest Stein,,,,Rare,1.0,,13.0,,,,2.5,,,,
,,,,,,,,,,,,,0.51,20.0,,,,,,,,0.51,1.8,Red Ceremonial Dagger,,,,Common,,,13.0,,,,1.8,,,,
,,,,,,,,,,9.0,4.0,,2.58,55.0,,,,,,9.0,4.0,2.58,2.6,Edge of Unlifted Burdens,,,,Uncommon,,,13.0,,,,2.6,,3.0,3.0,
2.0,,,,,,,,,,6.0,3.0,,2.59,35.0,,,,,,6.0,3.0,2.59,1.8,Sacrificial Blade,,,,Uncommon,,,13.0,,,,1.8,,4.0,,
,,,,,,,,,,8.0,3.0,,2.29,50.0,,,,,,8.0,3.0,2.29,2.6,Hort's Axe,,,,Uncommon,,,13.0,,,,2.6,,3.0,2.0,
2.0,,,,,,,,,,5.0,2.0,,2.2,35.0,,,,,,5.0,2.0,2.2,1.8,Giant Tarantula Fang,,,,Uncommon,10.0,,13.0,,,,1.8,,4.0,,
3.0,,,,,,,,,,5.0,2.0,,2.2,35.0,,,,,,5.0,2.0,2.2,1.8,Whiteclaw Dagger,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,2.0,1.0,,0.94,35.0,,,12.0,,,2.0,1.0,0.94,1.8,Arcanist's Dagger,,,,Uncommon,,,13.0,,,,1.8,,3.0,,
,,,,,,,,,,6.0,4.0,,2.01,45.0,,,,,,6.0,4.0,2.01,2.6,Mace,,,,Common,9.0,,13.0,,,,2.6,,,,
,,,,,,,,,,3.0,2.0,,0.99,45.0,,,10.0,,,3.0,2.0,0.99,2.6,Mace of Calculated Loss,,,,Uncommon,,,13.0,,,,2.6,,2.0,,
