agi,agiint,agistr,agistrint,arcres,armor,atkpwr,classes,cooldown,critstrkrtng,dodgertng,firres,frores,hastertng,int,itemset,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqlevel,rgdhastepct,slotbak,socket1,socket2,speed,splhastepct,sta,str,strint,versatility
2.0,,,,,2.0,,,,,,,,,,,,Gnomish Parachute Scrap,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,2.0,,,,,,,,,,,,Imbued Simple Cape,,,,Uncommon,6.0,,16.0,,,,,3.0,,,
2.0,,,,,1.0,,,,,,,,,,,,Feathered Cape,,,,Uncommon,7.0,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,War Torn Cape,,,,Common,5.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Disciple's Cloak,,,,Common,5.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Moongraze Fur Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Ancestral Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Infantry Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Venomous Silk Cover,,,,Uncommon,,,16.0,,,,,4.0,,,
,,,,,1.0,,,,,,,,,,,,Melrache's Cape,,,,Common,7.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Wendigo Fur Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Journeyman's Cloak,,,,Common,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Burnt Cloak,,,,Common,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Primal Cape,,,,Common,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Charger's Cloak,,,,Common,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Short Duskbat Cape,,,,Common,,,16.0,,,,,,,,
,,,,,2.0,,,,3.0,,,,,3.0,,,Lushwater Cloak,,,,Uncommon,,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Cloak of Secret Purpose,,,,Uncommon,,,16.0,,,,,4.0,,,
3.0,,,,,2.0,,,,,,,,,,,,Sylastor's Cloak,,,,Uncommon,,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,,,,Worn Cloak,,,,Poor,10.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Fine Leather Cloak,,,,Uncommon,10.0,,16.0,,,,,3.0,,,
2.0,,,,,2.0,,,,,,,,,,,,Feral Cloak,,,,Uncommon,10.0,,16.0,,,,,3.0,,,
,,,,,1.0,,,,,,,,,,,,Calico Cloak,,,,Poor,9.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Surveyor's Mantle,,,,Uncommon,,,16.0,,,,,3.0,,,
2.0,,,,,2.0,,,,,,,,,,,,Cover of Leaves,,,,Uncommon,,,16.0,,,,,3.0,,,
,,,,,1.0,,,,,,,,,,,,Ceremonial Cloak,,,,Common,7.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Veteran Cloak,,,,Common,7.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Ironheart Chain Cloak,,,,Uncommon,,,16.0,,,,,2.0,2.0,,
,,,,,1.0,,,,,,,,,,,,Simple Cape,,,,Common,6.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,2.0,,,T'veen's Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Worn Hide Cloak,,,,Poor,5.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Executor's Cape,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Springpaw Hide Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Battered Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Heart Wrapper,,,,Rare,,,16.0,,,,,4.0,3.0,,
,,,,,2.0,,,,,,,,,,,,Mutineer's Cloak,,,,Rare,,,16.0,,,,,4.0,3.0,,
3.0,,,,,2.0,,,,,,,,,,,,Sludge Fen Cloak,,,,Uncommon,,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,,,,War Blood Cloak,,,,Uncommon,,,16.0,,,,,3.0,2.0,,
,,,,,2.0,,,,,,,,,,,,Aboriginal Cape,,,,Common,9.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Brackwater Cloak,,,,Common,8.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Spellbinder Cloak,,,,Common,8.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Barbaric Cloth Cloak,,,,Common,7.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Greymane Cloak,,,,Uncommon,,,16.0,,,,,2.0,2.0,,
,,,,,2.0,,,,,,,,,2.0,,,Chip's Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,2.0,,,,,,,,,2.0,,,Cloak of the Stag,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Warm Cloak,,,,Common,6.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Cloak of Courage,,,,Uncommon,,,16.0,,,,,2.0,2.0,,
2.0,,,,,2.0,,,,,,,,,,,,Equicide Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Imbued Gypsy Cloak,,,,Uncommon,6.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,2.0,,,Mori's Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Grizzly Cape,,,,Common,5.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Pioneer Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Battle Chain Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Pygmy Cloak,,,,Uncommon,,,16.0,,,,,2.0,2.0,,
,,,,,1.0,,,,,,,,,,,,Tribal Cloak,,,,Common,4.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Beaded Cloak,,,,Common,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Warrior's Cloak,,,,Common,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,1.0,,,Mechachicken Feather Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Imbued Primal Cape,,,,Uncommon,3.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Orange Blanket,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Wolf Fur Coat,,,,Common,,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,3.0,,,Low-Altitude Parachute,,,,Uncommon,,,16.0,,,,,5.0,,,
3.0,,,,,2.0,,,,3.0,,,,,,,,Transdimensional Cloak,,,,Uncommon,,,16.0,,,,,4.0,,,
3.0,,,,,2.0,,,,,,,,,,,,Disposable Cloak,,,,Uncommon,,,16.0,,,,,4.0,,,
2.0,,,,,2.0,,,,,,,,,,,,Cromush's Cloak,,,,Uncommon,,,16.0,,,,,3.0,,,
4.0,,,,,2.0,,,,,,,,,,,,Buckskin Cape,,,,Uncommon,10.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Rat Cloth Cloak,,,,Uncommon,10.0,,16.0,,,,,3.0,,,
,,,,,2.0,,,,,,,,,,,,Bloodspattered Cloak,,,,Common,9.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Bard's Cloak,,,,Common,9.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Hunting Cloak,,,,Common,8.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,2.0,,,Golden Sunshine Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,1.0,,,,,,,,,,,,Warped Cloak,,,,Poor,7.0,,16.0,,,,,,,,
2.0,,,,,2.0,,,,,,,,,,,,Nubish Cloak,,,,Uncommon,,,16.0,,,,,2.0,,,
,,,,,2.0,,,,,,,,,,,,Imbued Cadet Cloak,,,,Uncommon,6.0,,16.0,,,,,,3.0,,
,,,,,1.0,,,,,,,,,,,,Native Cloak,,,,Common,5.0,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Durable Drape,,,,Uncommon,,,16.0,,,,,2.0,2.0,,
,,,,,1.0,,,,,,,,,,,,Zen'Taji's Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Thunderhorn Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Daylight Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Draped Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Wine-Stained Cloak,,,,Common,,,16.0,,,,,,,,
,,,,,1.0,,,,,,,,,,,,Fallout Cover,,,,Common,,,16.0,,,,,,,,
,,,,,2.0,,,,4.0,,,,,3.0,,,Spidersilk Drape,,,,Rare,19.0,,16.0,,,,,6.0,,,
4.0,,,,,2.0,,,,,,,,,,,,Sentry Cloak,,,,Rare,19.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Prospector's Cloak,,,,Uncommon,12.0,,16.0,,,,,4.0,2.0,,
5.0,,,,,2.0,,,,,,,,,,,,Hide of Lupos,,,,Uncommon,18.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Tranquillien Champion's Cloak,,,,Rare,16.0,,16.0,,,,,5.0,,,
3.0,,,3.0,,2.0,,,,3.0,,,,1.0,3.0,,,Glowing Lizardscale Cloak,,,,Rare,16.0,,16.0,,,,,5.0,3.0,,
3.0,,,,,2.0,,,,,,,,,,,,Privateer's Cape,,,,Uncommon,14.0,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,4.0,,,Ivycloth Cloak,,,,Uncommon,20.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,4.0,,,Feyscale Cloak,,,,Rare,15.0,,16.0,,,,,5.0,,,
3.0,,,3.0,,2.0,,,,,,,,2.0,3.0,,,Cape of the Brotherhood,,,,Rare,15.0,,16.0,,,,,5.0,3.0,,2.0
7.0,,,,,2.0,,,,,,,,,,,,Webwing Cloak,,,,Uncommon,20.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,4.0,,,Caretaker's Cape,,,,Rare,18.0,,16.0,,,,,6.0,,,2.0
,,,,,2.0,,,,,,,,,3.0,,,Stitches' Stitchings,,,,Rare,,,16.0,,,,,5.0,,,
3.0,,,3.0,,2.0,,,,3.0,,,,2.0,3.0,,,Miner's Cape,,,,Rare,15.0,,16.0,,,,,5.0,3.0,,
,,,,,2.0,,,,,,7.0,,,,,,Inferno Cloak,,,,Uncommon,20.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,4.0,,,Watcher's Cape,,,,Uncommon,19.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,4.0,,,Battle Healer's Cloak,,,,Rare,18.0,,16.0,,,,,6.0,,,2.0
5.0,,,,,2.0,,,,,,,,,,,,Dark Leather Cloak,,,,Uncommon,17.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,,,,Linked Chain Cloak,,,,Poor,18.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Black Whelp Cloak,,,,Uncommon,15.0,,16.0,,,,,5.0,,,
2.0,,,,,2.0,,,,,,,,,,,,Feathered Cape,,,,Uncommon,11.0,,16.0,,,,,3.0,,,
3.0,,,3.0,,2.0,,,,1.0,,,,,3.0,,,Sporid Cape,,,,Rare,16.0,,16.0,,,,,5.0,3.0,,3.0
3.0,,,,,2.0,,,,4.0,,,,,,,,Third Fleet Cloak,,,,Uncommon,,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,4.0,,,,Flarecrazed Cloak,,,,Uncommon,,,16.0,,,,,5.0,3.0,,
,,,,,2.0,,,,,,,,,,,,Sylvan Cloak,,,,Uncommon,19.0,,16.0,,,,,6.0,,,6.0
,,,,,2.0,,,,,,,,,,,,Durak's Downfall,,,,Rare,,,16.0,,,,,6.0,4.0,,
,,,,,2.0,,,,,,,,,,,,Spirit Cloak,,,,Uncommon,18.0,,16.0,,,,,,,,7.0
,,,,,2.0,,,,,,,,,,,,Overseer's Cloak,,,,Uncommon,15.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Greenweave Cloak,,,,Uncommon,15.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,,,,Canvas Cloak,,,,Poor,13.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Patched Cloak,,,,Poor,11.0,,16.0,,,,,,,,
5.0,,,,,2.0,,,,,,,,,,,,Fenrus' Hide,,,,Rare,20.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Buccaneer's Cape,,,,Uncommon,14.0,,16.0,,,,,4.0,3.0,,
,,,,,2.0,,,,,,,,,5.0,,,Pearl-Clasped Cloak,,,,Uncommon,14.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Heavy Runed Cloak,,,,Uncommon,20.0,,16.0,,,,,6.0,,,4.0
,,,,,2.0,,,,,,,,,,,,Sentry's Cape,,,,Uncommon,19.0,,16.0,,,,,6.0,4.0,,
,,,,,2.0,,,,,,,,3.0,,,,Lambent Scale Cloak,,,,Uncommon,19.0,,16.0,,,,,,6.0,,
,,,,,2.0,,,,,,,,,,,,Spiked Chain Cloak,,,,Uncommon,18.0,,16.0,,,,,6.0,4.0,,
4.0,,,,,2.0,,,,,,,,,,,,Subterranean Cape,,,,Rare,13.0,,16.0,,,,,,4.0,,
3.0,,,,,2.0,,,,,,,,,,,,Bandit Cloak,,,,Uncommon,13.0,,16.0,,,,,4.0,,,
3.0,,,,,2.0,,,,,,,,,,,,Deviate Scale Cloak,,,,Uncommon,13.0,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Seer's Cape,,,,Uncommon,12.0,,16.0,,,,,,,,3.0
3.0,,,,,2.0,,,,,,,,,,,,War Paint Cloak,,,,Uncommon,11.0,,16.0,,,,,4.0,3.0,,
4.0,,,,,2.0,,,,,,,,,,,,Superior Cloak,,,,Uncommon,19.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,3.0,,,,,4.0,,,Cloak of Treason,,,,Rare,,,16.0,,,,,6.0,,,
4.0,,,,,2.0,,,,,,,,,,,,Stalvan's Cloak,,,,Uncommon,,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Antiquated Cloak,,,,Uncommon,18.0,,16.0,,,,,,,,7.0
3.0,,,3.0,,2.0,,,,2.0,,,,3.0,3.0,,,Wolfmaster Cape,,,,Rare,16.0,,16.0,,,,,5.0,3.0,,
3.0,,,,,2.0,,,,3.0,,,,,,,,Stillwater's Cloak,,,,Rare,,,16.0,,,,,5.0,,,
6.0,,,,,2.0,,,,,,,,,,,,Bristlebark Cape,,,,Uncommon,16.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Burnished Cloak,,,,Uncommon,13.0,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,,,,Outrunner's Cloak,,,,Uncommon,12.0,,16.0,,,,,4.0,3.0,,
,,,,,2.0,,,,,,,,,,,,Laced Cloak,,,,Poor,12.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,3.0,,,Ritual Cape,,,,Uncommon,12.0,,16.0,,,,,4.0,,,
,,,,,3.0,,,,,,,,,5.0,,,Unearthed Cloak,,,,Uncommon,,,16.0,,,,,7.0,,,
,,,,,3.0,,,,,,,,,4.0,,,Mine Worker Cloak,,,,Uncommon,,,16.0,,,,,6.0,,,
4.0,,,,,2.0,,,,,,,,,,,,Adansonian Cloak,,,,Uncommon,,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,7.0,,,,,,Fiery Cloak,,,,Uncommon,20.0,,16.0,,,,,,,,
,,,,,2.0,,,,4.0,,,,,4.0,,,Zoram'gar Cloak,,,,Uncommon,,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Regent's Cloak,,,,Uncommon,18.0,,16.0,,,,,,,,7.0
,,,,,2.0,,,,,,,,,,,,Rawhide Cloak,,,,Poor,17.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,3.0,,,Forest Cloak,,,,Uncommon,17.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,,,,Heavy Woolen Cloak,,,,Uncommon,16.0,,16.0,,,,,,,,6.0
,,,,,2.0,,,,,,5.0,,,,,,Firebane Cloak,,,,Rare,16.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,,,,Defender Cloak,,,,Uncommon,15.0,,16.0,,,,,5.0,3.0,,
,,,,,2.0,,,,,,,,,,,,Hulking Cloak,,,,Uncommon,15.0,,16.0,,,,,5.0,2.0,,
,,,,,2.0,,,,,,,,,,,,Stonemason Cloak,,,,Rare,15.0,,16.0,,,,,5.0,3.0,,
3.0,,,,,2.0,,,,,,,,,,,,Cookie's Table Cloth,,,,Rare,,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,,,,Woolen Cape,,,,Common,11.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,,,,Inscribed Cloak,,,,Uncommon,11.0,,16.0,,,,,4.0,,,
,,,,,3.0,,,,,,,,,,,,Valen's Cloak,,,,Rare,,,16.0,,,,,7.0,5.0,,
4.0,,,4.0,,2.0,,,,,,,,2.0,4.0,,,Glowing Thresher Cape,,,,Rare,20.0,,16.0,,,,,6.0,4.0,,2.0
4.0,,,,,2.0,,,,,,,,,,,,Robust Cloak,,,,Uncommon,20.0,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Cloak of Sanity,,,,Uncommon,,,16.0,,,,,6.0,4.0,,
,,,,,2.0,,,,,,,,,,,,Librarian's Cloak,,,,Uncommon,,,16.0,,,,,6.0,4.0,,
,,,,,2.0,,,,,,,,,,,,Bright Cloak,,,,Uncommon,18.0,,16.0,,,,,6.0,,,5.0
4.0,,,,,2.0,,,,,,,,,,,,Cloak of Readiness,,,,Uncommon,,,16.0,,,,,6.0,,,
,,,,,2.0,,,,,,,,,,,,Fortified Cloak,,,,Uncommon,17.0,,16.0,,,,,5.0,3.0,,
3.0,,,,,2.0,,,,,,,,,,,,Scouting Cloak,,,,Uncommon,15.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,,,,Desperado Cape,,,,Uncommon,15.0,,16.0,,,,,5.0,,,
3.0,,,,,2.0,,,,,,,,,,,,Cookie's Table Cloth,,,,Rare,,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,,,,Raider's Cloak,,,,Uncommon,11.0,,16.0,,,,,4.0,3.0,,
4.0,,,4.0,,2.0,,,,,,,,3.0,4.0,,,Bloody Twilight Cloak,,,,Rare,20.0,,16.0,,,,,6.0,4.0,,2.0
,,,,,2.0,,,,,,,,,,,,Brocade Cloak,,,,Poor,19.0,,16.0,,,,,,,,
4.0,,,,,2.0,,,,,,,,,,,,Corrahn's Cloak,,,,Uncommon,,,16.0,,,,,6.0,,,
3.0,,,,,2.0,,,,,,,,,,,,Wrangler's Cloak,,,,Uncommon,17.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,6.0,,,Sanguine Cape,,,,Uncommon,17.0,,16.0,,,,,,,,
,,,,,2.0,,,,,,,,,3.0,,,Clerk Whitesteed's Cloak,,,,Uncommon,,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Shimmering Cloak,,,,Uncommon,16.0,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Floodsurge Coat,,,,Uncommon,,,16.0,,,,,5.0,,,
,,,,,2.0,,,,,,,,,,,,Grunt's Cape,,,,Uncommon,14.0,,16.0,,,,,4.0,3.0,,
3.0,,,,,2.0,,,,,,,,,,,,Rigid Cape,,,,Uncommon,14.0,,16.0,,,,,4.0,,,
,,,,,2.0,,,,,,,,,3.0,,,Pagan Cape,,,,Uncommon,13.0,,16.0,,,,,4.0,,,
3.0,,,3.0,,2.0,,,,2.0,,,,1.0,3.0,,,Dark Ritual Cape,,,,Rare,13.0,,16.0,,,,,4.0,3.0,,
,,,,,2.0,,,,,,,,,,,,Cloak of Insomnia,,,,Uncommon,,,16.0,,,,,4.0,3.0,,
2.0,,,,,2.0,,,,,,,,,,,,Watch Captain's Cloak,,,,Uncommon,,,16.0,,,,,3.0,,,
,,,,,2.0,,,,2.0,,,,,2.0,,,Yowling Cloak,,,,Uncommon,,,16.0,,,,,3.0,,,
,,,,,3.0,,,,,,,,,,,,Hillman's Cloak,,,,Uncommon,25.0,,16.0,,,,,,,,9.0
7.0,,,,,4.0,,,,,,,,,,,,Darktide Cape,,,,Uncommon,,,16.0,,,,,9.0,,,
7.0,,,,,3.0,,,,,,,,,,,,Tigerstrike Mantle,,,,Rare,29.0,,16.0,,,,,8.0,,,
,,,,,3.0,,,,,,,,,,,,Amy's Blanket,,,,Rare,23.0,,16.0,,,,,6.0,,,6.0
,,,,,3.0,,,,,,,,,9.0,,,Azure Silk Cloak,,,,Uncommon,30.0,,16.0,,,,,,,,4.0
,,,,,3.0,,,,,,,,,,,,Combat Cloak,,,,Uncommon,27.0,,16.0,,,,,7.0,,,3.0
,,,,,2.0,,,,,,,,,6.0,,,Silver-Thread Cloak,,,,Uncommon,21.0,,16.0,,,,,,,,3.0
,,,,,3.0,,,,,,,,,,,,Sergeant's Cloak,,,,Rare,30.0,,16.0,,,,,8.0,,,10.0
,,,,,3.0,,,,,,,,,,,,Knight's Cloak,,,,Uncommon,29.0,,16.0,,,,,8.0,5.0,,
,,,,,2.0,,,,,,,,,,,,Reinforced Chain Cloak,,,,Poor,24.0,,16.0,,,,,,,,
,,,,,3.0,,,,,,,,,,,,Slayer's Cape,,,,Uncommon,22.0,,16.0,,,,,6.0,6.0,,
,,,,,3.0,,,,,7.0,,,,,,,Brash Cloak,,,,Uncommon,,,16.0,,,,,8.0,5.0,,
,,,,,3.0,,,,,,,,,,,,Maiden's Tattered Sail,,,,Uncommon,,,16.0,,,,,6.0,4.0,,
3.0,,,,,3.0,,,,,,,,,,,,Enduring Cape,,,,Uncommon,27.0,,16.0,,,,,7.0,3.0,,
5.0,,,,,3.0,,,,,,,,,,,,Cutthroat's Cape,,,,Uncommon,25.0,,16.0,,,,,7.0,,,
,,,,,3.0,,,,,,,,,,,,Emblazoned Cloak,,,,Uncommon,22.0,,16.0,,,,,6.0,,,3.0
,,,,,3.0,,,,,,,,,5.0,,,Cloak of Harvested Fear,,,,Uncommon,,,16.0,,,,,8.0,,,
5.0,,,5.0,,3.0,,,,,,,,,5.0,,,Soulrender Greatcloak,,,,Rare,30.0,,16.0,,,,,7.0,5.0,,6.0
,,,,,2.0,,,,,,,,,,,,Cross-Stitched Cloak,,,,Poor,25.0,,16.0,,,,,,,,
4.0,,,,,3.0,,,,5.0,,,,,,,,Jungle Spirits' Embrace,,,,Rare,,,16.0,,,,,6.0,,,
,,,,,3.0,,,,,,,,,3.0,,,Dokebi Cape,,,,Uncommon,23.0,,16.0,,,,,6.0,,,
