agi,agiint,arcres,armor,classes,cooldown,critstrkrtng,dodgertng,dura,firres,frores,hastertng,int,lifesteal,mastrtng,name_enus,natres,nsockets,parryrtng,quality,reqarenartng,reqlevel,slotbak,socket1,socket2,socket3,speed,sta,str,strint,versatility
,,,2.0,,,,,25.0,,,,,,,Ropes of Grieving,,,,Common,,1.0,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Primal Belt,,,,Common,,3.0,6.0,,,,,,,,
,,,6.0,,,,,25.0,,,,2.0,,,Snake Plate Belt,,,,Uncommon,,,6.0,,,,,2.0,2.0,2.0,
,,,4.0,,,,,25.0,,,,,,,Animal Scale Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Repair Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,25.0,,,,,,,Worn Leather Belt,,,,Poor,,2.0,6.0,,,,,,,,
,,,5.0,,,,,25.0,,,,,,,Kobold Hunter's Trophy Belt,,,,Common,,,6.0,,,,,,,,
,,,2.0,,,,,20.0,,,,,,,Mountaineer's Belt,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Belt of Static Equilibrium,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Flax Belt,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Sunspire Cinch,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Southsea Sash,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Girdle of Honor,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Gilnean Soldier's Waistband,,,,Common,,,6.0,,,,,,,,
,,,3.0,,,,,20.0,,,,,,,Sunwalker's Waistcord,,,,Common,,,6.0,,,,,,,,
,,,5.0,,,,,20.0,,,,,,,Braided Boarskin Belt,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Darius' Sash,,,,Common,,,6.0,,,,,,,,
,,,1.0,,,,,20.0,,,,,,,Belt of So-Called Leaders,,,,Common,,,6.0,,,,,,,,
4.0,4.0,,4.0,,,3.0,,40.0,,,,4.0,,,Deviate Scale Belt,,,,Rare,,16.0,6.0,,,,,6.0,,,
,,,2.0,,,,,40.0,,,,8.0,,,Keller's Girdle,,,,Rare,,18.0,6.0,,,,,7.0,,,
,,,2.0,,,,,30.0,,,,4.0,,,Apothecary's Waistband,,,,Uncommon,,12.0,6.0,,,,,,,,4.0
,,,2.0,,,,,35.0,,,,4.0,,,Buccaneer's Cord,,,,Uncommon,,15.0,6.0,,,,,6.0,,,
6.0,6.0,,4.0,,,,,40.0,,,,6.0,,,Blackened Defias Belt,,,,Rare,,15.0,6.0,,,,,6.0,,,
,,,3.0,,,,,35.0,,,,6.0,,,Bright Belt,,,,Uncommon,,19.0,6.0,,,,,7.0,,,
6.0,6.0,,4.0,,,,,35.0,,,,6.0,,,Forest Leather Belt,,,,Uncommon,,18.0,6.0,,,,,7.0,,,
9.0,9.0,,4.0,,,,,35.0,,,,9.0,,,Ruffian Belt,,,,Uncommon,,18.0,6.0,,,,,,,,
